KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,15,0.0,3,1
-2,15,0.0,1,1
-3,15,0.0,4,1
-4,15,0.0,289,1
-5,15,0.0,1,0
-6,15,0.0,16,1
-7,15,0.0,1,0
-8,15,0.0,1,0
-9,15,0.0,1,1
-10,15,0.0,1,1
-11,15,0.0,32,1
-12,15,0.0,462,1
-13,15,0.0,1,0
-14,15,0.0,1,1
-15,15,0.0,52,0
-16,15,0.0,16,1
-17,15,0.0,7,1
-18,15,0.0,442,0
-19,15,0.0,1,0
-20,15,0.0,232,1
-21,15,0.0,1,1
-22,15,0.0,1,0
-23,15,0.0,1,0
-24,15,0.0,1,0
-25,15,0.0,1,0
-26,15,0.0,681,0
-27,15,0.0,1,1
-28,15,0.0,1,1
-29,15,0.0,1,1
-30,15,0.0,1,0
-31,15,0.0,1,0
-32,15,0.0,1781,0
-33,15,0.0,0,1
-34,15,0.0,1313,1
-35,15,0.0,1,0
-36,15,0.0,23,1
-37,15,0.0,787,1
-38,15,0.0,127,0
-39,15,0.0,9,1
-40,15,0.0,374,1
-41,15,0.0,1,0
-42,15,0.0,1,1
-43,15,0.0,1,0
-44,15,0.0,622,0
-45,15,0.0,3220,0
-46,15,0.0,1,1
-47,15,0.0,1,0
-48,15,0.0,17,1
-49,15,0.0,1,0
-50,15,0.0,1,0
-51,15,0.0,124,0
-52,15,0.0,113,1
-53,15,0.0,3,1
-54,15,0.0,1,1
-55,15,0.0,1,0
-56,15,0.0,1,0
-57,15,0.0,1,1
-58,15,0.0,71,0
-59,15,0.0,20,0
-60,15,0.0,637,1
-61,15,0.0,1,1
-62,15,0.0,1,0
-63,15,0.0,1,0
-64,15,0.0,1,0
-65,15,0.0,1,0
-66,15,0.0,11,1
-67,15,0.0,1,0
-68,15,0.0,1,1
-69,15,0.0,336,0
-70,15,0.0,1,0
-71,15,0.0,16,1
-72,15,0.0,61,1
-73,15,0.0,18,1
-74,15,0.0,315,0
-75,15,0.0,160,0
-76,15,0.0,1,1
-77,15,0.0,179,0
-78,15,0.0,1,0
-79,15,0.0,1,1
-80,15,0.0,6,1
-81,15,0.0,1,0
-82,15,0.0,1,1
-83,15,0.0,2,1
-84,15,0.0,1,0
-85,15,0.0,482,0
-86,15,0.0,115,0
-87,15,0.0,1297,0
-88,15,0.0,1,0
-89,15,0.0,1,0
-90,15,0.0,23,1
-91,15,0.0,291,0
-92,15,0.0,1,0
-93,15,0.0,544,0
-94,15,0.0,1,0
-95,15,0.0,1,1
-96,15,0.0,1,1
-97,15,0.0,446,0
-98,15,0.0,1968,1
-99,15,0.0,1,0
-100,15,0.0,1,1
-101,15,0.0,12,1
-102,15,0.0,1,1
-103,15,0.0,43,1
-104,15,0.0,1,0
-105,15,0.0,1,0
-106,15,0.0,544,0
-107,15,0.0,83,0
-108,15,0.0,1,1
-109,15,0.0,15,1
-110,15,0.0,1,0
-111,15,0.0,131,1
-112,15,0.0,1,0
