KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,30,0.0,7,1
-2,30,0.0,2,1
-3,30,0.0,7,1
-4,30,0.0,30,1
-5,30,11.140625,1073280657,0
-6,30,0.0,5,1
-7,30,11.125,1043399921,0
-8,30,12.046875,1071624963,0
-9,30,0.0,3,1
-10,30,0.0,0,1
-11,30,0.0,85,1
-12,30,0.0,16,1
-13,30,3.703125,402230220,0
-14,30,0.0,7,1
-15,30,10.828125,1069706006,0
-16,30,0.0,17,1
-17,30,0.0,4,1
-18,30,5.75,629529148,0
-19,30,10.875,1073714964,0
-20,30,0.0,36,1
-21,30,0.0,0,1
-22,30,10.796875,1073560269,0
-23,30,7.53125,749305214,0
-24,30,0.03125,4581983,0
-25,30,0.015625,2169215,0
-26,30,0.140625,13672643,0
-27,30,0.0,2,1
-28,30,0.0,4,1
-29,30,0.0,2,1
-30,30,10.984375,1073714662,0
-31,30,11.078125,1072719406,0
-32,30,8.1875,823290573,0
-33,30,0.0,65654,0
-34,30,0.015625,1523528,1
-35,30,10.296875,1025221788,0
-36,30,0.0,24,1
-37,30,0.0,242580,1
-38,30,0.0,0,1
-39,30,0.0,3,1
-40,30,0.0,24,1
-41,30,10.8125,1073338298,0
-42,30,0.0,4,1
-43,30,0.0,416380,0
-44,30,10.859375,1073716884,0
-45,30,10.734375,1059619421,0
-46,30,0.0,13,1
-47,30,10.859375,1073168922,0
-48,30,0.0,4,1
-49,30,0.0,23849,0
-50,30,10.921875,1073741700,0
-51,30,10.90625,1073741731,0
-52,30,0.0,183,1
-53,30,0.0,8,1
-54,30,0.0,3,1
-55,30,0.609375,77201096,0
-56,30,0.8125,99422773,0
-57,30,0.0,11,1
-58,30,0.0,99132,0
-59,30,8.640625,840446894,0
-60,30,0.0,1856,1
-61,30,0.0,15,1
-62,30,0.0,0,1
-63,30,4.609375,487265229,0
-64,30,10.71875,1073741811,0
-65,30,0.125,15970052,0
-66,30,0.0,12,1
-67,30,0.0,225932,0
-68,30,0.0,5,1
-69,30,10.75,1071388492,0
-70,30,7.203125,768499802,0
-71,30,0.0,5,1
-72,30,0.0,25,1
-73,30,0.0,20,1
-74,30,9.015625,883328722,0
-75,30,0.109375,14693661,0
-76,30,0.0,9,1
-77,30,8.21875,837819054,0
-78,30,7.453125,787496028,0
-79,30,0.0,13,1
-80,30,0.0,11,1
-81,30,10.859375,1070069518,0
-82,30,0.0,47,1
-83,30,0.0,14,1
-84,30,0.171875,20919848,0
-85,30,2.640625,278952424,0
-86,30,10.6875,1073423321,0
-87,30,2.390625,239069394,0
-88,30,10.78125,1073741823,0
-89,30,7.1875,753003006,0
-90,30,0.0,8,1
-91,30,0.0,1800,0
-92,30,0.03125,4467398,0
-93,30,0.0,557848,0
-94,30,3.171875,333526115,0
-95,30,0.0,13,1
-96,30,0.0,10,1
-97,30,10.796875,1073741823,0
-98,30,0.0,79,1
-99,30,10.828125,1070858676,0
-100,30,0.0,8,1
-101,30,0.0,259,1
-102,30,0.0,5,1
-103,30,0.0,10,1
-104,30,0.0,1381,0
-105,30,0.015625,1346038,0
-106,30,0.0,471356,0
-107,30,0.21875,32506594,0
-108,30,0.0,13,1
-109,30,0.0,5,1
-110,30,0.0,1237,0
-111,30,0.0,88,1
-112,30,12.96875,1073741645,0
-113,30,0.0,20994,0
-114,30,0.0,2058,1
-115,30,9.171875,920270442,0
-116,30,3.046875,322116017,0
-117,30,10.765625,1067215905,0
-118,30,0.0,1680,1
-119,30,0.09375,10959069,0
-120,30,0.0,99,0
-121,30,0.0,3,1
-122,30,0.0,27,1
-123,30,0.109375,13490025,0
-124,30,0.0,6,1
-125,30,0.0,6,1
-126,30,1.59375,159860334,0
-127,30,9.234375,938536448,0
-128,30,9.53125,959810203,0
-129,30,0.0,3014,1
-130,30,0.0,312,0
-131,30,10.734375,1073735641,0
-132,30,5.046875,526397802,0
-133,30,0.0,20,1
-134,30,0.0,10,1
-135,30,1.09375,135239324,0
-136,30,0.0,19,1
-137,30,11.203125,1073629492,0
-138,30,0.0,21,1
-139,30,0.0,37,1
-140,30,10.75,1073741547,0
-141,30,0.0,4,1
-142,30,0.0,117,1
-143,30,0.0,8,1
-144,30,0.0,163230,1
-145,30,0.640625,69551426,0
-146,30,0.0,14,1
-147,30,0.046875,5660633,0
-148,30,0.265625,25297387,0
-149,30,3.921875,385830613,0
-150,30,0.0,6,1
-151,30,9.0625,902025414,0
-152,30,10.84375,1073681465,0
-153,30,0.0,4,1
-154,30,0.0,20,1
-155,30,11.078125,1073740567,0
-156,30,0.0,226722,1
-157,30,10.3125,998275015,0
-158,30,0.0,14,1
-159,30,0.0,6,1
-160,30,9.609375,966255623,0
-161,30,0.0,25,1
-162,30,0.0,19,1
-163,30,11.15625,1073741823,0
-164,30,2.1875,270454323,0
-165,30,0.0,76,1
-166,30,2.0,235413790,0
-167,30,0.0,186,0
-168,30,0.828125,113139460,0
-169,30,0.015625,64114,1
-170,30,5.421875,579616797,0
-171,30,0.0,21923,0
-172,30,10.578125,1054253065,0
-173,30,0.015625,1931140,0
-174,30,0.0,7,1
-175,30,0.0,11,1
-176,30,10.890625,1073741823,0
-177,30,0.1875,19889433,0
-178,30,7.5625,776020760,0
