KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,15,0.0,23,1
-2,15,0.0,55,1
-3,15,0.0,1,1
-4,15,0.0,35,1
-5,15,0.0,11034,0
-6,15,0.0,1,1
-7,15,0.0,11457,0
-8,15,0.0,7901,0
-9,15,0.0,35,1
-10,15,0.0,69,1
-11,15,0.0,45,1
-12,15,0.0,15,1
-13,15,0.0,10895,0
-14,15,0.0,1,1
-15,15,0.0,12333,0
-16,15,0.0,10,1
-17,15,0.0,1,1
-18,15,0.0,9618,0
-19,15,0.0,11776,0
-20,15,0.0,66,1
-21,15,0.0,31,1
-22,15,0.0,11452,0
-23,15,0.0,8795,0
-24,15,0.0,9402,0
-25,15,0.0,8207,0
-26,15,0.0,12472,0
-27,15,0.0,34,1
-28,15,0.0,31,1
-29,15,0.0,14,1
-30,15,0.0,10107,0
-31,15,0.0,11429,0
-32,15,0.0,12415,0
-33,15,0.0,10136,0
-34,15,0.0,100,1
-35,15,0.0,10768,0
-36,15,0.0,1,1
-37,15,0.0,70,1
-38,15,0.0,9866,0
-39,15,0.0,126,1
-40,15,0.0,5,1
-41,15,0.0,12718,0
-42,15,0.0,35,1
-43,15,0.0,9069,0
-44,15,0.0,9366,0
-45,15,0.0,10736,0
-46,15,0.0,1,1
-47,15,0.0,11557,0
-48,15,0.0,1,1
-49,15,0.0,11438,0
-50,15,0.0,10730,0
-51,15,0.0,13056,0
-52,15,0.0,126,1
-53,15,0.0,1,1
-54,15,0.0,25,1
-55,15,0.0,9025,0
-56,15,0.0,9145,0
-57,15,0.0,35,1
-58,15,0.0,10071,0
-59,15,0.0,11952,0
-60,15,0.0,6,1
-61,15,0.0,13,1
-62,15,0.0,12534,0
-63,15,0.0,9811,0
-64,15,0.0,11942,0
-65,15,0.0,11496,0
-66,15,0.0,231,1
-67,15,0.0,8578,0
-68,15,0.0,6,1
-69,15,0.0,8366,0
-70,15,0.0,9842,0
-71,15,0.0,1,1
-72,15,0.0,65,1
-73,15,0.0,52,1
-74,15,0.0,10173,0
-75,15,0.0,11488,0
-76,15,0.0,6,1
-77,15,0.0,11024,0
-78,15,0.0,10849,0
-79,15,0.0,35,1
-80,15,0.0,1,1
-81,15,0.0,11856,0
-82,15,0.0,100,1
-83,15,0.0,1,1
-84,15,0.0,10048,0
-85,15,0.0,11613,0
-86,15,0.0,11632,0
-87,15,0.0,9843,0
-88,15,0.0,9738,0
-89,15,0.0,10539,0
-90,15,0.0,1,1
-91,15,0.0,9147,0
-92,15,0.0,10096,0
-93,15,0.0,13291,0
-94,15,0.0,9503,0
-95,15,0.0,13,1
-96,15,0.0,20,1
-97,15,0.0,9308,0
-98,15,0.0,1,1
-99,15,0.0,11723,0
-100,15,0.0,14,1
-101,15,0.0,20,1
-102,15,0.0,1,1
-103,15,0.0,5,1
-104,15,0.0,10629,0
-105,15,0.0,10443,0
-106,15,0.0,10957,0
-107,15,0.0,11245,0
-108,15,0.0,31,1
-109,15,0.0,25,1
-110,15,0.0,9976,0
-111,15,0.0,130,1
-112,15,0.0,11063,0
-113,15,0.0,11058,0
-114,15,0.0,1,1
-115,15,0.0,10570,0
-116,15,0.0,11113,0
-117,15,0.0,10165,0
-118,15,0.0,23,1
-119,15,0.0,11490,0
-120,15,0.0,9029,0
-121,15,0.0,11,1
-122,15,0.0,1,1
-123,15,0.0,9139,0
-124,15,0.0,1,1
-125,15,0.0,1,1
-126,15,0.0,11923,0
-127,15,0.0,9689,0
-128,15,0.0,11637,0
-129,15,0.0,54,1
-130,15,0.0,9827,0
-131,15,0.0,11418,0
-132,15,0.0,11878,0
-133,15,0.0,66,1
-134,15,0.0,1,1
-135,15,0.0,11390,0
-136,15,0.0,26,1
-137,15,0.015625,10417,0
-138,15,0.0,24,1
-139,15,0.0,54,1
-140,15,0.0,10403,0
-141,15,0.0,13,1
-142,15,0.0,54,1
-143,15,0.0,16,1
-144,15,0.0,17,1
-145,15,0.0,10670,0
-146,15,0.0,156,1
-147,15,0.0,10242,0
-148,15,0.0,8164,0
-149,15,0.0,8626,0
-150,15,0.0,15,1
-151,15,0.0,9707,0
-152,15,0.0,12156,0
-153,15,0.0,1,1
-154,15,0.0,25,1
-155,15,0.0,9998,0
-156,15,0.0,52,1
-157,15,0.0,9704,0
-158,15,0.0,15,1
-159,15,0.0,17,1
-160,15,0.0,9626,0
-161,15,0.0,23,1
-162,15,0.0,35,1
-163,15,0.0,9080,0
-164,15,0.0,11057,0
-165,15,0.0,15,1
-166,15,0.0,9210,0
-167,15,0.0,12100,0
-168,15,0.0,10474,0
-169,15,0.0,8,1
-170,15,0.0,11551,0
-171,15,0.0,10479,0
-172,15,0.0,7924,0
-173,15,0.0,11742,0
-174,15,0.0,1,1
-175,15,0.0,35,1
-176,15,0.015625,12894,0
-177,15,0.0,8908,0
-178,15,0.0,10092,0
-179,15,0.0,9601,0
-180,15,0.0,10398,0
-181,15,0.0,25,1
-182,15,0.0,10656,0
-183,15,0.0,6,1
-184,15,0.0,10662,0
-185,15,0.0,66,1
-186,15,0.0,31,1
-187,15,0.0,11036,0
-188,15,0.0,13066,0
-189,15,0.0,32,1
-190,15,0.0,8146,0
-191,15,0.0,9665,0
-192,15,0.0,9421,0
-193,15,0.0,1,1
-194,15,0.0,8653,0
-195,15,0.0,10088,0
-196,15,0.0,23,1
-197,15,0.0,9807,0
-198,15,0.0,31,1
-199,15,0.0,54,1
-200,15,0.0,16,1
-201,15,0.0,15,1
-202,15,0.0,10252,0
-203,15,0.0,1,1
-204,15,0.0,11883,0
-205,15,0.0,5,1
-206,15,0.0,35,1
-207,15,0.0,10602,0
-208,15,0.0,8788,0
-209,15,0.0,11189,0
-210,15,0.0,9481,0
-211,15,0.0,10,1
-212,15,0.0,35,1
-213,15,0.0,1,1
-214,15,0.0,31,1
-215,15,0.0,8190,0
-216,15,0.0,11890,0
-217,15,0.0,9780,0
-218,15,0.0,10541,0
-219,15,0.0,10270,0
-220,15,0.0,48,1
-221,15,0.0,10149,0
-222,15,0.0,13,1
-223,15,0.0,9595,0
-224,15,0.0,91,1
-225,15,0.0,9539,0
-226,15,0.0,10069,0
-227,15,0.0,10902,0
-228,15,0.0,1,1
-229,15,0.0,31,1
-230,15,0.0,11377,0
-231,15,0.0,1,1
-232,15,0.0,54,1
-233,15,0.015625,8833,0
-234,15,0.0,30,1
-235,15,0.0,10,1
-236,15,0.0,10454,0
-237,15,0.0,80,1
-238,15,0.0,25,1
-239,15,0.0,11839,0
-240,15,0.0,10,1
-241,15,0.0,10432,0
-242,15,0.0,12127,0
-243,15,0.0,10474,0
-244,15,0.0,7922,0
-245,15,0.0,1,1
-246,15,0.0,10301,0
-247,15,0.0,9651,0
-248,15,0.0,9509,0
-249,15,0.0,1,1
-250,15,0.0,1,1
-251,15,0.0,11087,0
-252,15,0.0,1,1
-253,15,0.0,12162,0
-254,15,0.0,12608,0
-255,15,0.0,10060,0
-256,15,0.0,10543,0
-257,15,0.0,6,1
-258,15,0.0,8,1
-259,15,0.0,1,1
