KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,25,0.0,20,1
-2,25,0.0,19,1
-3,25,0.0,57,1
-4,25,0.0,1894,1
-5,25,0.640625,31976060,0
-6,25,0.0,25,1
-7,25,0.5625,31230227,0
-8,25,0.546875,32166271,0
-9,25,0.0,24,1
-10,25,0.0,1899,1
-11,25,0.0,1508,1
-12,25,0.0,156,1
-13,25,0.4375,30345859,0
-14,25,0.0,18,1
-15,25,0.515625,28846630,0
-16,25,0.0,505,1
-17,25,0.0,84,1
-18,25,0.4375,30040523,0
-19,25,0.390625,29396466,0
-20,25,0.0,74700,1
-21,25,0.0,29,1
-22,25,0.296875,29992978,0
-23,25,0.3125,32065975,0
-24,25,0.390625,32150480,0
-25,25,0.296875,31343571,0
-26,25,0.28125,31654728,0
-27,25,0.0,17,1
-28,25,0.0,35,1
-29,25,0.0,265,1
-30,25,0.40625,31086110,0
-31,25,0.3125,31067272,0
-32,25,0.296875,32101864,0
-33,25,0.328125,30620640,0
-34,25,0.0,3087,1
-35,25,0.28125,31419646,0
-36,25,0.0,574,1
-37,25,0.15625,17174875,1
-38,25,0.3125,30601721,0
-39,25,0.0,19,1
-40,25,0.0,1080,1
-41,25,0.28125,30754732,0
-42,25,0.0,55,1
-43,25,0.28125,29753091,0
-44,25,0.296875,31536554,0
-45,25,0.34375,32472533,0
-46,25,0.0,278,1
-47,25,0.296875,31737079,0
-48,25,0.0,21,1
-49,25,0.328125,31698988,0
-50,25,0.328125,31840690,0
-51,25,0.265625,30850065,0
-52,25,0.0,1262,1
-53,25,0.0,411,1
-54,25,0.0,19,1
-55,25,0.265625,29991747,0
-56,25,0.375,32572302,0
-57,25,0.0,644,1
-58,25,0.296875,31955384,0
-59,25,0.25,30981754,0
-60,25,0.0,1592,1
-61,25,0.0,116,1
-62,25,0.3125,31159120,0
-63,25,0.28125,30114188,0
-64,25,0.28125,31444935,0
-65,25,0.296875,31124223,0
-66,25,0.0,54,1
-67,25,0.296875,29940838,0
-68,25,0.0,28,1
-69,25,0.359375,31876356,0
-70,25,0.28125,29535289,0
-71,25,0.0,62,1
-72,25,0.0,186441,1
-73,25,0.0,36,1
-74,25,0.34375,30866902,0
-75,25,0.28125,31442146,0
-76,25,0.0,39,1
-77,25,0.265625,30425847,0
-78,25,0.296875,30129857,0
-79,25,0.0,50,1
-80,25,0.0,48,1
-81,25,0.296875,31720708,0
-82,25,0.0,514,1
-83,25,0.0,53,1
-84,25,0.34375,30198435,0
-85,25,0.296875,30475345,0
-86,25,0.265625,29973938,0
-87,25,0.265625,30015399,0
-88,25,0.265625,28823100,0
-89,25,0.3125,30930860,0
-90,25,0.0,10508,1
-91,25,0.296875,30926005,0
-92,25,0.28125,29483978,0
-93,25,0.359375,31414798,0
-94,25,0.328125,31917895,0
-95,25,0.0,413,1
-96,25,0.0,1052,1
-97,25,0.28125,30468705,0
-98,25,0.0,5501,1
-99,25,0.4375,31886311,0
-100,25,0.0,29,1
-101,25,0.0,477,1
-102,25,0.0,28,1
-103,25,0.0,2058,1
-104,25,0.328125,32264844,0
-105,25,0.28125,31440150,0
-106,25,0.359375,31215136,0
-107,25,0.328125,30812984,0
-108,25,0.0,245,1
-109,25,0.0,25,1
-110,25,0.3125,30696982,0
-111,25,0.0,572947,1
-112,25,0.296875,31581999,0
-113,25,0.296875,31840015,0
-114,25,0.125,13690177,1
-115,25,0.3125,30752356,0
-116,25,0.265625,31609319,0
-117,25,0.296875,31979289,0
-118,25,0.0,973,1
-119,25,0.25,29832562,0
