KnapsackId,NumberOfItems,CpuTime,NodesVisited,CanBeSolved
-1,35,0.0,47,1
-2,35,0.0,2,1
-3,35,0.0,13,1
-4,35,0.0,10216,1
-5,35,0.21875,22573369,0
-6,35,0.0,2,1
-7,35,220.4375,36639432293,0
-8,35,211.96875,38967751554,0
-9,35,0.0,6,1
-10,35,0.0,19,1
-11,35,0.0,15,1
-12,35,0.0,20,1
-13,35,324.59375,64461767153,0
-14,35,0.0,10,1
-15,35,0.0,2800,0
-16,35,0.0,19,1
-17,35,0.0,5,1
-18,35,366.8125,68569458081,0
-19,35,366.65625,68083023280,0
-20,35,0.0,648104,1
-21,35,0.0,18,1
-22,35,344.0625,64273095894,0
-23,35,26.1875,4483228058,0
-24,35,0.578125,98850305,0
-25,35,0.0,3150,0
-26,35,5.296875,717693790,0
-27,35,0.0,2,1
-28,35,0.0,5,1
-29,35,0.0,3,1
-30,35,75.59375,12307398677,0
-31,35,11.734375,2171499849,0
-32,35,356.1875,68684729508,0
-33,35,355.640625,68426957431,0
-34,35,0.21875,35613401,1
-35,35,363.578125,68719458981,0
-36,35,0.0,85,1
-37,35,0.0,251,1
-38,35,109.0625,18322542322,0
-39,35,0.0,8,1
-40,35,0.0,24,1
-41,35,342.40625,68717570205,0
-42,35,0.0,7,1
-43,35,0.0,16613,0
-44,35,349.96875,64775770512,0
-45,35,100.375,19960950143,0
-46,35,0.0,25,1
-47,35,0.015625,2084405,0
-48,35,0.0,3,1
-49,35,0.453125,85111535,0
-50,35,340.6875,68719066683,0
-51,35,3.359375,547368202,0
-52,35,0.0,420,1
-53,35,0.0,5,1
-54,35,0.0,3,1
-55,35,91.84375,16320483955,0
-56,35,0.0,1556998,0
-57,35,0.0,17,1
-58,35,21.421875,3292796513,0
-59,35,330.359375,65289383436,0
-60,35,0.0,1638,1
-61,35,0.0,15,1
-62,35,59.015625,10228461549,0
-63,35,348.09375,68204916459,0
-64,35,0.703125,93061893,0
-65,35,40.84375,6751209091,0
-66,35,0.0,16,1
-67,35,21.1875,3612450581,0
-68,35,0.0,2,1
-69,35,362.234375,68661864180,0
-70,35,366.671875,68046584651,0
-71,35,0.0,6,1
-72,35,0.0,1139,1
-73,35,0.0,1386,1
-74,35,11.734375,1788894735,0
-75,35,363.84375,68639140384,0
-76,35,0.0,11,1
-77,35,362.640625,68386578576,0
-78,35,276.578125,47234838248,0
-79,35,0.0,10,1
-80,35,0.0,12,1
-81,35,21.640625,3831633951,0
-82,35,0.0,709,1
-83,35,0.0,769,1
-84,35,351.765625,66935946268,0
-85,35,3.046875,462632180,0
-86,35,0.0,17149,0
-87,35,349.859375,68718319420,0
-88,35,0.0,298428,0
-89,35,328.71875,68281307934,0
-90,35,0.0,13,1
-91,35,0.0,392054,0
-92,35,191.390625,40373340566,0
-93,35,69.1875,14170932297,0
-94,35,2.953125,622644133,0
-95,35,0.0,9,1
-96,35,0.0,21,1
-97,35,143.203125,29493491374,0
-98,35,0.0,6913,1
-99,35,237.84375,50505042155,0
-100,35,0.0,5,1
-101,35,0.0,2676,1
-102,35,0.0,14,1
-103,35,0.0,18,1
-104,35,175.234375,37639910386,0
-105,35,0.0,11041,0
-106,35,269.546875,59708841576,0
-107,35,195.8125,40851794616,0
-108,35,0.0,9,1
-109,35,0.0,5,1
-110,35,0.96875,193215305,0
-111,35,0.03125,7444632,1
-112,35,1.921875,383800560,0
-113,35,203.546875,44953574189,0
-114,35,0.0,10018,1
-115,35,210.4375,46869732473,0
-116,35,83.75,17245152664,0
-117,35,287.6875,65397042281,0
-118,35,0.0,18,1
-119,35,275.390625,61319358242,0
-120,35,0.0,33563,0
-121,35,0.0,5,1
-122,35,0.0,74494,1
-123,35,323.515625,68719476707,0
-124,35,0.0,7,1
-125,35,0.0,6,1
-126,35,92.90625,19420430739,0
-127,35,0.0,16184,0
-128,35,143.953125,30636149608,0
-129,35,8.8125,1920799125,1
-130,35,303.140625,68717913958,0
-131,35,265.640625,59659111887,0
-132,35,278.9375,62832681622,0
-133,35,0.0,85,1
-134,35,0.0,14,1
-135,35,79.921875,16608929425,0
-136,35,0.0,27,1
-137,35,0.109375,19989204,0
-138,35,0.0,1533,1
-139,35,0.0,11,1
-140,35,0.140625,23978444,0
-141,35,0.0,10,1
-142,35,0.0,22,1
-143,35,0.0,11,1
-144,35,0.0,1203,1
-145,35,320.46875,66368981521,0
-146,35,0.0,23,1
-147,35,300.6875,68719475477,0
-148,35,4.828125,950722268,0
-149,35,29.96875,6252703755,0
-150,35,0.0,9,1
-151,35,0.484375,96291487,0
-152,35,250.265625,55312781818,0
-153,35,0.0,4,1
-154,35,0.0,218,1
-155,35,107.53125,23837654070,0
-156,35,0.0,21,1
-157,35,0.015625,2322693,0
-158,35,0.0,14,1
-159,35,0.0,6,1
-160,35,95.71875,19542050222,0
-161,35,0.0,5309,1
-162,35,0.0,201,1
-163,35,2.125,429436469,0
-164,35,43.34375,8544754491,0
-165,35,0.0,16,1
-166,35,297.640625,68719476734,0
-167,35,274.9375,59782502102,0
-168,35,0.0,83558,0
-169,35,0.015625,1662144,1
-170,35,300.96875,68399866680,0
-171,35,133.53125,28658967624,0
-172,35,39.296875,8171074979,0
-173,35,361.515625,68719452308,0
-174,35,0.0,9,1
-175,35,0.0,15,1
-176,35,298.109375,68148298101,0
-177,35,244.09375,53922359615,0
