KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
1,15,0.0,32,false,true,false,true,true,true,false,false,true,false,true,true,true,true,true
2,15,0.0,58,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true
3,15,0.0,61,false,false,false,true,true,true,false,true,true,true,true,true,true,false,true
4,15,0.0,39,false,true,false,true,true,false,false,false,false,false,true,false,true,false,false
5,15,0.0,15,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
6,15,0.0,12,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false
7,15,0.0,38,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true
8,15,0.0,15,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
9,15,0.0,15,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
10,15,0.0,15,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
11,15,0.0,75,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true
12,15,0.0,62,true,true,false,false,true,true,false,true,false,false,true,true,true,false,false
13,15,0.0,53,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true
14,15,0.0,72,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true
15,15,0.0,2,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
16,15,0.0,21,true,true,true,false,true,true,true,false,false,false,true,false,true,false,true
17,15,0.0,38,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false
18,15,0.0,138,true,false,false,true,true,true,true,false,true,true,false,true,false,false,true
19,15,0.0,14,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
20,15,0.0,22,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false
21,15,0.0,15,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
22,15,0.0,180,false,true,true,false,false,true,true,true,false,false,true,true,false,false,true
23,15,0.0,154,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false
24,15,0.0,66,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true
25,15,0.0,88,false,true,true,false,true,false,true,true,true,false,true,false,true,false,true
26,15,0.0,162,true,false,true,false,false,true,false,false,true,true,true,true,true,true,true
27,15,0.0,98,true,true,false,false,false,true,false,true,true,false,true,false,false,false,true
28,15,0.0,21,true,false,true,true,true,true,true,true,true,false,true,true,true,false,false
29,15,0.0,23,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false
30,15,0.0,13,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true
31,15,0.0,19,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false
32,15,0.0,127,false,false,false,true,false,false,false,false,true,false,true,false,true,true,true
33,15,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
34,15,0.0,256,true,false,false,false,true,true,true,false,true,true,true,true,false,false,false
35,15,0.0,59,false,false,true,false,false,true,true,true,true,false,false,true,true,true,true
36,15,0.0,65,false,true,true,false,true,false,false,false,false,false,false,true,true,false,false
37,15,0.0,32,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true
38,15,0.0,26,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false
39,15,0.0,174,true,true,true,false,false,false,false,true,true,true,false,false,false,true,false
40,15,0.0,82,true,true,true,false,false,false,false,true,true,true,true,true,true,true,true
41,15,0.0,17,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true
42,15,0.0,61,true,true,false,false,false,true,true,false,false,false,false,false,true,false,true
43,15,0.0,15,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
44,15,0.0,67,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false
45,15,0.0,107,false,false,false,false,true,false,true,false,true,true,false,true,true,false,false
46,15,0.0,15,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
47,15,0.0,15,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
48,15,0.0,49,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false
49,15,0.0,130,true,true,true,true,true,true,false,false,false,false,false,true,true,true,true
50,15,0.0,13,true,false,true,true,false,true,true,false,true,false,true,true,false,false,true
51,15,0.0,34,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true
52,15,0.0,66,true,true,false,false,true,false,false,true,false,true,true,false,false,true,true
53,15,0.0,49,true,true,false,true,true,false,false,true,false,true,false,true,true,false,true
54,15,0.0,105,false,false,true,false,false,true,false,false,false,true,true,true,false,false,true
55,15,0.0,28,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false
56,15,0.0,60,true,true,false,true,false,false,true,false,true,true,true,true,false,true,false
57,15,0.0,102,false,true,true,false,true,true,true,true,true,false,true,false,false,true,true
58,15,0.0,7,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
59,15,0.0,2,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
60,15,0.0,102,true,false,false,true,false,true,false,true,false,false,false,true,false,true,false
61,15,0.0,15,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
62,15,0.0,15,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
63,15,0.0,38,false,true,false,false,true,false,true,false,false,false,false,false,true,false,false
64,15,0.0,40,false,false,true,false,true,true,false,true,false,true,true,false,true,false,true
65,15,0.0,118,false,false,true,true,true,false,false,true,true,true,true,false,false,true,true
66,15,0.0,18,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true
67,15,0.0,141,false,true,true,true,false,false,true,false,false,true,false,false,true,false,true
68,15,0.0,168,true,true,true,true,false,false,false,true,false,true,true,false,true,false,false
69,15,0.0,172,true,false,false,false,false,true,true,false,true,true,false,false,true,false,false
70,15,0.0,134,true,true,true,true,true,false,true,true,true,false,true,false,false,false,true
71,15,0.0,109,true,false,true,true,false,false,false,false,true,true,false,false,false,true,true
72,15,0.0,132,true,false,true,true,true,true,false,false,true,true,false,true,true,false,true
73,15,0.0,108,true,false,false,true,false,false,false,true,true,false,true,true,true,true,false
74,15,0.0,52,true,false,false,false,false,true,true,false,false,false,true,true,false,true,false
75,15,0.0,42,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true
76,15,0.0,19,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true
77,15,0.0,12,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false
78,15,0.0,15,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
79,15,0.0,14,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true
80,15,0.0,89,false,false,true,false,false,false,false,true,true,true,true,false,false,false,true
81,15,0.0,16,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true
82,15,0.0,15,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
83,15,0.0,23,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
84,15,0.0,15,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
85,15,0.0,42,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true
86,15,0.0,15,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false
87,15,0.0,147,true,true,false,false,true,false,true,false,false,true,false,true,false,true,false
88,15,0.0,15,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
89,15,0.0,13,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true
90,15,0.0,178,true,false,true,false,true,false,true,false,false,false,false,true,true,false,false
91,15,0.0,33,true,true,false,false,false,false,true,false,true,true,false,false,false,false,false
92,15,0.0,15,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
93,15,0.0,65,false,true,false,false,false,true,false,false,false,true,false,true,true,false,true
94,15,0.0,215,false,false,false,true,true,true,true,true,false,true,true,false,true,true,true
95,15,0.0,67,true,true,true,true,false,false,false,true,false,true,true,true,true,false,true
96,15,0.015625,292,true,true,true,true,false,true,true,false,false,true,true,false,true,false,true
97,15,0.0,110,false,false,true,false,false,true,true,false,false,false,false,false,true,true,true
98,15,0.0,90,true,false,true,false,false,true,false,false,true,false,true,false,true,false,false
99,15,0.0,64,true,true,true,true,false,true,true,true,true,true,false,false,true,false,false
100,15,0.0,64,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true
