KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,0.0,27,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
2,27,0.0,27,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,27,0.0,21868,true,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false
4,27,0.0,11268,true,false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true
5,27,0.015625,16545,false,false,false,false,true,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,false,false
6,27,0.015625,4499,false,true,true,false,false,true,false,false,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true
7,27,0.0,688,false,true,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
8,27,0.0,13535,false,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false
9,27,0.0,27,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,27,0.0,2821,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false
11,27,0.0,5291,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true
12,27,0.0,60,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
13,27,0.0,15861,false,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true
14,27,0.0,169,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true
15,27,0.0,27,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
16,27,0.0,15374,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true,false,false,false,false
17,27,0.0,362,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false
18,27,0.0,2533,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true
19,27,0.0,27,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
20,27,0.0,68,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false
21,27,0.0,2736,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,false,false,false
22,27,0.0,2716,true,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false,true,false
23,27,0.0,1237,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
24,27,0.015625,14502,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,true,false,false,false,true,true,true,false,true,false
25,27,0.0,1914,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true
26,27,0.0,6411,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,false,true,true
27,27,0.0,22040,true,true,false,true,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,false
28,27,0.0,27,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
29,27,0.0,8212,false,false,true,true,false,true,false,true,false,true,false,false,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true
30,27,0.0,141,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true
31,27,0.0,855,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false
32,27,0.0,19134,false,true,false,true,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,false,true,true,true
33,27,0.0,147,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true
34,27,0.0,395,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false
35,27,0.015625,9786,false,true,true,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,true,false,false,true,false
36,27,0.0,1039,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,false,true,true,false,false
37,27,0.0,15,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false
38,27,0.0,282,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
39,27,0.0,14473,true,true,false,false,false,true,false,true,true,true,false,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true
40,27,0.0,344,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false
41,27,0.0,1329,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,true
42,27,0.0,1512,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,true
43,27,0.0,150,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
44,27,0.0,27,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
45,27,0.0,1466,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true
46,27,0.0,367,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
47,27,0.0,1386,false,false,false,false,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,false
48,27,0.0,36629,true,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false,true,true,true,true,false,false,false,false,true,true
49,27,0.0,3004,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,true,false,true
50,27,0.0,7518,false,true,true,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,true,true
51,27,0.0,9484,true,false,true,true,true,true,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,true,false,false,true
52,27,0.0,897,true,false,false,true,true,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,false,true,true
53,27,0.0,27,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
54,27,0.0,1185,false,false,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,true,true
55,27,0.0,37,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true
56,27,0.0,5205,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,false,true,true
57,27,0.015625,46921,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false
58,27,0.015625,30733,false,true,true,false,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,true,false,false,true,false,true,true,false
59,27,0.0,7143,false,false,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,false,true
