KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.0,4307,false,true,false,true,true,false,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false
2,30,0.015625,44399,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,true,false,true,false
3,30,0.0,38529,false,true,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,false,true
4,30,0.0,31,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,30,0.0,536,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false
6,30,0.0,3067,true,false,false,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,false,false,true,true
7,30,0.0,3389,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,false
8,30,0.0,45,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true
9,30,0.0,576,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false
10,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11,30,0.0,5242,false,true,false,false,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true
12,30,0.0,8249,true,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,true,false,false,true,true,true
13,30,0.0,26838,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true
14,30,0.0,3304,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true
15,30,0.0,148,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false
16,30,0.0,76,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
17,30,0.0,3615,true,false,false,true,true,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,true,false,false
18,30,0.0,12622,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,false
19,30,0.0,61,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true
20,30,0.0,32,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
21,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
22,30,0.0,40,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true
23,30,0.0,23654,true,false,true,true,true,false,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false,true,false,true,true,true
24,30,0.015625,10643,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false
25,30,0.0,7441,false,false,true,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true
26,30,0.0,14161,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,false,true,true,false,true
27,30,0.0,156,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
28,30,0.0,1692,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false
29,30,0.0,108786,true,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,false,false,false,true,true
30,30,0.0,33,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
31,30,0.0,209,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false
32,30,0.0,7667,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true
33,30,0.0,693,true,true,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
34,30,0.015625,54757,false,true,false,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,false,false,true,false,true,true,false,true
35,30,0.0,2756,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true
36,30,0.0,10320,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,true,false
37,30,0.0,52499,true,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,true
38,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
39,30,0.0,11988,false,false,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false
40,30,0.0,120,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
41,30,0.0,130,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
42,30,0.0,7917,true,true,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,true,false,false,false,false,true,false,true,false,false,true,false,false
43,30,0.0,5161,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,true,false
44,30,0.0,99,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true
45,30,0.0,156,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true
46,30,0.0,15528,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false,false
47,30,0.0,53,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
48,30,0.0,39716,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true
49,30,0.0,290,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
50,30,0.0,29,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
51,30,0.0,43,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
52,30,0.0,190,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false
53,30,0.0,9918,false,false,true,false,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true
54,30,0.0,592,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true
55,30,0.046875,156472,true,true,false,true,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,true,true
56,30,0.0,4138,true,false,false,true,true,false,true,true,true,false,true,false,true,true,false,true,true,false,false,false,true,false,true,false,false,true,true,false,false,true
57,30,0.0,65,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true
58,30,0.0,2259,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,true
59,30,0.0,12255,true,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,false,true,false,true,false,true,true,true
60,30,0.015625,18314,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,true,true,false,false,true,false,true,true,true,true,false
61,30,0.0,30,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
62,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
63,30,0.0,25500,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,false,true
64,30,0.0,30,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
65,30,0.015625,52472,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,true,false,true,false,true
66,30,0.0,29,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
67,30,0.0,4795,true,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true
68,30,0.0,7130,false,true,false,false,false,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true
69,30,0.0,104,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true
70,30,0.0,11223,true,false,false,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,false,true
71,30,0.0,31,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
72,30,0.0,30,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
73,30,0.0,2491,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
74,30,0.015625,10140,false,false,true,true,true,false,true,false,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,false,true,true,true,true,true,true
75,30,0.0,30893,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,true,true,true,false,true,false,false,true,false,false
76,30,0.0,532,false,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false
77,30,0.0,50634,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,true,true,true,true,true,false,true,true,true
78,30,0.015625,14758,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false
79,30,0.0,19506,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true,false,false
80,30,0.0,7757,true,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false
81,30,0.0,67,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true
82,30,0.0,1550,true,true,true,false,true,true,true,false,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false
83,30,0.0,22985,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,false,true,true
84,30,0.015625,13676,true,false,false,false,false,true,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false
85,30,0.0,30526,true,false,true,false,false,true,true,false,false,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,true,true
86,30,0.0,151,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
87,30,0.0,4319,false,false,false,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true,true,false,true,false,false,true,true,true
88,30,0.0,30,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
89,30,0.015625,19188,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,false
90,30,0.0,37026,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,true,false,false,true,false,true,false,false,true,true,false,true,false,true,false
91,30,0.0,50,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
92,30,0.0,13583,false,false,false,true,false,false,false,true,false,true,false,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false
93,30,0.0,5086,false,true,false,true,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false
94,30,0.0,47073,true,true,true,false,false,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,false
95,30,0.0,2090,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true
