KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,5.46875,67077730,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
2,27,5.34375,67108845,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,27,0.390625,4733492,true,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false
4,27,2.578125,32242935,true,false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true
5,27,0.140625,1502056,false,false,false,false,true,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,false,false
6,27,2.265625,28055298,false,true,true,false,false,true,false,false,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true
7,27,5.234375,65130706,false,true,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
8,27,0.46875,6083532,false,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false
9,27,5.34375,67103989,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,27,5.140625,64967698,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false
11,27,0.0,95397,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true
12,27,5.390625,66843715,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
13,27,2.09375,25916349,false,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true
14,27,5.25,64584092,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true
15,27,5.328125,67108856,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
16,27,2.453125,30427248,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true,false,false,false,false
17,27,4.484375,56372278,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false
18,27,0.0,9511,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true
19,27,5.359375,67108862,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
20,27,5.34375,66917857,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false
21,27,0.296875,3614711,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,false,false,false
22,27,3.921875,47512816,true,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,true,false,true,false,true,true,true,true,false,true,false
23,27,0.0,7091,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
24,27,3.21875,39842408,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,true,false,false,false,true,true,true,false,true,false
25,27,3.53125,43424167,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true
26,27,3.3125,41625950,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,false,true,true
27,27,0.078125,925999,true,true,false,true,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,false
28,27,5.34375,67108864,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
29,27,0.03125,373684,false,false,true,true,false,true,false,true,false,true,false,false,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true
30,27,5.09375,63867144,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true
31,27,5.078125,63147925,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false
32,27,0.59375,6810616,false,true,false,true,false,false,false,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,false,true,true,true
33,27,5.421875,67044255,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true
