KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.28125,1166217,false,true,false,true,true,false,false,false,true,false,true,false,false,true,true,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false
2,30,28.75,214455711,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,true,false,true,false
3,30,0.328125,2333318,false,true,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,false,true
4,30,49.390625,536870652,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,30,44.8125,536561603,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false
6,30,19.40625,202794532,true,false,false,true,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,false,false,true,true
7,30,40.875,514846473,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,false
8,30,42.3125,535070874,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true
9,30,0.0,4060,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false
10,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11,30,0.015625,124271,false,true,false,false,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true
12,30,32.609375,406214151,true,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,false,false,true,true,true,true,false,true,false,false,true,true,true
13,30,13.28125,161523361,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true
14,30,41.59375,514679160,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true
15,30,42.390625,534127979,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false
16,30,44.46875,535855185,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
17,30,20.953125,250075118,true,false,false,true,true,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,true,false,false
18,30,26.828125,279920790,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,false
19,30,42.859375,536849483,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true
20,30,42.484375,536865542,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
21,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
22,30,42.65625,536696309,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true
23,30,28.375,347788448,true,false,true,true,true,false,true,true,false,true,false,false,false,true,false,true,false,true,false,true,true,false,true,true,false,true,false,true,true,true
24,30,0.09375,1089993,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false
25,30,0.03125,405726,false,false,true,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,false,true
26,30,0.421875,4573769,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,false,true,true,false,true
27,30,0.0,752,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
28,30,0.0,14863,false,false,false,false,false,false,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false
29,30,2.1875,25710528,true,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,true,false,false,false,true,true
30,30,42.84375,536848808,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
31,30,42.875,535929129,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false
32,30,30.984375,383985959,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true
33,30,0.0,9780,true,true,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
34,30,2.5,29731332,false,true,false,false,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,false,false,true,false,true,true,false,true
35,30,44.390625,505582775,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true
36,30,0.015625,115691,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,true,false
37,30,0.515625,6167239,true,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,true
38,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
39,30,0.03125,453003,false,false,true,true,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false
40,30,42.328125,536839051,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
41,30,42.390625,536604317,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
42,30,0.140625,1523155,true,true,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,true,false,false,false,false,true,false,true,false,false,true,false,false
43,30,0.015625,97631,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,true,false
44,30,42.46875,536850103,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true
45,30,41.984375,526332429,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true
46,30,0.046875,858439,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false,false
47,30,43.109375,536491550,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
48,30,2.109375,23952560,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true
49,30,0.0,2469,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
50,30,42.5625,536870789,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
51,30,45.671875,536870844,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
52,30,0.0,300,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false
53,30,33.1875,415820421,false,false,true,false,true,true,false,true,false,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true
54,30,41.328125,518253553,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true
55,30,1.890625,22507100,true,true,false,true,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,true,true
56,30,2.5625,29933989,true,false,false,true,true,false,true,true,true,false,true,false,true,true,false,true,true,false,false,false,true,false,true,false,false,true,true,false,false,true
57,30,42.546875,536863078,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true
58,30,0.0,12948,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,true
59,30,31.390625,389520705,true,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,false,true,false,false,true,false,true,false,true,true,true
60,30,5.5,67801129,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,false,true,false,true,true,false,false,true,false,true,true,true,true,false
61,30,42.375,536870574,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
62,30,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
63,30,16.546875,201307515,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,false,true
64,30,42.875,536870900,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
65,30,0.46875,5820343,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,true,false,true,false,true
66,30,45.96875,536707531,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
67,30,0.015625,30953,true,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true
68,30,0.03125,367334,false,true,false,false,false,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true
69,30,43.1875,535333773,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true
70,30,28.109375,345249155,true,false,false,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,false,true
71,30,42.921875,536870898,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
72,30,42.84375,536870912,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
73,30,36.46875,452879113,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
74,30,33.6875,418942482,false,false,true,true,true,false,true,false,true,true,false,false,true,true,true,false,true,true,false,true,false,true,true,false,true,true,true,true,true,true
75,30,0.359375,4009464,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,true,false,true,true,true,false,true,false,false,true,false,false
76,30,41.890625,526302314,false,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false
77,30,32.921875,381884873,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,true,true,true,true,true,false,true,true,true
78,30,31.875,383098109,true,true,false,false,true,true,true,true,false,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false
79,30,3.125,37755624,false,true,false,true,false,false,false,false,true,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true,false,false
80,30,18.125,227393970,true,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false
81,30,42.34375,534555659,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true
82,30,38.78125,484012674,true,true,true,false,true,true,true,false,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false
83,30,24.59375,306713780,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,true,true,false,true,true
84,30,0.671875,8190513,true,false,false,false,false,true,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,false,true,true,false,false
85,30,9.328125,114623764,true,false,true,false,false,true,true,false,false,false,true,true,false,true,true,false,true,true,false,false,true,false,true,true,false,false,true,false,true,true
86,30,44.96875,536566623,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
87,30,8.1875,100447585,false,false,false,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,true,true,false,true,false,false,true,true,true
88,30,43.03125,536870912,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
89,30,27.5625,341480212,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,false
90,30,3.828125,46590533,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,true,false,false,true,false,true,false,false,true,true,false,true,false,true,false
91,30,0.0,134,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
92,30,0.09375,1068950,false,false,false,true,false,false,false,true,false,true,false,false,true,false,true,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false
93,30,0.015625,109358,false,true,false,true,false,true,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false
94,30,15.625,154231704,true,true,true,false,false,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,false
95,30,40.046875,486609455,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true
96,30,20.984375,258670523,false,true,true,true,false,true,true,false,true,true,true,true,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,true,true
97,30,42.625,536870912,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
98,30,42.125,535061892,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false
99,30,42.234375,534855276,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true
100,30,42.328125,535408435,false,false,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
101,30,0.015625,157732,false,true,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false
102,30,12.984375,158076291,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,false,false,false,true,false,false,true
103,30,2.953125,35277326,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,true,false,false,true
104,30,0.0,168,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true
105,30,0.03125,378165,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false
106,30,0.015625,112363,false,true,true,true,true,false,false,false,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
107,30,0.703125,7970412,true,false,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false
108,30,42.375,524009687,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true
109,30,4.203125,51102692,false,false,true,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,true,true,true,true,false,true,true,true
110,30,0.0,119,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
