KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,179.03125,2146749227,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true
2,32,177.453125,2147465730,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
3,32,164.84375,1962261850,true,false,true,false,true,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true
4,32,154.875,1843965665,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,false
5,32,180.09375,2147141689,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true
6,32,0.5,5841604,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false
7,32,4.921875,57974240,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false
8,32,74.890625,905582578,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true
9,32,178.6875,2146481326,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
10,32,176.0625,2144920758,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true
11,32,68.4375,788710912,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true
12,32,0.0,298,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
13,32,3.359375,38585493,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,true,false,true,true,false,true,false
14,32,1.046875,12329010,true,false,true,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,true
