KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
1,25,0.03125,0,0.0,false,true,false,true,true,true,false,false,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true
2,25,0.03125,0,0.0,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false
3,25,0.015625,0,0.0,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false
4,25,0.015625,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,false,true
5,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true
6,25,0.0,0,0.0,false,false,true,true,false,false,true,false,true,true,false,true,true,false,false,true,false,false,true,false,true,true,false,true,true
7,25,0.015625,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true
8,25,0.0,0,0.0,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true
9,25,0.0,0,0.0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
10,25,0.015625,0,0.0,true,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true
11,25,0.0,0,0.0,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,25,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true
13,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
14,25,0.015625,0,0.0,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,false,true,true
15,25,0.015625,0,0.0,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true
16,25,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false
17,25,0.0,0,0.0,true,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,true
