KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,0.0,0,9.106362311801845E-5,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true
2,32,0.015625,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
3,32,0.0,0,0.0,true,false,true,false,true,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true
4,32,0.0,0,0.0,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,false
5,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true
6,32,0.0,0,0.0,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false
7,32,0.0,0,0.0,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false
8,32,0.0,0,0.0,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true
9,32,0.0,0,0.0,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
10,32,0.0,0,0.0,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true
11,32,0.0,0,0.0,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,true,false,false,false,true,true,false,true,false,true,true,true,true
12,32,0.0,0,0.0,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
13,32,0.0,0,0.0,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,true,false,true,true,false,true,false
14,32,0.015625,0,0.0,true,false,true,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,true
15,32,0.0,0,0.0,true,false,true,true,true,true,false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true
16,32,0.0,0,0.0,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false
17,32,0.0,0,0.0,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,true,false,false,false,true,false,true
18,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
19,32,0.015625,0,0.0,true,true,true,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false
20,32,0.0,0,2.6965080221113657E-5,true,true,false,true,false,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true
21,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
22,32,0.0,0,0.0,true,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,true,true,true
23,32,0.0,0,0.0,false,true,false,false,true,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false
24,32,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true
25,32,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
26,32,0.015625,0,0.0,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false
27,32,0.0,0,0.0,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true
