KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
1,20,0.0,0,0.0,false,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,false,true,true
2,20,0.0,0,0.0,true,false,true,true,false,false,true,false,false,false,true,true,true,true,false,true,false,true,false,true
3,20,0.0,0,0.0,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true
4,20,0.0,0,0.0,true,true,false,false,true,true,true,false,false,false,true,true,true,true,false,true,true,false,false,true
5,20,0.0,0,0.0,true,false,true,true,false,true,false,false,true,true,false,false,true,false,true,false,false,false,true,true
6,20,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,false
7,20,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
8,20,0.0,0,0.0,false,false,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,true,true,true
9,20,0.0,0,0.0,false,false,true,false,false,true,false,false,false,true,false,false,true,true,false,true,true,false,false,false
10,20,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
11,20,0.0,0,0.0,true,false,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,false,true
12,20,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true
13,20,0.0,0,0.0,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,true
14,20,0.0,0,0.0,true,true,true,false,false,false,true,false,true,false,false,true,false,true,false,false,false,true,true,true
15,20,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
16,20,0.0,0,0.0,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true
17,20,0.0,0,0.0,true,true,true,false,false,true,true,false,false,true,true,true,false,false,true,true,true,false,true,true
18,20,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
19,20,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
20,20,0.0,0,0.0,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
21,20,0.0,0,0.0,true,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false
