KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
1,25,0.0,0,0.0,false,true,false,true,false,true,false,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true
2,25,0.0,0,0.06425671455340412,false,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false
3,25,0.0,0,0.0,false,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false
4,25,0.0,0,1.3443118803562428E-4,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true
5,25,0.0,0,0.0,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,true,true
6,25,0.0,0,0.015806017063313874,false,false,true,true,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true
7,25,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true
8,25,0.0,0,0.0,false,false,true,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false
9,25,0.0,0,0.0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
10,25,0.0,0,0.0,true,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true
11,25,0.0,0,0.002949688334817453,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
12,25,0.0,0,0.0,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true
13,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
14,25,0.0,0,0.006833952477745847,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,false,true,true
15,25,0.0,0,0.0,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
16,25,0.0,0,0.0,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false
17,25,0.0,0,0.0,true,true,false,true,false,true,true,true,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,true,true
18,25,0.0,0,0.0,true,true,false,true,true,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false,true,false,true,true,false
19,25,0.0,0,0.0,true,true,false,false,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,false,false,true,true,true,false
20,25,0.0,0,0.0,true,false,false,false,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true
21,25,0.0,0,0.0,false,false,true,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,true,true,false
22,25,0.0,0,0.003847034577513167,false,true,true,false,false,false,true,false,true,true,false,true,true,false,true,false,false,true,true,true,false,false,false,true,true
23,25,0.0,0,0.006537963362733609,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false,true,true,false
24,25,0.0,0,0.00883569096844396,false,true,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true,false,true,false
25,25,0.0,0,0.013846622032866707,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true
26,25,0.0,0,0.0,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,true,true,true,false,false,false,false,false,true
27,25,0.0,0,0.0,true,false,true,true,true,true,false,true,true,false,true,true,true,false,false,false,false,true,false,true,false,false,false,true,false
28,25,0.0,0,0.0,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
29,25,0.0,0,0.05969128565846034,false,false,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false
30,25,0.0,0,0.03136420409862608,false,true,true,false,true,true,false,false,true,false,true,true,true,true,true,false,false,false,true,true,true,false,false,true,false
31,25,0.0,0,0.01255807405321695,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true
32,25,0.0,0,0.01412727196052798,true,false,false,false,true,false,false,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true
33,25,0.0,0,0.0,false,true,true,false,true,false,false,false,true,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true
34,25,0.0,0,0.027939796875637312,false,true,false,false,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true
35,25,0.0,0,0.0,true,true,true,true,false,false,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true
36,25,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,false
37,25,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
38,25,0.0,0,0.019945649387273754,false,true,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,false,false
39,25,0.0,0,0.01700515441208864,false,true,false,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,false,false,true,false
40,25,0.0,0,0.0,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true
41,25,0.0,0,0.02982862436313108,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,true,false
42,25,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,false,true,true,false,true
43,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
44,25,0.0,0,0.0,true,false,false,true,true,false,true,true,true,true,false,false,true,false,true,true,true,false,false,true,false,true,false,true,true
45,25,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
46,25,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
47,25,0.0,0,0.0,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true
48,25,0.0,0,0.0029593616234212332,true,true,false,false,true,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,true,true,true,false,true
49,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
50,25,0.0,0,0.017632241813602016,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,false,false,false,true,false,true
51,25,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
52,25,0.0,0,0.0,true,false,true,true,true,true,true,false,false,true,false,true,true,false,false,true,false,true,true,true,false,true,true,true,false
53,25,0.0,0,0.0031357214003762865,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
54,25,0.0,0,0.04250910109213105,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,false
55,25,0.0,0,0.005855533702842839,true,false,true,true,false,true,false,true,true,true,true,false,true,false,false,true,true,true,true,false,true,false,false,false,true
56,25,0.0,0,0.0072507552870090634,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false
57,25,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
