KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,0.0,0,0.0,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true
2,32,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true
3,32,0.0,0,0.006868947708198838,true,false,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true
4,32,0.0,0,5.730659025787965E-4,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
5,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true
6,32,0.0,0,0.0,false,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,true,true,false,false
7,32,0.0,0,0.0,false,true,true,true,true,true,false,false,false,true,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false
8,32,0.0,0,0.014805922368947578,false,false,true,true,false,false,true,true,false,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true
9,32,0.0,0,0.0021887702684593737,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true
10,32,0.0,0,0.0,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true
11,32,0.0,0,0.0027823973391326597,false,false,false,false,true,false,false,false,true,true,false,false,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true
12,32,0.0,0,0.0,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true
13,32,0.0,0,0.008557721398625578,true,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,false,true,false,true,false
14,32,0.0,0,0.007017073388754805,true,false,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,true
15,32,0.0,0,0.022712207375361965,true,false,true,false,true,true,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,true,true,false,false,true,true,true,false,true,false,false
16,32,0.0,0,0.0,false,true,false,false,false,false,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false
17,32,0.0,0,0.013655518216247933,false,false,false,true,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true
18,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
19,32,0.0,0,0.0,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true
20,32,0.0,0,0.0,true,true,false,true,true,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true
21,32,0.0,0,0.001522373905013851,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
22,32,0.0,0,0.0,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,true,false,true,true,true,false,false,true,false
23,32,0.0,0,0.006804629954401964,true,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false
24,32,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true
25,32,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
26,32,0.0,0,0.0,false,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true
27,32,0.0,0,0.004138950480413895,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true
28,32,0.0,0,0.015165031222123104,false,true,true,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,false
29,32,0.0,0,0.004031551270815075,true,true,true,true,true,true,true,false,true,false,true,false,false,true,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,false,true,true
30,32,0.0,0,0.0,true,false,true,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,false,true,false,true,false,false,false,true,true,false,false,false,true
31,32,0.0,0,0.0036278275714895433,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,false,true,true,false,true,false,true,false,false,true,true,true,true,true,false,true,true
32,32,0.0,0,0.0014074415272020062,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true
33,32,0.0,0,0.003950175883743729,true,false,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,false,true,true,false,true,true,false,false,true,true,true,false,true,true
34,32,0.0,0,0.033341520324204836,true,true,false,true,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false
35,32,0.0,0,0.010580214433223005,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
36,32,0.0,0,0.012946144040790312,true,false,true,false,true,false,true,true,true,false,false,false,false,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true
37,32,0.0,0,0.01040088861961022,false,false,true,false,false,true,false,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,false,false,true,false,false,true,true
38,32,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
39,32,0.0,0,0.0015532108617642333,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true
40,32,0.0,0,0.0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
41,32,0.0,0,0.013140446051838457,true,true,false,true,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,false,true,true,false,false,true
42,32,0.0,0,0.002228636147747616,true,false,false,true,true,false,false,true,true,false,true,false,true,false,true,false,true,true,true,false,true,true,true,true,false,false,true,true,false,false,false,true
43,32,0.0,0,0.0,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
44,32,0.0,0,0.0,false,true,true,false,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,true,false,true,true,false,true,true
45,32,0.0,0,0.0,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,true,false,true,false,true,true,true,true,true,true
46,32,0.0,0,0.003911134761207928,true,false,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false
47,32,0.0,0,0.0,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,false,true,true,true,false,false,true,true,false
48,32,0.0,0,0.0,true,false,false,true,false,true,true,true,false,false,true,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true
49,32,0.0,0,0.005040751530228143,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false
50,32,0.0,0,0.0,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false
51,32,0.0,0,1.3378642335375805E-4,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
52,32,0.0,0,0.0,false,true,false,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
53,32,0.0,0,0.00859162235767086,true,true,false,false,true,true,true,false,true,false,true,false,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,false
54,32,0.0,0,0.004848868158220676,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
