KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9
1,10,0.0,0,0.01638733705772812,true,true,false,true,true,false,false,false,true,false
2,10,0.0,0,0.05379513633014001,false,false,false,true,false,false,false,true,false,false
3,10,0.0,0,4.4519633158222774E-4,true,true,false,true,true,true,true,true,true,true
4,10,0.0,0,0.0,true,true,true,false,true,true,true,true,true,true
5,10,0.0,0,0.030082276311278713,true,true,false,true,true,true,false,false,true,true
6,10,0.0,0,0.0,true,true,false,true,true,false,true,false,true,true
7,10,0.0,0,0.0,true,true,true,true,false,false,true,true,true,true
8,10,0.0,0,0.0,false,true,false,true,true,false,false,true,true,true
9,10,0.0,0,0.04566810749859049,false,false,false,true,false,false,true,true,false,false
10,10,0.0,0,0.0,true,false,true,true,true,false,false,false,true,true
11,10,0.0,0,0.0,true,true,false,false,false,false,false,true,false,true
12,10,0.0,0,0.0,true,false,false,true,true,false,false,false,false,true
13,10,0.0,0,0.0,false,false,true,true,true,false,true,false,true,false
14,10,0.0,0,0.013230332090214882,true,false,true,true,false,true,true,false,false,true
15,10,0.0,0,0.0,false,false,false,false,false,false,true,true,true,false
16,10,0.0,0,0.0,true,false,true,false,false,false,false,false,false,true
17,10,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true
18,10,0.0,0,0.0,false,false,true,true,true,false,false,true,false,false
19,10,0.0,0,0.013915732508697333,true,true,false,true,false,true,false,true,false,true
20,10,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true
21,10,0.0,0,0.0,false,false,false,false,false,false,false,false,true,false
22,10,0.0,0,0.0,true,false,true,false,true,false,true,false,true,true
23,10,0.0,0,0.0,false,true,true,false,false,true,true,false,true,true
24,10,0.0,0,0.0,false,true,false,true,false,true,true,true,true,true
25,10,0.0,0,9.984025559105431E-5,false,true,true,false,true,false,true,true,true,true
26,10,0.0,0,0.03563100457046917,true,true,true,false,true,true,true,true,false,false
27,10,0.0,0,0.0,false,true,false,true,false,false,false,false,true,false
28,10,0.0,0,0.0,false,false,false,false,false,false,false,false,false,true
29,10,0.0,0,0.0,true,true,true,false,true,false,true,true,true,true
30,10,0.0,0,0.0,true,true,true,true,true,false,true,true,false,true
31,10,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true
32,10,0.0,0,0.0,true,false,true,false,false,false,true,true,false,false
33,10,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false
34,10,0.0,0,0.06881720430107527,true,true,false,true,false,true,true,false,true,true
35,10,0.0,0,0.020487460261391734,false,true,true,false,true,true,false,true,true,true
36,10,0.0,0,0.0,false,false,false,false,false,false,false,true,false,true
37,10,0.0,0,0.01621258633921719,true,true,true,false,true,false,false,false,true,true
38,10,0.0,0,0.0,false,true,false,true,false,false,false,true,true,true
39,10,0.0,0,0.0,true,false,true,true,true,true,true,true,false,true
40,10,0.0,0,0.09441826748822037,false,false,true,true,false,false,false,true,false,true
41,10,0.0,0,0.0042710153368278,true,false,true,false,true,false,false,false,true,false
42,10,0.0,0,0.0,true,false,false,true,true,true,false,false,false,false
43,10,0.0,0,0.0015419407894736842,true,true,true,true,true,true,true,false,false,false
44,10,0.0,0,0.0,true,false,true,false,true,true,false,true,false,true
45,10,0.0,0,0.0,true,true,true,true,true,false,false,true,false,false
46,10,0.0,0,0.0,true,true,true,false,false,true,true,true,false,true
47,10,0.0,0,0.0,false,true,true,true,true,true,true,false,true,true
48,10,0.0,0,0.0,true,true,true,false,false,false,false,false,true,false
49,10,0.0,0,0.08695652173913043,false,false,false,false,false,false,true,true,false,true
50,10,0.0,0,0.0500208420175073,true,true,true,true,false,true,true,true,true,false
51,10,0.0,0,0.01141552511415525,false,false,true,false,true,false,false,true,false,true
52,10,0.0,0,0.0,true,true,true,false,true,true,true,true,true,true
53,10,0.0,0,0.0,false,false,false,true,true,true,true,false,false,false
54,10,0.0,0,0.10496128477201032,false,false,false,false,false,false,true,true,false,false
