KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
2,27,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,27,0.0,0,0.0,true,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,false,true,false,false
4,27,0.0,0,0.0,true,false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,true
5,27,0.0,0,0.002376194847977534,false,false,false,false,true,true,false,true,true,false,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false
6,27,0.0,0,0.0022377824297985997,false,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,false,false,true,false,true,true,true,false,true,true,true
7,27,0.0,0,0.004644885917835734,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true
8,27,0.0,0,0.0,false,false,true,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,false,false
9,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
10,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false
11,27,0.0,0,0.04267701260911736,false,true,true,true,true,false,true,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false
12,27,0.0,0,0.0,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
13,27,0.0,0,2.2144307067724673E-4,false,false,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true
14,27,0.0,0,0.0,true,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true
15,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
16,27,0.0,0,0.00782051282051282,true,true,false,false,true,true,true,false,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true,true,false,false,false
17,27,0.0,0,0.008282319049333813,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true
18,27,0.0,0,0.0,false,true,false,false,true,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,true
19,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
20,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false
21,27,0.0,0,0.0,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,false,false,false
22,27,0.0,0,0.008829446389985843,true,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,true,true,true,false
23,27,0.0,0,0.06751224211286827,false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,true,true,false
24,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,true,false,false,false,true,true,true,false,true,false
25,27,0.0,0,0.0,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,false,true,false,true
26,27,0.0,0,0.004156036540202452,true,true,true,true,true,true,false,true,true,false,true,false,true,true,false,true,false,false,false,true,false,true,true,false,true,true,true
27,27,0.0,0,0.012691638119840512,true,true,true,true,true,true,false,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false
28,27,0.0,0,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
29,27,0.0,0,0.03881007733548418,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,false,false,false,true,false,false,false,true,true,false,true
30,27,0.0,0,0.0,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true
31,27,0.0,0,0.0,true,true,true,false,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false
32,27,0.0,0,0.024697091231477182,false,true,false,false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,true,true,true,false,true,false,true,true,true
33,27,0.0,0,0.020816633266533068,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false
34,27,0.0,0,0.0,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false
35,27,0.0,0,0.0,false,true,true,false,true,false,true,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,true,false,false,true,false
36,27,0.0,0,0.0021218658273508507,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,false,false,true,true,false,false
37,27,0.0,0,0.12687813021702837,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
38,27,0.0,0,0.0,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
39,27,0.0,0,0.006764374295377677,true,true,false,true,false,true,false,true,false,true,false,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true
40,27,0.0,0,0.014880310545611387,false,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
41,27,0.0,0,7.534246575342466E-4,true,true,true,true,false,true,false,true,true,false,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,true,true
42,27,0.0,0,0.0,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,true
