KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,0.0,0,0.0,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true
2,32,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
3,32,0.0,0,0.006868947708198838,true,true,true,false,true,true,true,false,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true
4,32,0.0,0,5.730659025787965E-4,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,true,false,true
5,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true
6,32,0.0,0,0.0,true,true,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false
7,32,0.0,0,0.0,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false
8,32,0.0,0,0.014805922368947578,false,true,true,true,false,true,true,true,true,false,false,true,false,false,false,true,false,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true
9,32,0.0,0,0.0021887702684593737,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true
10,32,0.0,0,0.0,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true
11,32,0.0,0,0.0027823973391326597,false,false,false,true,true,true,false,false,true,true,true,false,true,true,false,false,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true
12,32,0.0,0,0.0,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
13,32,0.0,0,0.008557721398625578,true,false,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,true,true,false,true,false
14,32,0.0,0,0.007017073388754805,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,true,false,true,true,false,false,false,true
15,32,0.0,0,0.022712207375361965,true,false,true,true,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,false,true,false,false,true,false,true
16,32,0.0,0,0.0,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false
17,32,0.0,0,0.013655518216247933,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,true,true
18,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
19,32,0.0,0,0.0,true,true,true,false,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,false,false,false
20,32,0.0,0,0.0,true,true,false,true,false,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
21,32,0.0,0,0.001522373905013851,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
22,32,0.0,0,0.0,true,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,true,true,true
23,32,0.0,0,0.006804629954401964,true,true,false,false,true,true,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false
24,32,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true
25,32,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
26,32,0.0,0,0.0,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false
27,32,0.0,0,0.004138950480413895,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true
28,32,0.0,0,0.015165031222123104,true,true,true,true,true,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true
29,32,0.0,0,0.004031551270815075,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,false,false,true,true,true,true,false,true,false,false,true,false,true,false,true
30,32,0.0,0,0.0,true,true,true,false,false,true,false,false,true,true,false,true,false,false,true,false,true,false,false,true,false,false,true,false,true,false,true,true,false,true,true,false
