KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
1,20,0.0,6187,0.0,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true
2,20,0.0,11633,0.0,false,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true
3,20,0.0,10010,0.0,false,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true
4,20,0.0,11685,0.0,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true
5,20,0.0,14342,0.0,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false
6,20,0.0,15068,0.0,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true
7,20,0.0,21234,0.0,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
8,20,0.0,11726,0.0,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false
9,20,0.0,20439,0.0,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false
10,20,0.0,17877,0.0,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
11,20,0.0,12863,0.0,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false
12,20,0.0,15593,0.0,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true
13,20,0.0,36496,0.0,true,false,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true
14,20,0.0,23459,0.0,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true,false,true
15,20,0.0,22867,0.0,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,false
16,20,0.0,9512,0.0,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true
17,20,0.015625,19233,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false
18,20,0.0,13954,0.0,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true
19,20,0.0,16758,0.0,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true
20,20,0.0,16289,0.0,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
21,20,0.0,15955,0.0,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
22,20,0.0,3426,0.0,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
23,20,0.0,8016,0.0,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false
24,20,0.0,6941,0.0,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true
25,20,0.015625,16887,0.0,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false
26,20,0.0,22050,0.0,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true
27,20,0.0,22500,0.0,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false
28,20,0.0,29289,0.0,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,false
29,20,0.0,16130,0.0,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false
30,20,0.0,5234,0.0,true,true,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true
31,20,0.015625,6902,0.0,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true
32,20,0.0,8993,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true
33,20,0.0,25026,0.0,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,true,true,true
34,20,0.0,11647,0.0,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true
35,20,0.0,8454,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false
36,20,0.0,19384,0.0,true,false,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true
37,20,0.0,19454,0.0,true,false,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true
38,20,0.0,12000,0.0,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false
39,20,0.0,5995,0.0,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true
40,20,0.0,13338,0.0,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false
41,20,0.0,16775,0.0,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,false
42,20,0.0,18286,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,true,true
