KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
1,22,0.0,15115,0.0,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false
2,22,0.015625,30449,0.0,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,false
3,22,0.0,19072,0.0,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true
4,22,0.015625,55389,0.0,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true
5,22,0.0,38359,0.0,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
6,22,0.015625,66300,0.0,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false
7,22,0.0,32366,0.0,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true
8,22,0.0,68569,0.0,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true
9,22,0.015625,40078,0.0,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
10,22,0.0,36953,0.0,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false,false,true,true
11,22,0.015625,38586,0.0,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true
12,22,0.0,96010,0.0,true,false,true,true,true,true,true,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true
13,22,0.0,80302,0.0,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true
14,22,0.0,34339,0.0,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true
15,22,0.0,42537,0.0,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true
16,22,0.015625,30669,0.0,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
17,22,0.0,56470,0.0,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true
