KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,0.109375,209163,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true
2,27,0.0625,323787,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,false
3,27,0.109375,635802,0.0,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,true
4,27,0.140625,681938,0.0,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true
5,27,0.1875,959099,0.0,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,true,true
6,27,0.109375,531506,0.0,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false
7,27,0.25,928533,0.0,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true
8,27,0.203125,1042114,0.0,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false
9,27,0.09375,684688,0.0,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false
10,27,0.5625,2228671,0.0,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false
11,27,0.25,1430173,0.0,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true
12,27,0.078125,343079,0.0,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
13,27,0.125,544594,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false
14,27,0.25,1219530,0.0,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
15,27,0.171875,802235,0.0,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false
16,27,0.09375,405085,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false
17,27,0.03125,99290,0.0,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true
18,27,0.03125,292390,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,false,false
19,27,0.15625,758643,0.0,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true
20,27,0.171875,1170390,0.0,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true
21,27,0.203125,1277924,0.0,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,false
22,27,0.125,845110,0.0,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,false,true
23,27,0.015625,192875,0.0,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true
24,27,0.078125,489304,0.0,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true
25,27,0.140625,770115,0.0,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true
26,27,0.109375,634497,0.0,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false
27,27,0.125,784518,0.0,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true
28,27,0.15625,840672,0.0,true,false,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true
29,27,0.0625,425631,0.0,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true
30,27,0.046875,450434,0.0,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true
31,27,0.078125,528174,0.0,true,false,true,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true
32,27,0.046875,248183,0.0,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
33,27,0.015625,213980,0.0,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true
34,27,0.046875,277140,0.0,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false
