KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.0625,510918,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true
2,30,0.328125,2719136,0.0,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true
3,30,0.53125,4661712,0.0,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true
4,30,0.484375,3979218,0.0,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,true,true
5,30,0.328125,3107377,0.0,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true
6,30,1.046875,7617175,0.0,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true
7,30,0.40625,3082396,0.0,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
8,30,0.375,3729199,0.0,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true
9,30,0.609375,5429582,0.0,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true
10,30,0.578125,5216517,0.0,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
11,30,0.265625,2459001,0.0,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true
12,30,0.265625,2642155,0.0,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true
13,30,0.515625,5222509,0.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true
14,30,0.234375,2215085,0.0,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
15,30,0.09375,978944,0.0,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
16,30,0.15625,1440881,0.0,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false
17,30,0.53125,4975861,0.0,true,true,true,true,true,false,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true
18,30,0.703125,6485653,0.0,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true
19,30,0.4375,3516088,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
20,30,0.25,2249009,0.0,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true
21,30,0.109375,936745,0.0,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false
22,30,0.453125,2735258,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true
23,30,0.359375,2570511,0.0,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true
24,30,0.3125,2402440,0.0,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,true,false,true,true,true
25,30,0.421875,3127777,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,false,true,true,false,true,true,true,true
26,30,0.140625,1124961,0.0,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false
27,30,0.390625,2846272,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true
28,30,0.375,3259937,0.0,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true
29,30,0.09375,860519,0.0,true,false,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
30,30,0.078125,868099,0.0,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true
31,30,0.25,2215969,0.0,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true
32,30,0.53125,4158291,0.0,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false
33,30,0.90625,8263851,0.0,true,true,true,false,false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true
34,30,0.4375,4409224,0.0,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,false,true
35,30,0.140625,933576,0.0,true,true,false,false,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
36,30,0.546875,4078395,0.0,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true
