KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,0.328125,1734839,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true
2,32,1.875,10129469,0.0,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false
3,32,2.421875,14365929,0.0,true,true,false,false,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
4,32,1.734375,10824487,0.0,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true
5,32,1.5625,10767620,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,true,true,false,true
6,32,2.046875,18705657,0.0,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,false,false,false,true,false,true,true,true
7,32,1.65625,13087307,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,false,false,true,true,true,false
8,32,1.25,11347023,0.0,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false
9,32,4.484375,37911044,0.0,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true
10,32,1.34375,12627071,0.0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false
11,32,0.328125,2961024,0.0,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true
12,32,1.328125,11811750,0.0,true,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true
13,32,0.71875,6770109,0.0,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true
14,32,0.296875,2638969,0.0,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
15,32,0.25,2253821,0.0,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true
16,32,1.34375,12574868,0.0,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true
17,32,1.765625,15356794,0.0,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true
18,32,1.28125,12542072,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,true,true,false,false,true,true,true
19,32,1.109375,9951948,0.0,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,true,true,false,true,true,true,true,true,true
20,32,0.359375,3861066,0.0,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true
21,32,0.9375,9341128,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,true,false,true,true,true,true,true,true
22,32,1.21875,11380565,0.0,true,true,true,true,false,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
23,32,0.625,6040070,0.0,true,true,false,true,false,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
24,32,2.046875,19373565,0.0,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true
25,32,0.21875,2306017,0.0,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true
26,32,1.046875,10237794,0.0,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true
27,32,0.625,5952987,0.0,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
28,32,0.234375,2528614,0.0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,true
29,32,0.421875,3935432,0.0,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false
30,32,1.3125,12910795,0.0,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,false
31,32,2.671875,24562464,0.0,false,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
32,32,1.75,17584858,0.0,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true,false,true,true,true
33,32,0.328125,3106630,0.0,true,false,true,true,false,true,false,true,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
34,32,1.234375,11155702,0.0,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true
35,32,0.609375,5174501,0.0,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true
36,32,0.59375,5922054,0.0,true,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false
37,32,2.09375,20046033,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,true,false
