KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
1,15,0.0,14080,0.0,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true
2,15,0.0,14010,0.0,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false
3,15,0.0,14140,0.0,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false
4,15,0.0,15195,0.0,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true
5,15,0.0,12964,0.0,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true
6,15,0.0,13189,0.0,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true
7,15,0.0,14114,0.0,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
8,15,0.0,14862,0.0,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false
9,15,0.0,13279,0.0,true,true,false,true,true,true,false,true,false,true,true,true,true,false,true
10,15,0.0,13386,0.0,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true
11,15,0.015625,13623,0.0,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true
12,15,0.0,15063,0.0,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false
13,15,0.0,15359,0.0,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false
14,15,0.0,14210,0.0,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false
15,15,0.0,13972,0.0,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true
16,15,0.0,14898,0.0,false,true,false,false,true,true,true,true,true,true,true,true,true,true,false
17,15,0.0,13943,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true
18,15,0.015625,15434,0.0,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false
19,15,0.0,14713,0.0,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true
20,15,0.0,13873,0.0,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true
21,15,0.0,14271,0.0,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false
22,15,0.0,14541,0.0,true,true,true,true,true,true,false,true,true,true,true,false,false,true,false
23,15,0.0,15154,0.0,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true
24,15,0.0,15305,0.0,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true
25,15,0.0,14402,0.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true
26,15,0.015625,14247,0.0,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false
27,15,0.0,13236,0.0,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
28,15,0.0,14448,0.0,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false
29,15,0.0,13645,0.0,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true
30,15,0.0,13436,0.0,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true
31,15,0.0,14751,0.0,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true
32,15,0.0,13721,0.0,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true
33,15,0.0,13664,0.0,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true
34,15,0.0,14505,0.0,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true
35,15,0.015625,13411,0.0,true,true,false,false,true,true,true,true,true,false,true,true,true,false,true
36,15,0.0,14367,0.0,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true
37,15,0.0,13762,0.0,true,true,true,false,false,true,true,false,true,true,false,true,true,true,true
38,15,0.0,13836,0.0,true,true,true,true,true,true,false,true,false,false,true,false,true,true,true
39,15,0.0,15174,0.0,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true
40,15,0.0,13156,0.0,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true
41,15,0.0,13292,0.0,true,false,true,false,true,true,true,true,true,false,true,true,false,true,true
42,15,0.0,12620,0.0,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true
43,15,0.015625,14096,0.0,true,true,true,false,true,false,true,true,true,true,true,true,false,false,true
44,15,0.0,14422,0.0,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true
45,15,0.0,13818,0.0,false,true,true,true,true,false,true,false,true,true,true,true,false,true,true
46,15,0.0,14077,0.0,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true
47,15,0.0,14369,0.0,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true
48,15,0.0,14372,0.0,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false
49,15,0.0,13482,0.0,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true
50,15,0.0,13599,0.0,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true
51,15,0.0,13014,0.0,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true
