KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
1,20,0.03125,447486,0.0,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true
2,20,0.03125,444605,0.0,false,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true
3,20,0.03125,485513,0.0,false,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true
4,20,0.03125,465268,0.0,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true
5,20,0.03125,472628,0.0,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false
6,20,0.046875,447565,0.0,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true
7,20,0.03125,463647,0.0,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
8,20,0.046875,479291,0.0,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false
9,20,0.015625,460281,0.0,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false
10,20,0.046875,480253,0.0,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
11,20,0.046875,475019,0.0,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false
12,20,0.03125,457217,0.0,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true
13,20,0.046875,458402,0.0,true,false,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true
14,20,0.03125,478487,0.0,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true,false,true
15,20,0.03125,466272,0.0,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,false
16,20,0.046875,462969,0.0,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true
17,20,0.03125,476528,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false
18,20,0.03125,442594,0.0,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true
19,20,0.046875,457218,0.0,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true
20,20,0.03125,474340,0.0,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
21,20,0.03125,430549,0.0,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true
22,20,0.03125,471700,0.0,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
23,20,0.03125,476078,0.0,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false
24,20,0.03125,478436,0.0,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,true,true,false,true
25,20,0.03125,484387,0.0,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false
26,20,0.03125,471213,0.0,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true
