KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
1,22,0.125,1995320,0.0,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false
2,22,0.125,1834011,0.0,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false,false
3,22,0.125,1829790,0.0,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true
4,22,0.140625,1933754,0.0,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true
5,22,0.140625,1904071,0.0,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
6,22,0.203125,1919849,0.0,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false
7,22,0.140625,1863522,0.0,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true
8,22,0.109375,1847293,0.0,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true
9,22,0.125,1902280,0.0,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
10,22,0.125,1920096,0.0,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false,false,true,true
11,22,0.140625,1816523,0.0,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true
12,22,0.125,1906108,0.0,true,false,true,true,true,true,true,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true
13,22,0.140625,1771301,0.0,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true
14,22,0.140625,1823868,0.0,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true
15,22,0.109375,1761029,0.0,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true
16,22,0.140625,1967618,0.0,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
17,22,0.125,1784044,0.0,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true
18,22,0.125,1738531,0.0,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true
19,22,0.125,1777416,0.0,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true
20,22,0.125,1668545,0.0,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
21,22,0.140625,1909089,0.0,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false
22,22,0.125,1742423,0.0,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true
23,22,0.125,1948735,0.0,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true
24,22,0.140625,1926494,0.0,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false
25,22,0.125,1837879,0.0,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false
26,22,0.140625,1957890,0.0,true,true,false,false,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false
27,22,0.140625,1806399,0.0,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,false
28,22,0.15625,1853363,0.0,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
29,22,0.140625,1807829,0.0,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
30,22,0.140625,1776910,0.0,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true
31,22,0.140625,1885643,0.0,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,true,false,true,false
32,22,0.140625,1874713,0.0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false
33,22,0.125,1924496,0.0,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false
34,22,0.140625,1936911,0.0,false,true,false,true,true,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
35,22,0.140625,1822710,0.0,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true
36,22,0.125,1903415,0.0,true,true,true,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true
37,22,0.125,1859890,0.0,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true
38,22,0.140625,1912809,0.0,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
39,22,0.140625,1891287,0.0,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
40,22,0.140625,1926074,0.0,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true
41,22,0.140625,1898747,0.0,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,false,false,true,true
42,22,0.15625,1965975,0.0,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,false
43,22,0.125,1871530,0.0,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true
44,22,0.140625,1890245,0.0,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true
45,22,0.125,1848487,0.0,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true
46,22,0.140625,1949917,0.0,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,false,true,true,true,true,true
47,22,0.125,1777767,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,false,false,true,true
48,22,0.140625,1879565,0.0,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false,false,true
49,22,0.140625,1860784,0.0,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true
50,22,0.140625,1935987,0.0,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false
51,22,0.140625,1771080,0.0,false,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,true
52,22,0.125,1686795,0.0,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true
53,22,0.125,1893094,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false
54,22,0.125,1836915,0.0,false,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,false,true,true,true,true
55,22,0.125,1728622,0.0,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true
56,22,0.140625,1938272,0.0,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true
57,22,0.15625,1859442,0.0,true,true,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true
58,22,0.140625,1968068,0.0,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
59,22,0.125,1777668,0.0,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true
60,22,0.140625,1898956,0.0,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false
61,22,0.125,1881202,0.0,true,false,true,true,false,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true
