KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
1,25,1.296875,15679363,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false
2,25,1.15625,14889405,0.0,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true
3,25,1.140625,15499090,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,false,true,true,false,true,true
4,25,1.09375,14956317,0.0,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true
5,25,1.171875,15595131,0.0,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false
6,25,1.09375,15574359,0.0,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false
7,25,1.125,15109713,0.0,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,false,true,false,true
8,25,1.140625,15867674,0.0,true,false,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true
9,25,1.09375,15208644,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true
10,25,1.0625,14770775,0.0,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true
11,25,1.09375,15090636,0.0,true,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true
12,25,1.0625,14986023,0.0,false,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
13,25,1.046875,14859284,0.0,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true
14,25,1.125,15385627,0.0,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,false,true,true,true,true,false,true
15,25,1.0,14065511,0.0,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
16,25,1.078125,15148286,0.0,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,true
17,25,1.0,13561962,0.0,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
