KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,6.234375,54481450,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,false,true,true
2,27,6.890625,63260102,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,false
3,27,7.078125,61524875,0.0,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,true,true,true,true,true,true
4,27,5.96875,61169166,0.0,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true
5,27,5.28125,61227535,0.0,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,false,true,true
6,27,5.46875,62548596,0.0,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false
7,27,5.90625,60911346,0.0,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true
8,27,5.25,60356696,0.0,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,false,true,false
9,27,5.0625,59779775,0.0,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false
10,27,5.625,61644601,0.0,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false
11,27,5.0,61903137,0.0,false,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true
12,27,5.140625,59842953,0.0,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
13,27,5.03125,61961212,0.0,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false
14,27,4.8125,58075198,0.0,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
15,27,5.046875,62530172,0.0,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false
16,27,4.953125,60870070,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false
