KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,39.265625,495860154,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true
2,30,38.171875,486053404,0.0,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true
3,30,39.53125,502105350,0.0,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true
4,30,41.390625,485038342,0.0,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,false,true,true,true,false,true,true,true
5,30,39.546875,504045784,0.0,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true,true,false,true,true,true
6,30,37.53125,473006667,0.0,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true
7,30,39.625,502481186,0.0,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
8,30,40.125,510119268,0.0,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true
9,30,40.3125,511067662,0.0,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true
10,30,38.796875,493084958,0.0,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
11,30,37.546875,479194201,0.0,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true
12,30,42.765625,492138820,0.0,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true
13,30,40.125,509047600,0.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true
14,30,38.671875,490605821,0.0,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
15,30,36.828125,463731769,0.0,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
16,30,40.0,501703630,0.0,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false
17,30,36.421875,463341153,0.0,true,true,true,true,true,false,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true
18,30,38.109375,485738335,0.0,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true
19,30,38.859375,491100693,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
20,30,42.15625,490842783,0.0,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true
21,30,51.5625,509800573,0.0,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false
22,30,48.734375,490113820,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true
23,30,51.625,495164815,0.0,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true
24,30,43.453125,485194009,0.0,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,false,true,false,true,true,true
25,30,37.78125,481304456,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,false,true,true,false,true,true,true,true
26,30,38.9375,495922408,0.0,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false
27,30,40.484375,476105804,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true
28,30,38.484375,492028039,0.0,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true
29,30,37.71875,483564959,0.0,true,false,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
30,30,38.15625,489404386,0.0,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true
31,30,38.109375,484005588,0.0,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true
32,30,39.0625,491783081,0.0,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false
