KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true
2,30,0.0,0,0.0,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true
3,30,0.0,0,0.0,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true
4,30,0.0,0,7.48671108781912E-5,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false
5,30,0.0,0,0.0,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true
6,30,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,false,false,true,true,true,false,true
7,30,0.0,0,7.174887892376682E-5,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,false
8,30,0.0,0,6.940347711420342E-5,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false
9,30,0.0,0,3.5123458958238204E-5,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true
10,30,0.0,0,3.497481813094572E-5,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true
11,30,0.0,0,0.0,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true
12,30,0.0,0,3.727448933949605E-5,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,false,true,false,true
13,30,0.015625,0,0.0,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true
14,30,0.0,0,0.0,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
15,30,0.0,0,0.0,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
16,30,0.0,0,0.0,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false
17,30,0.0,0,7.58782912208817E-5,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true
18,30,0.0,0,0.0,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true
19,30,0.0,0,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true
