KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,true,false,true,true
2,32,0.0,0,1.4634324808839133E-4,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,false,true,false
3,32,0.0,0,3.206772703950744E-5,false,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true
4,32,0.015625,0,0.0,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true
5,32,0.0,0,0.0,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true
6,32,0.0,0,3.1143916036002365E-5,true,false,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,false,true,true,true
7,32,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,false,false,true,true,true,false
8,32,0.015625,0,0.0,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false
9,32,0.0,0,3.1909122818213725E-5,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true
10,32,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false
11,32,0.015625,0,0.0,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true
12,32,0.0,0,6.941311213688266E-5,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false
13,32,0.0,0,0.0,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true
14,32,0.0,0,0.0,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false
15,32,0.0,0,0.0,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true
16,32,0.0,0,0.0,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true
17,32,0.0,0,0.0,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true
18,32,0.015625,0,3.541327289468093E-5,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,false,true,false,false,false,true,true
19,32,0.0,0,6.353038340586386E-5,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true
20,32,0.0,0,0.0,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true
21,32,0.015625,0,1.3097148096002096E-4,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,false,true
22,32,0.0,0,1.45623998835008E-4,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true
23,32,0.0,0,0.0,true,true,false,true,false,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
24,32,0.0,0,0.0,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true
25,32,0.0,0,7.670476336580502E-5,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true
26,32,0.0,0,0.0,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true
27,32,0.0,0,0.0,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
28,32,0.015625,0,0.0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,true
29,32,0.0,0,0.0,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false
30,32,0.0,0,0.0,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,false
31,32,0.0,0,0.0,false,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
32,32,0.0,0,0.0,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true,false,true,true,true
33,32,0.0,0,1.100190699721285E-4,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true
34,32,0.0,0,6.61791469507958E-5,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true
35,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true
36,32,0.0,0,0.0,true,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false
37,32,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,true,false
38,32,0.0,0,7.013606396409034E-5,false,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false
39,32,0.015625,0,6.886103842445945E-5,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false
40,32,0.0,0,0.0,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,false,true
41,32,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false
42,32,0.0,0,0.0,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false
43,32,0.0,0,0.0,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false
44,32,0.0,0,0.0,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false
45,32,0.0,0,0.0,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
46,32,0.0,0,0.0,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,false
47,32,0.015625,0,0.0,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
48,32,0.0,0,0.0,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true
