KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
1,27,0.015625,0,3.3057851239669424E-4,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true
2,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,false
3,27,0.0,0,4.1406152954329015E-4,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true
4,27,0.015625,0,0.0,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true
5,27,0.0,0,2.743591753547072E-4,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true
6,27,0.015625,0,0.0,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false
7,27,0.0,0,3.678499172337686E-5,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true
8,27,0.0,0,2.946748053041465E-4,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false
9,27,0.0,0,2.0848970060878994E-4,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,false,false,true,true,false
10,27,0.0,0,1.1525606054785047E-4,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,true,true,true,false,true,true,false
11,27,0.0,0,7.646721468170522E-5,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true
12,27,0.0,0,0.0,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
13,27,0.0,0,3.5744604798713193E-4,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,false,false
14,27,0.0,0,0.0,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
15,27,0.0,0,2.890650809382227E-4,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true
16,27,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false
17,27,0.0,0,0.0,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true
18,27,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,false,false,false
19,27,0.0,0,0.0,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true
20,27,0.0,0,0.0,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true
21,27,0.0,0,8.192692118630181E-5,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,false
22,27,0.0,0,1.1378721790252228E-4,false,true,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,false,true,true,false,true,false,true
23,27,0.0,0,0.0,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true
24,27,0.0,0,0.0,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true
25,27,0.0,0,0.0,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true
26,27,0.0,0,8.745845723281441E-5,false,true,true,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true
27,27,0.0,0,0.0,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true
28,27,0.0,0,2.673082063619353E-4,true,true,true,false,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true
29,27,0.0,0,0.0,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true
30,27,0.0,0,8.248783304462591E-5,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,true
31,27,0.0,0,7.974799633159217E-5,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true
32,27,0.0,0,8.252867871585376E-5,false,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
33,27,0.0,0,3.959141658088527E-5,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false
34,27,0.015625,0,0.0,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false
35,27,0.0,0,4.6280226773111186E-4,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false,false
36,27,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true
37,27,0.0,0,0.0,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false
38,27,0.0,0,1.5475683831779317E-4,true,true,true,true,false,true,false,true,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true
39,27,0.0,0,0.0,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false
40,27,0.0,0,1.9466614755693986E-4,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true
41,27,0.0,0,0.0,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true
42,27,0.0,0,3.749531308586427E-5,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true
43,27,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false
44,27,0.015625,0,7.829627309740057E-5,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
45,27,0.0,0,0.0,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true
46,27,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true
47,27,0.0,0,2.861581228027144E-4,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true
48,27,0.0,0,0.0,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true
49,27,0.0,0,0.0,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true
50,27,0.0,0,0.0,false,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true
51,27,0.0,0,7.077766964522694E-4,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true,true,true,false,false
52,27,0.0,0,0.0,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,false
53,27,0.0,0,0.0,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
54,27,0.0,0,3.1746031746031746E-4,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true
55,27,0.0,0,1.849112426035503E-4,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true
56,27,0.015625,0,3.9707750952986025E-5,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,false,true,true,true,true
57,27,0.0,0,0.0,false,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true
58,27,0.0,0,0.0,true,false,true,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,false,true,true,true
59,27,0.0,0,0.0,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
60,27,0.0,0,0.0,true,true,false,false,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
61,27,0.0,0,2.5405428293178643E-4,false,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true
62,27,0.015625,0,0.0,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true
63,27,0.0,0,0.0,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,true,true,true,true
64,27,0.0,0,2.337267734018932E-4,false,false,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false
65,27,0.0,0,3.21840930120288E-4,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,false,true,true
