KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
1,25,0.0,0,1.448505625030177E-4,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true
2,25,0.0,0,3.8957876795714635E-4,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true
3,25,0.0,0,1.3422818791946307E-4,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false
4,25,0.0,0,6.101015383274503E-4,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true
5,25,0.0,0,4.114210483008311E-4,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true
6,25,0.0,0,3.6932736254097226E-4,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false
7,25,0.0,0,4.328322971590462E-4,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,false,true
8,25,0.0,0,0.0,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
9,25,0.0,0,0.0,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true
10,25,0.0,0,0.0,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true
11,25,0.0,0,0.0,true,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true
12,25,0.0,0,6.357548529287107E-4,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true
13,25,0.0,0,4.2936882782310007E-4,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,true,true,false,true,true
14,25,0.0,0,2.423654871546292E-4,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,false,true,true,true,true,false
15,25,0.0,0,2.2120957395036056E-4,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true
16,25,0.0,0,1.4264656935000713E-4,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,true,true,true
17,25,0.0,0,0.0019494104222137695,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true
18,25,0.0,0,0.0,false,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
19,25,0.0,0,9.911249267919088E-4,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true
20,25,0.0,0,9.695641176966529E-4,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false
21,25,0.0,0,3.983428935627788E-5,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,false,false
22,25,0.0,0,8.224106913389874E-4,true,true,true,true,false,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
23,25,0.0,0,0.0,false,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false
24,25,0.0,0,4.008016032064128E-4,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false
25,25,0.0,0,4.30416068866571E-4,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true
26,25,0.015625,0,0.0,false,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true
27,25,0.0,0,0.0012397024714068624,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,false
28,25,0.0,0,0.0,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true
29,25,0.0,0,6.632556376729202E-4,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true
30,25,0.0,0,7.999663172076966E-4,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,false,false
31,25,0.0,0,0.0,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false
32,25,0.0,0,6.870196229979818E-4,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false
33,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,false,true
34,25,0.0,0,4.470454360725026E-4,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true
35,25,0.0,0,0.0010685317402496478,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true,false,true
36,25,0.0,0,0.0,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true
37,25,0.0,0,0.0,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true
38,25,0.0,0,6.619009796134498E-4,true,false,false,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true
39,25,0.0,0,5.142710208279763E-4,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true
40,25,0.0,0,3.1797946761151995E-4,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,false,true,true,true,true
41,25,0.0,0,9.606532442060601E-4,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true
42,25,0.0,0,0.0011421783625730994,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true
43,25,0.0,0,1.2903225806451613E-4,true,true,false,false,true,true,true,true,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true
44,25,0.0,0,0.0,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true
45,25,0.0,0,3.804595951909907E-4,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false
46,25,0.0,0,0.0,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true
