KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
1,15,0.0,0,0.03353233830845771,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true
2,15,0.0,0,0.1331908306921206,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true
3,15,0.0,0,0.0,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true
4,15,0.0,0,0.10772433276336332,true,true,true,true,false,false,true,true,false,true,true,true,false,true,true
5,15,0.0,0,0.09058165376657215,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true
6,15,0.0,0,0.004276231810058718,true,false,false,true,true,true,true,true,true,false,true,true,true,true,false
7,15,0.0,0,0.11548860563924294,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true
8,15,0.0,0,0.030649459952307476,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true
9,15,0.0,0,0.12522317805551048,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false
10,15,0.0,0,0.11860686324723788,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false
11,15,0.0,0,0.0707906488048332,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false
12,15,0.0,0,0.027182706620930683,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true
13,15,0.0,0,0.0,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true
14,15,0.0,0,0.002004581901489118,true,true,false,false,true,false,true,true,true,true,true,true,true,false,true
15,15,0.0,0,0.04936917169500823,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true
16,15,0.0,0,0.05271994627266622,true,true,true,true,false,true,true,true,false,false,true,false,true,true,true
17,15,0.0,0,0.024829340115111766,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true
18,15,0.0,0,0.0,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true
19,15,0.0,0,0.14507249748003412,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true
20,15,0.0,0,0.09464958553127355,true,true,false,true,false,true,true,true,true,true,false,false,true,true,true
21,15,0.0,0,0.07235421166306695,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true
22,15,0.0,0,0.05113826581854704,true,true,true,true,false,true,true,false,true,true,false,true,false,true,true
23,15,0.0,0,0.08393568372916359,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true
24,15,0.0,0,0.012104152005629839,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true
25,15,0.0,0,0.031115695375623174,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true
26,15,0.0,0,0.11320137412072633,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true
27,15,0.0,0,0.14081508515815086,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true
28,15,0.0,0,0.12633587786259542,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true
29,15,0.0,0,0.09680768232546068,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true
30,15,0.0,0,0.018717793270688086,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true
31,15,0.0,0,0.02639385411120408,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true
32,15,0.0,0,0.06573705179282868,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true
33,15,0.0,0,0.08695969093957286,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false
34,15,0.0,0,0.06685150955021565,true,true,true,true,false,true,true,false,true,true,true,true,false,true,false
35,15,0.0,0,0.07806632041550139,true,true,true,true,false,true,true,true,false,true,false,true,true,true,false
36,15,0.0,0,0.016444408083121982,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true
37,15,0.0,0,0.010213914048949701,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true
38,15,0.0,0,0.11407056198577604,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false
39,15,0.0,0,0.11438663225105285,true,false,true,true,true,true,true,false,true,true,false,true,false,true,true
40,15,0.0,0,0.008987820243595127,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true
