KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
1,20,0.0,0,0.03629712999437254,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true
2,20,0.0,0,0.03840245775729647,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,true,true
3,20,0.0,0,0.07759981953530341,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,false,true
4,20,0.0,0,0.0,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
5,20,0.0,0,0.07810786821907795,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,false,true,true
6,20,0.0,0,0.01266162347765438,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false
7,20,0.0,0,0.06565051093223725,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,false
8,20,0.0,0,0.06894939208147148,true,true,false,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,true,true
9,20,0.0,0,0.06154005274861664,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,true,false,true,true
10,20,0.0,0,0.03753604193971166,true,true,true,false,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true
11,20,0.0,0,0.02267250821467689,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true
12,20,0.0,0,0.024539877300613498,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true
13,20,0.0,0,0.07047265801212972,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,false,false
14,20,0.0,0,0.038494809688581315,true,false,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true
15,20,0.0,0,0.09678364286132755,true,false,true,false,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true
16,20,0.0,0,0.07070581662424731,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true
17,20,0.0,0,0.019683328158956844,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true
18,20,0.0,0,0.029841098841906815,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false
19,20,0.0,0,0.01108817457976998,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true
20,20,0.0,0,0.012705194513154936,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true
21,20,0.0,0,0.0,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true
22,20,0.0,0,0.04592991254357531,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true
23,20,0.0,0,0.0990743914981145,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true
24,20,0.0,0,0.08739997745970923,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true
25,20,0.0,0,0.07582758058379084,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true
26,20,0.0,0,0.040222319730876116,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true
27,20,0.0,0,0.07495406449977825,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true
28,20,0.0,0,0.07321642295883853,true,true,false,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true
29,20,0.0,0,0.044517478338810874,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,false,true
30,20,0.0,0,0.10412657686551208,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true
31,20,0.0,0,0.028154205607476637,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true
32,20,0.0,0,0.033021320852834116,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false
33,20,0.0,0,0.04649643108474917,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false
34,20,0.0,0,0.062384221423123026,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true
35,20,0.0,0,0.007518796992481203,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true
36,20,0.0,0,0.08626497005988024,true,true,true,false,true,false,true,true,true,true,true,false,true,false,false,true,true,true,true,true
37,20,0.0,0,0.018626250255154114,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,false
38,20,0.0,0,0.04584031569274015,true,true,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true
39,20,0.0,0,0.02335582903268493,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true
40,20,0.0,0,0.06395571874828739,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true
41,20,0.0,0,0.03228579102874026,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true
42,20,0.0,0,0.02291582355321732,true,true,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,false
43,20,0.0,0,0.09191626409017713,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true
44,20,0.0,0,0.08505208333333333,true,true,true,false,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true
45,20,0.0,0,0.07889814657371196,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false
46,20,0.0,0,0.029504688136975134,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true
47,20,0.0,0,0.009326249152159167,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false
48,20,0.0,0,0.030407405414132716,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true
49,20,0.0,0,0.0641599028214897,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true
50,20,0.0,0,0.0599792664264205,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true
51,20,0.0,0,0.09117990654205607,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,true,true,true,false,true
52,20,0.0,0,0.0,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true
53,20,0.0,0,0.09088624139144423,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,false,true,true
54,20,0.0,0,0.04659966061871818,true,false,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true
55,20,0.0,0,0.03538860103626943,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true
56,20,0.0,0,0.06410788381742738,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false
57,20,0.0,0,0.036397128882678015,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true
58,20,0.0,0,0.04078783345799052,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true
59,20,0.0,0,0.04116581590647127,false,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true
60,20,0.0,0,0.08363891285591027,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,false,true,true
61,20,0.0,0,0.041910158786376245,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false
62,20,0.0,0,0.0792727653777638,false,true,false,true,true,true,true,true,false,false,true,true,true,true,false,false,true,true,true,true
63,20,0.0,0,0.08236632536973834,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
64,20,0.0,0,0.08256205945448973,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true
65,20,0.0,0,0.0832075766248634,false,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true
66,20,0.0,0,0.06321905868680999,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true
67,20,0.0,0,0.07348489345284027,true,true,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true
68,20,0.0,0,0.029249730220934855,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,false,true,true
69,20,0.0,0,0.029427501337613696,false,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
70,20,0.0,0,0.057798069938777626,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,false
71,20,0.0,0,0.0672,true,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,true,false,true,true
72,20,0.0,0,0.08475739054509168,true,true,true,false,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false
73,20,0.0,0,0.06837057279108397,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,false,false
74,20,0.0,0,0.040461278457103095,true,false,true,true,true,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true
75,20,0.0,0,0.05687575077035567,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,true
76,20,0.0,0,0.06093649775497113,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true
77,20,0.0,0,0.03627991701664727,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,false
78,20,0.0,0,0.02163417466234798,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false
79,20,0.0,0,0.08596898278178043,true,false,true,true,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true
80,20,0.0,0,0.039934354485776806,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false
81,20,0.0,0,0.005493869997686792,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true
82,20,0.0,0,0.0429739697471805,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true
83,20,0.0,0,0.08728983821507878,true,false,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,false,true
84,20,0.0,0,0.06721301449452632,false,true,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
85,20,0.0,0,0.0,true,true,true,true,false,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true
86,20,0.0,0,0.039674644508163145,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true
87,20,0.0,0,0.014227758413804926,true,true,false,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true
88,20,0.0,0,0.0,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false
89,20,0.0,0,0.030410008670878237,false,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true
90,20,0.0,0,0.033368479811449483,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,false,true
91,20,0.0,0,0.06471954862263525,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true
92,20,0.0,0,0.067218253764325,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true
93,20,0.0,0,0.0,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
94,20,0.0,0,0.038935983630517396,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true
95,20,0.0,0,0.09847474337412283,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true
96,20,0.0,0,0.05955028416110699,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true
97,20,0.0,0,0.044307125953194845,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false
98,20,0.0,0,0.063391606577787,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,false,true
99,20,0.0,0,0.09141533881016706,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true
100,20,0.0,0,0.02033261802575107,true,true,true,true,false,true,true,false,true,false,true,false,true,true,true,true,false,true,true,true
101,20,0.0,0,0.08543535620052771,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,false,false,true,true
102,20,0.0,0,0.0517632384624107,true,false,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true
103,20,0.0,0,0.098454157782516,true,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true
104,20,0.0,0,0.02020040507408592,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true
105,20,0.0,0,0.017917622637386648,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true
106,20,0.0,0,0.005007620291748313,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true
107,20,0.0,0,0.07246902387428227,true,true,true,true,false,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true
108,20,0.0,0,0.03567274137262505,false,true,true,true,true,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true
109,20,0.0,0,0.07387558510277457,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true
110,20,0.0,0,0.01596695641452438,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true
111,20,0.0,0,0.06039210741978188,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true
112,20,0.0,0,0.090524259198958,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true
113,20,0.0,0,0.0432647716733046,true,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false
114,20,0.0,0,0.007498050506868214,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false
115,20,0.0,0,0.04977723152557997,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,false,false,true,true,true
116,20,0.0,0,0.022627490712597096,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true
117,20,0.0,0,0.0511731843575419,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,true,true,true
118,20,0.0,0,0.026326309177088687,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true
119,20,0.0,0,0.037127309828817595,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true
120,20,0.0,0,0.007856056766345666,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true
121,20,0.0,0,0.0832834828846793,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,true,true,true
122,20,0.0,0,0.08563856219976809,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false
123,20,0.0,0,0.04296218487394958,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false
124,20,0.0,0,0.05367934589406328,false,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true
125,20,0.0,0,0.04323578451101018,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true
126,20,0.0,0,0.08045313893113756,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true
