KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
1,22,0.0,0,0.04728773584905661,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true
2,22,0.0,0,0.07671842762514931,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true
3,22,0.0,0,0.06812358703843255,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false
4,22,0.0,0,0.033147373314737334,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true
5,22,0.0,0,0.034343025022794044,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true
6,22,0.0,0,0.03541431308021022,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,true
7,22,0.0,0,0.04578715161949855,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true
8,22,0.0,0,0.06465914577937755,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false
9,22,0.0,0,0.04853675945753034,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true
10,22,0.0,0,0.08017775256464804,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false
11,22,0.0,0,0.027224366329404403,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,false
12,22,0.0,0,0.07261076022313402,true,true,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false
13,22,0.0,0,0.01479835468772162,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false
14,22,0.0,0,0.09592578927950245,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false
15,22,0.0,0,0.02191644010431116,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,false,true,true,false
16,22,0.0,0,0.04203694458312531,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true
17,22,0.0,0,0.062148081881808134,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false
18,22,0.0,0,0.02279217630260251,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false
19,22,0.0,0,0.037384615384615384,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true
20,22,0.0,0,0.014922813036020582,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false
21,22,0.0,0,0.050955414012738856,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true
22,22,0.0,0,0.009623010627610638,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true
23,22,0.0,0,0.02325358851674641,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true
24,22,0.0,0,0.06814586994727592,true,true,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true
25,22,0.0,0,0.06907601922734556,false,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true
26,22,0.0,0,0.059833251593918585,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true
27,22,0.0,0,0.052890823011811965,true,false,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true,false,true
28,22,0.0,0,0.0968554779778466,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,false
29,22,0.0,0,3.3668144324112005E-4,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false
30,22,0.0,0,0.004622718736456879,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
31,22,0.0,0,0.09277348495893473,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true
32,22,0.0,0,0.04486173494236701,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true
33,22,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true
34,22,0.0,0,0.07884111983672745,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,true,false,true
35,22,0.0,0,0.011677102724657303,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false
36,22,0.0,0,0.09139150943396226,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true
37,22,0.0,0,0.07939577670917834,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false
38,22,0.0,0,0.003397360512217431,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,false
39,22,0.0,0,0.031594333258376434,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true
40,22,0.0,0,0.0758504746835443,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true
41,22,0.0,0,0.03949190583066711,true,true,true,true,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true
42,22,0.0,0,0.006873184898354308,false,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true
43,22,0.0,0,0.057454210580169855,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true
44,22,0.0,0,0.06617789862109147,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true
45,22,0.0,0,0.07403396505045533,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,false
46,22,0.0,0,0.009375277703723452,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
47,22,0.0,0,0.08412240184757505,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
48,22,0.0,0,0.02795970911061927,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false
49,22,0.0,0,0.050940438871473356,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false
50,22,0.0,0,0.08454903631136194,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true
51,22,0.0,0,0.040080619302826255,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false
52,22,0.0,0,0.05737561827174862,true,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false
53,22,0.0,0,0.03144832812351994,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true
54,22,0.0,0,0.04690747154873825,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,false,true,true,true,true,true,false
55,22,0.0,0,0.01617775047355757,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,false
56,22,0.0,0,0.01687574671445639,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true
57,22,0.0,0,0.04288334737990184,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,true
58,22,0.0,0,0.05076783188522934,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true
59,22,0.0,0,0.04530350022153301,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
60,22,0.0,0,0.04022019440587185,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true
61,22,0.0,0,0.07779829332801037,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true,true,false,true,false,true
62,22,0.0,0,0.0625032635371521,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true
63,22,0.0,0,0.08169813649265704,true,false,false,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
64,22,0.0,0,0.022789637691270175,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,false,true,true
