KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.0,0,0.0583312305492472,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,true
2,30,0.0,0,0.02328897338403042,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,false
3,30,0.0,0,0.00583508385849088,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true
4,30,0.0,0,0.040428239874223254,true,false,false,true,true,true,false,true,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true
5,30,0.0,0,0.056648250460405156,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true
6,30,0.0,0,0.037268827789888194,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,true
7,30,0.0,0,0.03530044843049327,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true
8,30,0.0,0,0.02255613006211611,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true
9,30,0.0,0,0.03199747111095501,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true
10,30,0.0,0,0.0216494124230554,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,false
11,30,0.0,0,0.04206246981162454,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true
12,30,0.0,0,0.031012375130460713,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true
13,30,0.0,0,0.002066736810461446,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
14,30,0.0,0,0.04308254838837884,true,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true
15,30,0.0,0,0.027104314310580628,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true
16,30,0.0,0,0.0,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,false,true
17,30,0.0,0,0.06127172016086198,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,false
18,30,0.0,0,0.010381781647689216,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false
19,30,0.0,0,0.0,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false
20,30,0.0,0,0.022616302726163027,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true,false
21,30,0.0,0,0.02651643192488263,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true
22,30,0.0,0,0.057850585628363406,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true
23,30,0.0,0,0.02256578712464741,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true
24,30,0.0,0,0.05943162459346446,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true
25,30,0.0,0,0.040357570317175344,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
26,30,0.0,0,0.0,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,false,true
27,30,0.0,0,0.03659506762132061,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true
28,30,0.0,0,0.047392504357931436,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true
29,30,0.0,0,0.02027864358406249,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,false,true,true,true,true,false
30,30,0.0,0,0.012087285174356414,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true
31,30,0.0,0,0.027364156508760083,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false
32,30,0.0,0,0.004256568325260532,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true
33,30,0.0,0,0.0071867822479069424,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
