KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
1,32,0.0,0,0.025784321282663995,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true
2,32,0.0,0,0.02901254893352358,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,false,true,true,false,true,true,true,false,true,true,true,true
3,32,0.0,0,0.05332863006670087,true,false,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true
4,32,0.0,0,0.017041027204661722,false,true,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true
5,32,0.0,0,0.027606007067137808,true,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true
6,32,0.0,0,0.03793328973185088,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false,true
7,32,0.0,0,0.023020289654695655,false,true,false,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true
8,32,0.0,0,0.009044488202115944,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true
9,32,0.0,0,0.02354893263984173,true,true,true,false,true,true,true,true,true,false,false,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false
10,32,0.0,0,0.029373973873938183,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,true
11,32,0.0,0,0.018598813327247832,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true
12,32,0.0,0,0.055183424148821714,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,true
13,32,0.0,0,0.052356571749193434,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,true,false
14,32,0.0,0,0.02405352101782745,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true
15,32,0.0,0,0.01835152110600372,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true
16,32,0.0,0,0.005846537051131253,true,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
17,32,0.0,0,0.023265981699509698,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,false,true
18,32,0.0,0,0.06225653374884907,true,false,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false
19,32,0.0,0,0.04669483180330993,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,false,false,true,false,true,true,true,true,true
20,32,0.0,0,0.028691392582225334,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false
21,32,0.0,0,0.024622638420483938,true,true,true,false,true,false,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
22,32,0.0,0,0.026030289791757682,true,false,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false
23,32,0.0,0,0.05863118728154245,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true
24,32,0.0,0,0.0035765607536324445,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,true,false
25,32,0.0,0,0.033903505407685816,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true
26,32,0.0,0,0.027616763275368113,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,false
27,32,0.0,0,0.006006315211422295,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true
28,32,0.0,0,0.023913787204926446,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true
29,32,0.0,0,0.024691358024691357,false,true,false,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
30,32,0.0,0,0.03161957368458324,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,true
31,32,0.0,0,0.043717930938843436,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false
32,32,0.0,0,0.0039183467104847375,true,true,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
33,32,0.0,0,0.06054716150799472,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true
34,32,0.0,0,0.04175904172595215,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true
35,32,0.0,0,0.020447803362056788,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true
36,32,0.0,0,0.015992659107295012,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,false,true
37,32,0.0,0,0.010413734871939206,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
38,32,0.0,0,0.01676251928741759,true,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true
39,32,0.0,0,0.04510398016802093,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true
40,32,0.0,0,0.0396440666710937,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true
41,32,0.0,0,0.03688746258969459,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
42,32,0.0,0,0.0340025006946374,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true
