KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9
1,10,0.0,0,0.08257866462010745,true,true,true,true,false,true,true,false,true,true
2,10,0.0,0,0.0,true,true,true,false,true,true,true,false,true,true
3,10,0.0,0,0.0,false,true,false,true,true,true,true,true,true,true
4,10,0.0,0,0.14633540372670809,true,false,true,true,false,true,true,true,true,false
5,10,0.0,0,0.0121667098110277,true,true,false,true,true,false,true,true,true,true
6,10,0.0,0,0.06624231308663286,false,true,true,true,true,true,true,false,true,false
7,10,0.0,0,8.772891764447856E-4,false,true,false,true,true,true,true,true,true,true
8,10,0.0,0,0.14849904194166488,true,true,true,false,true,true,false,true,false,true
9,10,0.0,0,0.12837561374795417,false,true,true,false,true,true,true,true,false,true
10,10,0.0,0,0.022263698173576856,true,true,true,true,true,true,false,false,true,true
11,10,0.0,0,0.12632833449200517,true,true,false,true,false,false,true,true,true,false
12,10,0.0,0,0.07389986411623288,true,false,true,true,true,true,false,true,false,true
13,10,0.0,0,0.0,true,true,true,true,false,true,true,false,true,true
14,10,0.0,0,0.10758106923751096,true,true,true,true,false,false,true,false,true,true
15,10,0.0,0,0.17748240813135263,false,true,false,true,true,true,true,true,false,true
16,10,0.0,0,0.08899167437557817,true,false,true,true,true,true,false,false,true,true
17,10,0.0,0,0.10112003381234151,false,false,true,true,true,false,true,true,true,true
18,10,0.0,0,0.06028938906752412,true,true,false,true,false,true,false,true,true,true
19,10,0.0,0,0.19234844025897588,true,true,true,true,true,false,true,true,false,false
20,10,0.0,0,0.1273660205245154,true,true,true,true,true,false,true,false,true,false
21,10,0.0,0,0.09379584992664011,false,true,false,true,true,true,true,true,true,false
22,10,0.0,0,0.18200433630450494,true,true,true,true,false,true,true,false,true,false
23,10,0.0,0,0.14641288433382138,true,false,true,true,true,false,true,true,false,true
24,10,0.0,0,0.13351526177481302,true,false,true,true,true,true,true,true,false,false
25,10,0.0,0,0.05453378956372968,true,false,true,true,false,false,true,true,true,true
26,10,0.0,0,0.1564484230248777,false,true,true,false,true,false,true,true,true,true
27,10,0.0,0,0.06153258169310147,false,false,true,false,true,true,true,true,true,true
28,10,0.0,0,0.02842278898616927,true,true,true,true,true,false,true,false,true,true
29,10,0.0,0,0.01534496895865058,true,false,true,true,false,true,true,true,true,true
30,10,0.0,0,0.12489982827704636,true,true,false,true,true,false,true,true,true,false
31,10,0.0,0,0.010148107515085025,false,true,true,true,false,true,true,true,true,true
32,10,0.0,0,0.13744364566833192,true,false,true,true,true,true,false,true,true,false
33,10,0.0,0,0.20900513555475936,true,true,true,true,false,false,true,true,true,false
34,10,0.0,0,0.09913043478260869,true,true,true,false,false,true,false,true,true,true
35,10,0.0,0,0.0,true,true,true,true,true,true,true,false,true,false
36,10,0.0,0,0.04253064931133646,true,true,true,true,true,true,true,true,false,false
37,10,0.0,0,0.07830103650292924,true,true,true,false,true,true,false,true,false,true
38,10,0.0,0,0.012910025029640363,true,true,false,true,true,true,true,false,true,true
39,10,0.0,0,0.0029213483146067415,true,false,true,false,true,true,true,true,true,true
40,10,0.0,0,0.0,true,true,true,true,true,false,true,true,false,true
41,10,0.0,0,0.08869814020028613,true,true,false,true,true,true,false,true,true,true
42,10,0.0,0,0.04551233155352148,false,true,true,true,true,true,true,true,true,false
43,10,0.0,0,0.1467900388393877,true,true,true,true,true,true,false,false,false,true
44,10,0.0,0,0.0,true,true,false,true,true,true,true,true,false,true
45,10,0.0,0,0.06696202531645569,true,true,true,true,true,true,false,false,true,true
46,10,0.0,0,0.08128834355828221,true,true,true,true,true,false,false,false,true,true
47,10,0.0,0,0.09397495316043783,false,true,true,true,true,true,true,false,false,true
48,10,0.0,0,0.1882455268389662,true,false,true,true,true,true,false,false,true,true
49,10,0.0,0,0.1098706856451763,true,false,true,false,true,true,true,true,false,true
50,10,0.0,0,0.12883754813195963,true,true,false,true,false,true,true,true,false,true
51,10,0.0,0,0.047918683446272994,false,true,true,false,true,true,true,true,true,true
52,10,0.0,0,0.0941213258286429,false,true,true,true,true,true,false,false,true,true
53,10,0.0,0,0.06143966260902904,false,true,true,true,true,false,true,true,false,true
54,10,0.0,0,0.1441900835412824,false,true,true,false,true,false,true,true,true,true
55,10,0.0,0,0.0288153681963714,true,true,false,true,true,true,true,false,true,false
56,10,0.0,0,0.042262801204819275,false,true,false,true,true,true,true,true,true,false
57,10,0.0,0,0.08038118914439611,false,true,true,true,true,true,false,false,true,true
58,10,0.0,0,0.23004932338434297,true,true,false,true,true,false,true,false,true,true
59,10,0.0,0,0.0,true,true,true,true,true,false,false,true,true,true
60,10,0.0,0,0.06880605381165919,false,false,true,true,true,true,true,true,true,true
61,10,0.0,0,0.1531322505800464,true,true,false,true,true,true,false,false,true,true
62,10,0.0,0,0.07639822185464695,true,true,true,true,false,false,false,true,true,true
63,10,0.0,0,0.16357558766443822,false,true,true,false,true,true,true,true,false,true
64,10,0.0,0,0.15925659718656945,true,true,true,true,false,true,false,false,true,true
65,10,0.0,0,0.07993495121341006,true,true,true,true,true,false,true,false,true,false
66,10,0.0,0,0.14470814624759462,true,false,true,true,true,false,true,true,false,true
67,10,0.0,0,0.17203095211393968,false,true,true,true,false,true,true,false,true,true
68,10,0.0,0,0.02218159658744668,false,true,true,true,true,true,true,false,true,true
69,10,0.0,0,0.0752768632146064,true,true,false,true,true,true,true,true,true,false
70,10,0.0,0,0.015129864671765992,false,true,false,true,true,true,true,false,true,true
71,10,0.0,0,0.007517854905400326,true,true,true,true,true,true,true,false,false,true
72,10,0.0,0,0.11191335740072202,false,true,true,true,true,true,false,false,true,true
73,10,0.0,0,0.03404614518851998,true,true,false,true,false,true,true,true,true,true
74,10,0.0,0,0.13993920972644378,true,false,true,true,true,true,false,true,true,false
75,10,0.0,0,0.06606415478615071,true,true,true,true,false,false,true,true,true,true
76,10,0.0,0,0.13602407138410458,true,true,false,true,false,true,false,true,true,true
77,10,0.0,0,0.158429822084157,true,false,true,true,true,false,true,true,true,false
78,10,0.0,0,0.13392070484581498,true,true,true,false,true,false,true,false,true,true
79,10,0.0,0,0.13619466035822914,true,true,true,true,true,false,true,false,true,false
80,10,0.0,0,0.06351414000927214,true,true,true,true,false,true,false,true,false,true
81,10,0.0,0,0.0,true,true,true,false,true,false,true,true,true,true
82,10,0.0,0,0.017900837089504185,true,true,true,true,true,true,true,false,true,false
83,10,0.0,0,0.0,true,true,true,false,true,true,false,true,true,true
84,10,0.0,0,0.16179455948030858,true,true,false,true,true,true,false,true,false,true
85,10,0.0,0,0.060250707642539425,true,true,true,false,true,true,true,false,true,true
86,10,0.0,0,0.11116720516962843,true,false,true,true,false,true,true,false,true,true
87,10,0.0,0,0.12066365007541478,true,true,true,true,false,false,true,true,true,false
88,10,0.0,0,0.05213974726558352,true,false,true,true,true,true,true,false,true,false
89,10,0.0,0,0.1593094179675385,true,false,false,true,true,true,true,true,true,false
90,10,0.0,0,0.15013513513513513,true,true,true,true,false,true,true,false,true,false
91,10,0.0,0,0.0655111633372503,false,true,true,true,true,false,false,true,true,true
92,10,0.0,0,0.04215812215345089,true,true,true,false,true,true,true,false,true,true
93,10,0.0,0,0.033442384587422755,true,true,true,false,true,false,true,false,true,true
94,10,0.0,0,0.07366519470092332,true,true,true,true,false,true,true,true,false,false
95,10,0.0,0,0.1893432737638417,false,true,true,true,true,true,false,true,false,true
96,10,0.0,0,0.051162356455979836,true,false,true,true,true,false,false,true,true,true
97,10,0.0,0,0.02704291593180482,false,true,true,true,true,true,true,true,true,false
98,10,0.0,0,0.008440853732063186,false,true,true,true,false,true,true,true,true,true
99,10,0.0,0,0.13254987701557802,true,true,true,false,true,false,false,true,true,true
100,10,0.0,0,0.17915959676614432,true,true,false,true,true,false,false,true,true,true
101,10,0.0,0,0.15326760849679846,true,false,true,false,true,true,false,true,true,true
102,10,0.0,0,0.13192079707403204,false,true,true,true,true,true,true,true,false,false
103,10,0.0,0,0.17738970588235295,true,false,false,true,false,true,true,true,true,true
104,10,0.0,0,0.015778871978513877,true,true,true,true,true,false,true,true,false,true
105,10,0.0,0,0.12287155770443557,true,false,true,true,false,true,true,true,false,true
106,10,0.0,0,0.028872151409810736,false,false,true,true,true,true,true,false,true,true
107,10,0.0,0,0.2091693756305347,true,false,false,false,true,true,true,true,true,true
108,10,0.0,0,0.02356902356902357,true,true,true,true,true,true,false,true,true,false
109,10,0.0,0,0.09076657783351623,false,true,true,true,false,true,true,true,true,false
110,10,0.0,0,0.042474834274490544,true,true,true,false,true,true,true,false,false,true
111,10,0.0,0,0.07951322170372403,true,true,true,true,false,false,true,false,true,true
112,10,0.0,0,0.10860866582828398,false,true,true,true,true,true,true,false,true,false
113,10,0.0,0,0.03853585229712323,false,true,true,false,false,true,true,true,true,true
114,10,0.0,0,0.11635653572249023,true,true,false,true,true,true,false,true,true,false
115,10,0.0,0,0.15731084978921678,false,true,true,false,true,true,true,true,false,true
116,10,0.0,0,0.1100861008610086,true,true,true,false,true,false,true,false,true,true
117,10,0.0,0,0.0,true,false,true,true,true,true,true,true,true,false
118,10,0.0,0,0.13236531986531985,true,false,true,true,true,true,false,false,true,true
119,10,0.0,0,0.0,false,true,false,true,true,true,true,true,true,true
120,10,0.0,0,0.10599835661462613,true,false,true,false,true,true,true,true,false,true
121,10,0.0,0,0.03344617467840217,true,true,true,true,false,true,true,false,true,true
122,10,0.0,0,0.08177432639134016,true,false,true,true,true,true,false,true,true,true
123,10,0.0,0,0.04623471358077666,true,false,true,true,true,true,true,true,false,false
124,10,0.0,0,0.20899920661906382,true,true,true,true,true,false,true,false,false,true
125,10,0.0,0,0.011799410029498525,false,true,true,true,true,true,true,true,true,false
126,10,0.0,0,0.08172977446720464,true,true,false,false,true,true,true,true,true,false
127,10,0.0,0,0.0,true,true,true,true,false,true,false,true,true,true
128,10,0.0,0,0.0,false,true,true,true,true,true,false,true,true,true
129,10,0.0,0,0.13380588876772082,true,true,true,false,true,true,true,false,true,false
130,10,0.0,0,0.035941644562334216,true,false,true,true,true,true,false,true,true,true
131,10,0.0,0,0.09254291845493562,true,false,true,true,true,false,true,false,true,true
132,10,0.0,0,0.12293642430628732,true,true,true,true,true,true,false,true,false,false
133,10,0.0,0,0.10380523339403815,true,true,true,false,false,true,false,true,true,true
134,10,0.0,0,0.0,true,true,true,true,false,true,true,true,true,false
135,10,0.0,0,0.16198595787362086,true,true,true,true,true,true,true,false,false,false
136,10,0.0,0,0.10783303272352486,false,true,true,true,true,false,false,true,true,true
137,10,0.0,0,0.17287590458322166,true,false,true,false,false,true,true,true,true,true
138,10,0.0,0,0.10932203389830508,true,true,true,true,true,true,false,true,false,false
139,10,0.0,0,0.11886224436831724,true,true,false,true,true,true,true,false,false,true
140,10,0.0,0,0.04241019698725377,true,true,true,true,false,true,false,true,true,true
141,10,0.0,0,0.1038788816443806,true,true,false,true,true,false,true,true,false,true
142,10,0.0,0,0.09188859524293555,true,false,true,true,false,true,false,true,true,true
143,10,0.0,0,0.0,false,true,true,true,true,false,true,true,true,true
144,10,0.0,0,0.15285104245164532,true,false,false,true,true,true,true,false,true,true
145,10,0.0,0,0.07389694538722616,true,true,true,false,true,true,false,true,true,true
146,10,0.0,0,0.16881754275521982,true,true,false,true,false,false,true,true,true,true
147,10,0.0,0,0.1636061946902655,true,true,false,true,true,true,false,false,true,true
148,10,0.0,0,0.01129218529449506,true,true,false,true,true,true,true,false,true,true
149,10,0.0,0,0.024323990616125446,false,true,true,true,true,true,true,false,true,true
150,10,0.0,0,0.0,true,true,false,false,true,true,true,true,true,true
151,10,0.0,0,0.14602606187207798,true,true,true,true,false,false,false,true,true,true
152,10,0.0,0,0.18403216542217116,true,false,true,false,true,false,true,true,true,true
153,10,0.0,0,0.061499748364368396,true,true,true,true,false,true,true,true,false,false
154,10,0.0,0,0.10559980690321023,false,true,false,false,true,true,true,true,true,true
155,10,0.0,0,0.1955853908294459,true,true,true,true,true,true,false,false,false,true
156,10,0.0,0,0.1313188685675338,false,true,true,false,false,true,true,true,true,true
157,10,0.0,0,0.16553006819590824,true,true,true,false,true,true,true,true,false,false
158,10,0.0,0,0.1557885244053658,true,false,false,true,true,false,true,true,true,true
159,10,0.0,0,0.04638728323699422,true,false,true,true,false,true,true,true,true,true
160,10,0.0,0,0.06670715659479705,true,false,true,true,true,false,true,true,true,false
161,10,0.0,0,0.07858861267040898,true,true,true,true,true,false,true,false,true,false
162,10,0.0,0,0.07991143317230273,true,false,true,true,false,true,true,true,false,true
163,10,0.0,0,0.13738390092879257,true,false,false,true,true,true,true,false,true,true
164,10,0.0,0,0.0,false,true,true,true,true,true,true,true,false,true
165,10,0.0,0,0.0,true,true,false,true,true,true,true,true,false,true
166,10,0.0,0,0.013640458113498906,false,true,true,true,true,true,false,true,true,true
167,10,0.0,0,0.1474963097536051,true,true,true,false,false,false,true,true,true,true
168,10,0.0,0,0.0,false,true,true,false,true,true,true,true,true,true
169,10,0.0,0,0.11819493637675456,true,true,true,true,false,false,false,true,true,true
170,10,0.0,0,0.13667344254454145,true,false,false,true,true,true,true,false,true,true
171,10,0.0,0,0.028357564416294802,false,true,true,true,true,true,false,true,true,true
172,10,0.0,0,0.12764758900405587,true,true,false,true,true,false,true,true,true,false
173,10,0.0,0,0.045598882255811,true,false,false,true,true,true,true,true,true,true
174,10,0.0,0,0.0288232244686366,true,false,true,true,true,true,true,true,false,false
175,10,0.0,0,0.14038503136491456,true,true,true,true,false,true,true,false,false,true
176,10,0.0,0,0.041553442028985504,true,false,true,true,true,false,true,true,true,true
177,10,0.0,0,0.006787330316742082,true,true,false,true,false,true,true,true,true,true
178,10,0.0,0,0.1568823660217923,true,false,true,false,true,true,false,true,true,true
179,10,0.0,0,0.14539197763200343,true,true,true,true,false,true,false,true,true,false
180,10,0.0,0,0.19531702793555117,true,true,true,true,false,true,false,true,false,true
181,10,0.0,0,0.10907624971204792,true,true,false,true,false,true,true,true,true,false
182,10,0.0,0,0.02431561996779388,true,true,true,false,true,true,true,true,false,true
183,10,0.0,0,0.06857935153583618,false,true,true,true,false,true,true,true,true,false
184,10,0.0,0,0.10474217311233885,false,true,true,true,true,true,false,true,false,true
185,10,0.0,0,0.09767702211027147,false,true,true,true,true,true,false,true,false,true
186,10,0.0,0,0.211679741003611,true,true,false,true,true,false,true,true,true,false
187,10,0.0,0,0.14687625150180217,true,true,true,true,true,false,false,false,true,true
188,10,0.0,0,0.13766205229619863,true,true,true,true,true,false,false,true,true,false
189,10,0.0,0,0.1394854586129754,true,true,true,false,false,true,true,true,true,false
190,10,0.0,0,0.18818240205523443,true,false,true,false,true,true,true,true,false,true
191,10,0.0,0,0.07172224760164458,true,false,false,true,true,true,true,true,false,true
192,10,0.0,0,0.036848792884371026,true,false,true,true,false,true,true,true,true,false
193,10,0.0,0,0.09548065460062859,true,true,false,true,true,true,false,true,true,false
194,10,0.0,0,0.15835110163468372,true,true,false,true,false,false,true,true,true,true
195,10,0.0,0,0.01664408747822721,false,true,false,false,true,true,true,true,true,true
196,10,0.0,0,0.051730806420421584,true,true,false,false,false,true,true,true,true,true
197,10,0.0,0,0.1288915808600848,true,false,true,true,true,false,true,true,true,false
198,10,0.0,0,0.07096138338858525,true,true,true,true,true,false,false,true,false,true
199,10,0.0,0,0.0,false,true,true,true,true,true,false,true,true,true
200,10,0.0,0,0.0,true,false,true,false,true,true,true,true,true,true
201,10,0.0,0,0.05893281040355042,true,false,false,true,true,false,true,true,true,true
202,10,0.0,0,0.19987937273823883,true,false,true,true,false,true,true,false,true,true
203,10,0.0,0,0.12977798123140308,true,true,false,true,false,true,true,true,true,false
204,10,0.0,0,0.015528358994604554,true,true,true,false,true,true,true,true,true,false
205,10,0.0,0,0.12685531233315536,false,true,true,true,true,true,false,true,true,false
206,10,0.0,0,0.0,false,true,true,true,true,true,true,true,true,false
207,10,0.0,0,0.15728734439834025,true,true,false,true,true,false,true,true,false,true
208,10,0.0,0,0.030918134157816912,true,true,false,true,false,true,true,true,true,true
209,10,0.0,0,0.03993258135615195,true,true,false,true,true,true,true,false,true,true
210,10,0.0,0,0.10006013229104029,true,true,false,true,false,true,true,true,true,false
211,10,0.0,0,0.1991491624567934,true,true,false,true,true,true,true,true,false,false
212,10,0.0,0,0.06206467661691542,false,true,false,true,true,false,true,true,true,true
