KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
1,22,0.0,0,0.04728773584905661,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false
2,22,0.0,0,0.07671842762514931,true,false,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true
3,22,0.0,0,0.06812358703843255,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true
4,22,0.0,0,0.033147373314737334,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,true,true
5,22,0.0,0,0.034343025022794044,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true
6,22,0.0,0,0.03541431308021022,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false
7,22,0.0,0,0.04578715161949855,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,false,true,false,true,true,true
8,22,0.0,0,0.06465914577937755,true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true
9,22,0.0,0,0.04853675945753034,true,true,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true
10,22,0.0,0,0.08017775256464804,false,false,true,true,true,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,true,true
11,22,0.0,0,0.027224366329404403,true,true,true,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true
12,22,0.0,0,0.07261076022313402,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,true,true,true
13,22,0.0,0,0.01479835468772162,true,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true
14,22,0.0,0,0.09592578927950245,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true
15,22,0.0,0,0.02191644010431116,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true
16,22,0.0,0,0.04203694458312531,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false
17,22,0.0,0,0.062148081881808134,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true
18,22,0.0,0,0.02279217630260251,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true
19,22,0.0,0,0.037384615384615384,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true
20,22,0.0,0,0.014922813036020582,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
21,22,0.0,0,0.050955414012738856,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false
22,22,0.0,0,0.009623010627610638,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,false,false,true,true
23,22,0.0,0,0.02325358851674641,false,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true
24,22,0.0,0,0.06814586994727592,false,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true
25,22,0.0,0,0.06907601922734556,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true
26,22,0.0,0,0.059833251593918585,true,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,false
27,22,0.0,0,0.052890823011811965,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,false,true,true,true
28,22,0.0,0,0.0968554779778466,true,false,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true
29,22,0.0,0,3.3668144324112005E-4,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
30,22,0.0,0,0.004622718736456879,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true
31,22,0.0,0,0.09277348495893473,false,true,false,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,true,true,true,true
32,22,0.0,0,0.04486173494236701,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false,true
33,22,0.0,0,0.0,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false
34,22,0.0,0,0.07884111983672745,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true
35,22,0.0,0,0.011677102724657303,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
36,22,0.0,0,0.09139150943396226,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,false,false,true,true
37,22,0.0,0,0.07939577670917834,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true
38,22,0.0,0,0.003397360512217431,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true
39,22,0.0,0,0.031594333258376434,true,false,true,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false
40,22,0.0,0,0.0758504746835443,true,false,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true
41,22,0.0,0,0.03949190583066711,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true
42,22,0.0,0,0.006873184898354308,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,false
43,22,0.0,0,0.057454210580169855,true,true,true,false,false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true
44,22,0.0,0,0.06617789862109147,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true,true
45,22,0.0,0,0.07403396505045533,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,false,false,true
46,22,0.0,0,0.009375277703723452,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false,true,true,true,true,true
47,22,0.0,0,0.08412240184757505,true,true,true,true,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true
48,22,0.0,0,0.02795970911061927,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,false,true
49,22,0.0,0,0.050940438871473356,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
50,22,0.0,0,0.08454903631136194,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,false
51,22,0.0,0,0.040080619302826255,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true
52,22,0.0,0,0.05737561827174862,true,true,true,true,true,true,false,true,false,true,false,true,true,false,false,true,true,true,true,true,true,true
53,22,0.0,0,0.03144832812351994,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false
54,22,0.0,0,0.04690747154873825,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,true,true,true,true
55,22,0.0,0,0.01617775047355757,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,false,true
56,22,0.0,0,0.01687574671445639,true,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false
57,22,0.0,0,0.04288334737990184,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true
58,22,0.0,0,0.05076783188522934,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,false
59,22,0.0,0,0.04530350022153301,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,true,true
60,22,0.0,0,0.04022019440587185,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false
61,22,0.0,0,0.07779829332801037,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,false,false,true,true,true,true
62,22,0.0,0,0.0625032635371521,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true
63,22,0.0,0,0.08169813649265704,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,false
64,22,0.0,0,0.022789637691270175,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true
65,22,0.0,0,0.0,false,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,true
66,22,0.0,0,0.039190897597977246,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,false,false
67,22,0.0,0,0.066954229571052,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false
68,22,0.0,0,0.062117151607963245,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false
69,22,0.0,0,0.04934728786855728,true,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true
70,22,0.0,0,0.0413514618687385,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,true,false
71,22,0.0,0,0.034150983294565444,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true
72,22,0.0,0,0.07812230339987344,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false
73,22,0.0,0,0.05576246109892352,false,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true,true,true,false,true
74,22,0.0,0,0.046897655117244134,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
75,22,0.0,0,0.0547291185043723,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true
76,22,0.0,0,0.05282157456070499,true,false,true,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true
77,22,0.0,0,0.039586919104991396,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,true,false
78,22,0.0,0,0.023571987480438185,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true
79,22,0.0,0,0.050030824678712005,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,false,true,true,false
80,22,0.0,0,0.039820342882182176,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true
81,22,0.0,0,0.07427195866604039,false,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,false,false
82,22,0.0,0,0.06835205992509363,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,false,true
83,22,0.0,0,0.05193568859741908,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true
84,22,0.0,0,0.010077412853282031,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,false
85,22,0.0,0,0.06162144491663942,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false
86,22,0.0,0,0.07550957381099443,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,false,true
87,22,0.0,0,0.03514202476329206,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true
