KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
1,30,0.0,0,0.0583312305492472,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true
2,30,0.0,0,0.02328897338403042,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,true,true,false,true,true,true,true,true,true
3,30,0.0,0,0.00583508385849088,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false
4,30,0.0,0,0.040428239874223254,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,true,false
5,30,0.0,0,0.056648250460405156,true,true,true,false,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true
6,30,0.0,0,0.037268827789888194,true,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true
7,30,0.0,0,0.03530044843049327,true,false,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true
8,30,0.0,0,0.02255613006211611,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true
9,30,0.0,0,0.03199747111095501,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true
10,30,0.0,0,0.0216494124230554,true,false,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true
11,30,0.0,0,0.04206246981162454,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true
12,30,0.0,0,0.031012375130460713,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true,false,true
13,30,0.0,0,0.002066736810461446,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true
14,30,0.0,0,0.04308254838837884,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true
15,30,0.0,0,0.027104314310580628,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
16,30,0.0,0,0.0,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false
