KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
1025,15,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
1283,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
1796,15,0.0,0,0.0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
6,15,0.015625,0,0.0,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false
262,15,0.0,0,0.0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
779,15,0.015625,0,0.0,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1035,15,0.0,0,0.0,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true
1038,15,0.0,0,0.0,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
1806,15,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
15,15,0.0,0,0.0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
1808,15,0.0,0,0.0,true,true,false,false,false,false,false,false,false,false,true,false,false,true,false
17,15,0.0,0,0.0,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
1554,15,0.0,0,0.0,false,false,false,true,false,false,true,true,false,false,false,false,true,true,false
1556,15,0.0,0,0.0,true,false,true,false,true,false,false,true,false,false,false,true,true,false,false
535,15,0.0,0,0.0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
538,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
1563,15,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
540,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
1308,15,0.0,0,0.0,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true
546,15,0.015625,0,0.0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
802,15,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
1570,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
1572,15,0.0,0,0.0,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true
808,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
301,15,0.015625,0,0.0,false,false,true,true,false,true,false,false,true,false,false,true,false,true,false
557,15,0.0,0,0.0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
1582,15,0.015625,0,0.0,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1839,15,0.0,0,0.0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
48,15,0.0,0,0.0,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false
1589,15,0.0,0,0.0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
1591,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
824,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
1848,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
58,15,0.0,0,0.0,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
59,15,0.015625,0,0.0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
576,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
834,15,0.0,0,0.0,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
581,15,0.015625,0,0.0,true,true,true,false,false,true,true,true,false,false,false,false,false,false,false
1862,15,0.0,0,0.0,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
1608,15,0.0,0,0.0,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
1865,15,0.0,0,0.0,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
586,15,0.015625,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
1866,15,0.0,0,0.0,false,false,false,false,true,true,false,false,false,true,true,false,true,false,false
1357,15,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
1872,15,0.0,0,0.0,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
