KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
900,22,0.0,0,0.2563237774030354,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
1028,22,0.0,0,0.0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
1412,22,0.0,0,0.0,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1669,22,0.0,0,0.08615635179153094,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false
262,22,0.0,0,0.0,false,true,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false
646,22,0.0,0,0.2031063321385902,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
1543,22,0.0,0,0.8125,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
523,22,0.0,0,0.2598369372562921,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
907,22,0.0,0,0.8181603773584906,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
909,22,0.0,0,0.3457500846596681,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
398,22,0.0,0,0.28334714167357083,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
20,22,0.0,0,0.9180320928066388,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
1812,22,0.0,0,0.20096645821489484,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
1943,22,0.0,0,0.5880614657210402,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false
1690,22,0.0,0,0.012269938650306749,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true
156,22,0.0,0,0.699322033898305,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false
1052,22,0.0,0,0.0520904729266621,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
1564,22,0.0,0,0.14193867457962414,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
29,22,0.0,0,0.4683206106870229,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true
1437,22,0.0,0,0.0,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false
286,22,0.0,0,0.45442764578833694,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1186,22,0.0,0,0.45513635721350854,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false
1954,22,0.0,0,0.4732893839508979,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
163,22,0.0,0,0.28777923784494086,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false
164,22,0.0,0,0.03510688094866594,false,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false
933,22,0.0,0,0.0,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
167,22,0.0,0,0.0,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
295,22,0.0,0,0.3067542213883677,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
168,22,0.0,0,0.09675507482590014,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,false
