KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,7755,0.0
2,20,0.0,9650,0.0
3,20,0.0,21154,0.0
4,20,0.0,28767,0.0
5,20,0.0,18694,0.0
6,20,0.0,11360,0.0
7,20,0.0,31873,0.0
8,20,0.0,13832,0.0
9,20,0.0,10296,0.0
10,20,0.0,18829,0.0
11,20,0.0,5741,0.0
12,20,0.0,12293,0.0
13,20,0.0,25230,0.0
14,20,0.0,50382,0.0
15,20,0.0,25602,0.0
16,20,0.0,7691,0.0
17,20,0.015625,17938,0.0
18,20,0.0,10682,0.0
19,20,0.0,13395,0.0
20,20,0.0,14837,0.0
21,20,0.015625,23240,0.0
22,20,0.0,1925,0.0
23,20,0.0,6314,0.0
24,20,0.0,16054,0.0
25,20,0.015625,19129,0.0
26,20,0.0,5936,0.0
27,20,0.0,34999,0.0
28,20,0.015625,10633,0.0
29,20,0.0,14670,0.0
30,20,0.0,44013,0.0
31,20,0.0,5795,0.0
32,20,0.0,7408,0.0
33,20,0.0,10704,0.0
34,20,0.0,8763,0.0
35,20,0.0,4579,0.0
36,20,0.0,14313,0.0
37,20,0.0,5258,0.0
38,20,0.0,23649,0.0
39,20,0.0,11475,0.0
40,20,0.0,8435,0.0
41,20,0.015625,11310,0.0
42,20,0.0,13472,0.0
43,20,0.0,29749,0.0
44,20,0.0,4302,0.0
45,20,0.015625,31310,0.0
46,20,0.0,6177,0.0
47,20,0.0,18101,0.0
48,20,0.0,12930,0.0
49,20,0.0,7106,0.0
50,20,0.0,8689,0.0
