KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,1941,0.0
2,20,0.0,2083,0.0
3,20,0.0,2215,0.0
4,20,0.0,3096,0.0
5,20,0.0,3332,0.0
6,20,0.0,2630,0.0
7,20,0.0,5107,0.0
8,20,0.0,2692,0.0
9,20,0.0,3156,0.0
10,20,0.0,4268,0.0
11,20,0.0,2679,0.0
12,20,0.0,2773,0.0
13,20,0.0,5160,0.0
14,20,0.015625,5450,0.0
15,20,0.0,5808,0.0
16,20,0.0,2209,0.0
17,20,0.0,4944,0.0
18,20,0.0,3018,0.0
19,20,0.0,4652,0.0
20,20,0.0,4566,0.0
21,20,0.0,3635,0.0
22,20,0.0,1327,0.0
23,20,0.0,2014,0.0
24,20,0.0,1578,0.0
25,20,0.0,3921,0.0
26,20,0.0,4548,0.0
27,20,0.0,4942,0.0
28,20,0.0,4386,0.0
29,20,0.0,3879,0.0
30,20,0.0,1357,0.0
31,20,0.0,2461,0.0
32,20,0.0,2972,0.0
33,20,0.0,4990,0.0
34,20,0.0,2379,0.0
35,20,0.0,2238,0.0
36,20,0.015625,4541,0.0
37,20,0.0,3618,0.0
38,20,0.0,2434,0.0
39,20,0.0,1541,0.0
40,20,0.0,3201,0.0
41,20,0.0,2694,0.0
42,20,0.0,3505,0.0
43,20,0.0,723,0.0
44,20,0.0,2318,0.0
45,20,0.0,1179,0.0
46,20,0.0,3990,0.0
47,20,0.0,2840,0.0
48,20,0.0,5525,0.0
49,20,0.0,2385,0.0
50,20,0.0,2978,0.0
