KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,279,0.0
2,20,0.0,888,0.0
3,20,0.0,1135,0.0
4,20,0.0,522,0.0
5,20,0.015625,1456,0.0
6,20,0.0,979,0.0
7,20,0.0,1547,0.0
8,20,0.0,477,0.0
9,20,0.0,1083,0.0
10,20,0.0,623,0.0
11,20,0.0,293,0.0
12,20,0.0,172,0.0
13,20,0.0,525,0.0
14,20,0.0,472,0.0
15,20,0.0,1077,0.0
16,20,0.0,532,0.0
17,20,0.0,747,0.0
18,20,0.0,812,0.0
19,20,0.0,889,0.0
20,20,0.0,898,0.0
21,20,0.0,635,0.0
22,20,0.0,272,0.0
23,20,0.0,1067,0.0
24,20,0.0,1660,0.0
25,20,0.0,441,0.0
26,20,0.0,637,0.0
27,20,0.0,744,0.0
28,20,0.0,651,0.0
29,20,0.0,630,0.0
30,20,0.0,1761,0.0
31,20,0.0,627,0.0
32,20,0.0,383,0.0
33,20,0.0,506,0.0
34,20,0.0,708,0.0
35,20,0.0,595,0.0
36,20,0.0,607,0.0
37,20,0.0,573,0.0
38,20,0.0,211,0.0
39,20,0.015625,472,0.0
40,20,0.0,1279,0.0
41,20,0.0,1052,0.0
42,20,0.0,945,0.0
43,20,0.0,1133,0.0
44,20,0.0,627,0.0
45,20,0.0,737,0.0
46,20,0.0,522,0.0
47,20,0.0,370,0.0
48,20,0.0,410,0.0
49,20,0.0,458,0.0
50,20,0.0,597,0.0
