KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,280,0.0
2,20,0.0,890,0.0
3,20,0.0,1136,0.0
4,20,0.0,522,0.0
5,20,0.0,1444,0.0
6,20,0.015625,979,0.0
7,20,0.0,1549,0.0
8,20,0.0,477,0.0
9,20,0.0,1087,0.0
10,20,0.0,624,0.0
11,20,0.0,293,0.0
12,20,0.0,172,0.0
13,20,0.0,522,0.0
14,20,0.0,473,0.0
15,20,0.0,1075,0.0
16,20,0.0,534,0.0
17,20,0.015625,745,0.0
18,20,0.0,814,0.0
19,20,0.0,890,0.0
20,20,0.0,906,0.0
21,20,0.0,636,0.0
22,20,0.0,272,0.0
23,20,0.0,1068,0.0
24,20,0.0,1654,0.0
25,20,0.0,441,0.0
26,20,0.0,640,0.0
27,20,0.0,746,0.0
28,20,0.0,651,0.0
29,20,0.0,630,0.0
30,20,0.0,1761,0.0
31,20,0.0,631,0.0
32,20,0.0,383,0.0
33,20,0.0,506,0.0
34,20,0.0,706,0.0
35,20,0.0,593,0.0
36,20,0.0,606,0.0
37,20,0.0,571,0.0
38,20,0.0,211,0.0
39,20,0.0,472,0.0
40,20,0.0,1287,0.0
41,20,0.0,1052,0.0
42,20,0.0,950,0.0
43,20,0.0,1132,0.0
44,20,0.0,627,0.0
45,20,0.0,737,0.0
46,20,0.0,522,0.0
47,20,0.0,371,0.0
48,20,0.0,410,0.0
49,20,0.0,457,0.0
50,20,0.0,594,0.0
