KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,3512,0.0
2,20,0.0,5629,0.0
3,20,0.0,6784,0.0
4,20,0.0,6637,0.0
5,20,0.015625,4514,0.0
6,20,0.0,7413,0.0
7,20,0.0,4534,0.0
8,20,0.0,5692,0.0
9,20,0.0,6041,0.0
10,20,0.0,4565,0.0
11,20,0.015625,6049,0.0
12,20,0.0,7624,0.0
13,20,0.0,5566,0.0
14,20,0.0,4309,0.0
15,20,0.0,5108,0.0
16,20,0.0,6606,0.0
17,20,0.0,5209,0.0
18,20,0.0,4501,0.0
19,20,0.015625,6151,0.0
20,20,0.0,1995,0.0
21,20,0.0,6505,0.0
22,20,0.0,5778,0.0
23,20,0.0,4923,0.0
24,20,0.0,5890,0.0
25,20,0.0,3359,0.0
26,20,0.0,3826,0.0
27,20,0.0,4837,0.0
28,20,0.0,2946,0.0
29,20,0.0,5416,0.0
30,20,0.0,3825,0.0
31,20,0.0,4953,0.0
32,20,0.015625,6584,0.0
33,20,0.0,6004,0.0
34,20,0.0,5590,0.0
35,20,0.0,7295,0.0
36,20,0.0,3189,0.0
37,20,0.0,4836,0.0
38,20,0.0,4149,0.0
39,20,0.0,4365,0.0
40,20,0.0,4005,0.0
41,20,0.0,5556,0.0
42,20,0.0,6445,0.0
43,20,0.0,3468,0.0
44,20,0.0,4184,0.0
45,20,0.0,5837,0.0
46,20,0.015625,6507,0.0
47,20,0.0,1728,0.0
48,20,0.0,6026,0.0
49,20,0.0,4511,0.0
50,20,0.0,3348,0.0
