KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,4958,0.0
2,20,0.0,5116,0.0
3,20,0.0,7421,0.0
4,20,0.0,6893,0.0
5,20,0.0,5083,0.0
6,20,0.0,4993,0.0
7,20,0.0,3571,0.0
8,20,0.015625,6424,0.0
9,20,0.0,5775,0.0
10,20,0.0,5970,0.0
11,20,0.0,5697,0.0
12,20,0.0,6991,0.0
13,20,0.0,4759,0.0
14,20,0.015625,5943,0.0
15,20,0.0,8019,0.0
16,20,0.0,4617,0.0
17,20,0.0,5922,0.0
18,20,0.0,5181,0.0
19,20,0.0,5748,0.0
20,20,0.0,6152,0.0
21,20,0.0,5723,0.0
22,20,0.0,5835,0.0
23,20,0.0,5362,0.0
24,20,0.0,6273,0.0
25,20,0.0,6537,0.0
26,20,0.0,6113,0.0
27,20,0.015625,6015,0.0
28,20,0.0,6332,0.0
29,20,0.0,5902,0.0
30,20,0.0,3207,0.0
31,20,0.0,7748,0.0
32,20,0.0,5526,0.0
33,20,0.015625,6357,0.0
34,20,0.0,4358,0.0
35,20,0.0,4469,0.0
36,20,0.0,6381,0.0
37,20,0.0,4915,0.0
38,20,0.0,6222,0.0
39,20,0.015625,4846,0.0
40,20,0.0,6246,0.0
41,20,0.0,7611,0.0
42,20,0.0,6399,0.0
43,20,0.0,5676,0.0
44,20,0.0,5422,0.0
45,20,0.015625,4829,0.0
46,20,0.0,6191,0.0
47,20,0.0,5341,0.0
48,20,0.0,5689,0.0
49,20,0.0,5621,0.0
50,20,0.0,5044,0.0
