KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.015625,81388,0.0
2,20,0.03125,128558,0.0
3,20,0.015625,119000,0.0
4,20,0.015625,98596,0.0
5,20,0.015625,107431,0.0
6,20,0.03125,109672,0.0
7,20,0.015625,104312,0.0
8,20,0.015625,123892,0.0
9,20,0.0,110745,0.0
10,20,0.015625,50605,0.0
11,20,0.0,102481,0.0
12,20,0.0,115246,0.0
13,20,0.015625,107743,0.0
14,20,0.015625,79859,0.0
15,20,0.015625,120970,0.0
16,20,0.015625,79472,0.0
17,20,0.0,96580,0.0
18,20,0.015625,90756,0.0
19,20,0.015625,112369,0.0
20,20,0.0,127641,0.0
21,20,0.015625,98024,0.0
22,20,0.015625,104610,0.0
23,20,0.015625,108547,0.0
24,20,0.0,109986,0.0
25,20,0.015625,95695,0.0
26,20,0.015625,93747,0.0
27,20,0.0,69802,0.0
28,20,0.015625,121702,0.0
29,20,0.015625,93057,0.0
30,20,0.0,80872,0.0
31,20,0.015625,117263,0.0
32,20,0.015625,109405,0.0
33,20,0.015625,108967,0.0
34,20,0.015625,92139,0.0
35,20,0.0,91897,0.0
36,20,0.015625,116382,0.0
37,20,0.015625,92057,0.0
38,20,0.0,81364,0.0
39,20,0.015625,118634,0.0
40,20,0.015625,104310,0.0
41,20,0.015625,98204,0.0
42,20,0.015625,108199,0.0
43,20,0.015625,122833,0.0
44,20,0.015625,95716,0.0
45,20,0.015625,97500,0.0
46,20,0.0,105630,0.0
47,20,0.015625,126907,0.0
48,20,0.0,59575,0.0
49,20,0.015625,115957,0.0
50,20,0.0,76019,0.0
51,20,0.015625,80360,0.0
52,20,0.015625,122087,0.0
53,20,0.015625,116978,0.0
54,20,0.015625,118979,0.0
55,20,0.0,48057,0.0
56,20,0.015625,85390,0.0
57,20,0.015625,91354,0.0
58,20,0.015625,118855,0.0
59,20,0.015625,112196,0.0
60,20,0.015625,97617,0.0
61,20,0.015625,128254,0.0
62,20,0.015625,99851,0.0
63,20,0.0,65638,0.0
64,20,0.015625,109217,0.0
65,20,0.015625,114130,0.0
66,20,0.015625,101356,0.0
67,20,0.015625,98481,0.0
68,20,0.015625,91688,0.0
69,20,0.015625,106554,0.0
70,20,0.0,95935,0.0
71,20,0.015625,116555,0.0
72,20,0.015625,122762,0.0
73,20,0.015625,120294,0.0
74,20,0.015625,86161,0.0
75,20,0.0,53474,0.0
76,20,0.015625,104821,0.0
77,20,0.015625,127117,0.0
78,20,0.0,49587,0.0
79,20,0.015625,114238,0.0
80,20,0.015625,114442,0.0
81,20,0.015625,100462,0.0
82,20,0.0,104325,0.0
83,20,0.015625,106520,0.0
84,20,0.015625,127819,0.0
85,20,0.015625,86529,0.0
86,20,0.015625,114007,0.0
87,20,0.0,77861,0.0
88,20,0.015625,80066,0.0
89,20,0.0,83646,0.0
90,20,0.015625,98064,0.0
91,20,0.015625,96307,0.0
92,20,0.0,65055,0.0
93,20,0.015625,104330,0.0
94,20,0.015625,126575,0.0
95,20,0.015625,113242,0.0
96,20,0.015625,115920,0.0
97,20,0.0,112125,0.0
98,20,0.015625,100893,0.0
99,20,0.015625,76208,0.0
100,20,0.0,88204,0.0
101,20,0.015625,100665,0.0
102,20,0.015625,85915,0.0
103,20,0.0,95257,0.0
104,20,0.015625,104045,0.0
105,20,0.015625,93609,0.0
106,20,0.0,92283,0.0
107,20,0.0,93895,0.0
108,20,0.015625,103653,0.0
109,20,0.0,44692,0.0
110,20,0.015625,103307,0.0
111,20,0.015625,68770,0.0
112,20,0.0,83058,0.0
113,20,0.015625,119818,0.0
114,20,0.015625,118098,0.0
115,20,0.015625,117183,0.0
116,20,0.015625,123390,0.0
117,20,0.015625,109825,0.0
118,20,0.0,84444,0.0
119,20,0.015625,90031,0.0
120,20,0.015625,112409,0.0
121,20,0.015625,125067,0.0
122,20,0.015625,121211,0.0
123,20,0.0,106034,0.0
124,20,0.015625,104308,0.0
125,20,0.015625,86094,0.0
126,20,0.0,64304,0.0
127,20,0.015625,104138,0.0
128,20,0.0,106218,0.0
129,20,0.015625,75700,0.0
130,20,0.015625,111062,0.0
131,20,0.0,78063,0.0
132,20,0.015625,75687,0.0
133,20,0.0,72823,0.0
134,20,0.0,88169,0.0
135,20,0.015625,107871,0.0
136,20,0.015625,116445,0.0
137,20,0.0,36018,0.0
138,20,0.015625,99680,0.0
139,20,0.015625,121613,0.0
140,20,0.0,74996,0.0
141,20,0.015625,106090,0.0
142,20,0.015625,107275,0.0
143,20,0.0,124655,0.0
144,20,0.015625,102215,0.0
145,20,0.015625,113120,0.0
146,20,0.015625,99570,0.0
147,20,0.0,77403,0.0
148,20,0.015625,92491,0.0
149,20,0.015625,97537,0.0
150,20,0.015625,105165,0.0
151,20,0.03125,113818,0.0
152,20,0.015625,85613,0.0
153,20,0.015625,114280,0.0
154,20,0.0,90012,0.0
155,20,0.03125,114180,0.0
156,20,0.0,119615,0.0
157,20,0.015625,81324,0.0
158,20,0.03125,106020,0.0
159,20,0.015625,117977,0.0
160,20,0.0,96143,0.0
161,20,0.015625,60649,0.0
162,20,0.015625,112722,0.0
163,20,0.015625,113761,0.0
164,20,0.015625,112881,0.0
165,20,0.0,62425,0.0
166,20,0.015625,100296,0.0
167,20,0.015625,108549,0.0
168,20,0.0,119927,0.0
169,20,0.0,71707,0.0
170,20,0.015625,94786,0.0
171,20,0.0,94170,0.0
172,20,0.015625,106049,0.0
173,20,0.015625,105474,0.0
174,20,0.015625,109507,0.0
175,20,0.015625,108587,0.0
176,20,0.0,108146,0.0
177,20,0.015625,70553,0.0
178,20,0.015625,104673,0.0
179,20,0.0,82023,0.0
180,20,0.015625,118081,0.0
181,20,0.015625,98221,0.0
182,20,0.015625,108075,0.0
183,20,0.0,85171,0.0
184,20,0.015625,112958,0.0
185,20,0.015625,105180,0.0
186,20,0.015625,126229,0.0
187,20,0.015625,116637,0.0
188,20,0.0,92598,0.0
189,20,0.015625,101386,0.0
190,20,0.015625,119749,0.0
191,20,0.015625,104697,0.0
192,20,0.0,95488,0.0
193,20,0.015625,96412,0.0
194,20,0.015625,94131,0.0
195,20,0.0,93316,0.0
196,20,0.0,87756,0.0
197,20,0.015625,112400,0.0
198,20,0.015625,126059,0.0
199,20,0.015625,109731,0.0
200,20,0.0,90440,0.0
201,20,0.015625,59921,0.0
202,20,0.0,58919,0.0
203,20,0.015625,95262,0.0
204,20,0.015625,80710,0.0
205,20,0.0,114412,0.0
206,20,0.015625,89984,0.0
207,20,0.015625,100644,0.0
208,20,0.015625,114856,0.0
209,20,0.0,107405,0.0
210,20,0.015625,96744,0.0
211,20,0.015625,93084,0.0
212,20,0.015625,90781,0.0
213,20,0.0,110960,0.0
214,20,0.0,70816,0.0
215,20,0.015625,74145,0.0
216,20,0.0,88778,0.0
217,20,0.015625,92302,0.0
218,20,0.015625,99244,0.0
219,20,0.0,110018,0.0
220,20,0.0,126401,0.0
221,20,0.015625,101513,0.0
222,20,0.015625,97462,0.0
223,20,0.015625,68851,0.0
224,20,0.015625,83100,0.0
225,20,0.015625,121773,0.0
226,20,0.015625,109466,0.0
227,20,0.0,88930,0.0
228,20,0.03125,101091,0.0
229,20,0.0,104440,0.0
230,20,0.015625,62174,0.0
231,20,0.015625,73822,0.0
232,20,0.015625,80854,0.0
233,20,0.015625,120174,0.0
234,20,0.015625,109043,0.0
235,20,0.015625,85740,0.0
236,20,0.015625,118680,0.0
237,20,0.015625,111572,0.0
238,20,0.015625,95747,0.0
239,20,0.015625,115188,0.0
240,20,0.015625,96538,0.0
241,20,0.015625,116054,0.0
242,20,0.0,77825,0.0
243,20,0.0,115499,0.0
244,20,0.015625,89603,0.0
245,20,0.015625,114166,0.0
246,20,0.015625,117944,0.0
247,20,0.0,103729,0.0
248,20,0.015625,71097,0.0
249,20,0.015625,121538,0.0
250,20,0.0,96983,0.0
251,20,0.015625,127240,0.0
252,20,0.015625,120176,0.0
253,20,0.015625,122006,0.0
254,20,0.015625,74734,0.0
255,20,0.0,101785,0.0
256,20,0.015625,99945,0.0
257,20,0.015625,101961,0.0
258,20,0.015625,111022,0.0
259,20,0.0,117784,0.0
260,20,0.015625,68386,0.0
261,20,0.015625,101671,0.0
262,20,0.015625,129687,0.0
263,20,0.0,88651,0.0
264,20,0.015625,93278,0.0
265,20,0.015625,108429,0.0
266,20,0.0,112410,0.0
267,20,0.0,108945,0.0
268,20,0.015625,85911,0.0
269,20,0.015625,86756,0.0
270,20,0.0,85972,0.0
271,20,0.015625,104628,0.0
272,20,0.015625,107083,0.0
273,20,0.0,96908,0.0
274,20,0.0,78577,0.0
275,20,0.015625,107403,0.0
276,20,0.015625,121526,0.0
277,20,0.015625,117576,0.0
278,20,0.0,124563,0.0
279,20,0.015625,97488,0.0
280,20,0.015625,59312,0.0
281,20,0.0,97245,0.0
282,20,0.015625,73665,0.0
283,20,0.015625,112894,0.0
284,20,0.0,86017,0.0
285,20,0.015625,84807,0.0
286,20,0.015625,111505,0.0
287,20,0.0,56530,0.0
288,20,0.015625,117947,0.0
289,20,0.0,106969,0.0
290,20,0.015625,91222,0.0
291,20,0.015625,110833,0.0
292,20,0.015625,91848,0.0
293,20,0.0,116320,0.0
294,20,0.015625,88029,0.0
295,20,0.015625,122928,0.0
296,20,0.015625,104592,0.0
297,20,0.0,81487,0.0
298,20,0.015625,87856,0.0
299,20,0.015625,110003,0.0
300,20,0.0,67077,0.0
301,20,0.015625,117277,0.0
302,20,0.015625,88151,0.0
303,20,0.015625,93751,0.0
304,20,0.015625,105526,0.0
305,20,0.0,99865,0.0
306,20,0.015625,99354,0.0
307,20,0.015625,48871,0.0
308,20,0.015625,108154,0.0
309,20,0.015625,98006,0.0
310,20,0.015625,79025,0.0
311,20,0.015625,95021,0.0
312,20,0.015625,92192,0.0
313,20,0.015625,119580,0.0
314,20,0.015625,123454,0.0
315,20,0.0,85966,0.0
316,20,0.03125,108394,0.0
317,20,0.015625,96273,0.0
318,20,0.03125,110060,0.0
319,20,0.0,104821,0.0
320,20,0.015625,122315,0.0
321,20,0.015625,103453,0.0
322,20,0.0,59762,0.0
323,20,0.015625,122089,0.0
324,20,0.0,65451,0.0
325,20,0.015625,90811,0.0
326,20,0.015625,78881,0.0
327,20,0.0,112137,0.0
328,20,0.015625,127873,0.0
329,20,0.015625,92368,0.0
330,20,0.015625,83843,0.0
331,20,0.0,100582,0.0
332,20,0.015625,112018,0.0
333,20,0.015625,74214,0.0
334,20,0.015625,138138,0.0
335,20,0.0,86109,0.0
336,20,0.015625,78851,0.0
337,20,0.0,65017,0.0
338,20,0.015625,97929,0.0
339,20,0.0,112038,0.0
340,20,0.0,102887,0.0
341,20,0.015625,74020,0.0
342,20,0.0,77170,0.0
343,20,0.015625,116699,0.0
344,20,0.015625,106790,0.0
345,20,0.015625,122841,0.0
346,20,0.015625,106248,0.0
347,20,0.015625,92710,0.0
348,20,0.0,100309,0.0
349,20,0.015625,100678,0.0
350,20,0.015625,54111,0.0
351,20,0.0,99849,0.0
352,20,0.015625,88973,0.0
353,20,0.015625,101152,0.0
354,20,0.0,80894,0.0
355,20,0.015625,101671,0.0
356,20,0.015625,104501,0.0
357,20,0.0,98509,0.0
358,20,0.0,104354,0.0
359,20,0.015625,83371,0.0
360,20,0.015625,102106,0.0
361,20,0.0,100834,0.0
362,20,0.015625,120081,0.0
363,20,0.015625,102808,0.0
364,20,0.0,58135,0.0
365,20,0.015625,116279,0.0
366,20,0.015625,109946,0.0
367,20,0.015625,91742,0.0
368,20,0.015625,99934,0.0
369,20,0.015625,119531,0.0
370,20,0.015625,96651,0.0
371,20,0.0,62052,0.0
372,20,0.015625,111652,0.0
373,20,0.015625,112492,0.0
374,20,0.015625,125717,0.0
375,20,0.0,109978,0.0
376,20,0.015625,114716,0.0
377,20,0.015625,99506,0.0
378,20,0.015625,108963,0.0
379,20,0.015625,118436,0.0
380,20,0.015625,111427,0.0
381,20,0.015625,117911,0.0
382,20,0.015625,102453,0.0
383,20,0.0,105919,0.0
384,20,0.015625,101750,0.0
385,20,0.015625,54260,0.0
386,20,0.0,88018,0.0
387,20,0.015625,99140,0.0
388,20,0.0,87511,0.0
389,20,0.015625,114061,0.0
390,20,0.03125,119009,0.0
391,20,0.015625,96261,0.0
392,20,0.0,83633,0.0
393,20,0.015625,116517,0.0
394,20,0.015625,113115,0.0
395,20,0.015625,99165,0.0
