KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,53729,0.0
2,20,0.0,48591,0.0
3,20,0.0,60288,0.0
4,20,0.015625,92240,0.0
5,20,0.0,61418,0.0
6,20,0.0,40745,0.0
7,20,0.0,26306,0.0
8,20,0.015625,63466,0.0
9,20,0.0,80088,0.0
10,20,0.015625,72582,0.0
11,20,0.0,50092,0.0
12,20,0.0,55291,0.0
13,20,0.0,67214,0.0
14,20,0.015625,69433,0.0
15,20,0.0,82247,0.0
16,20,0.015625,48000,0.0
17,20,0.0,56516,0.0
18,20,0.0,24918,0.0
19,20,0.015625,35870,0.0
20,20,0.0,69400,0.0
21,20,0.0,40351,0.0
22,20,0.0,37589,0.0
23,20,0.0,44813,0.0
24,20,0.015625,74902,0.0
25,20,0.0,34130,0.0
26,20,0.015625,56630,0.0
27,20,0.0,28390,0.0
28,20,0.0,40988,0.0
29,20,0.015625,65630,0.0
30,20,0.0,67451,0.0
31,20,0.015625,56546,0.0
32,20,0.0,24829,0.0
33,20,0.015625,77316,0.0
34,20,0.0,66033,0.0
35,20,0.015625,77798,0.0
36,20,0.0,39856,0.0
37,20,0.0,37160,0.0
38,20,0.015625,53441,0.0
39,20,0.0,50098,0.0
40,20,0.015625,49361,0.0
41,20,0.0,41224,0.0
42,20,0.015625,71950,0.0
43,20,0.0,47917,0.0
44,20,0.0,39343,0.0
45,20,0.015625,43574,0.0
46,20,0.0,38986,0.0
47,20,0.0,29559,0.0
48,20,0.015625,73704,0.0
49,20,0.0,66079,0.0
50,20,0.015625,30606,0.0
51,20,0.0,48803,0.0
52,20,0.0,43028,0.0
53,20,0.015625,60614,0.0
54,20,0.0,47748,0.0
55,20,0.015625,51928,0.0
56,20,0.0,72964,0.0
57,20,0.0,38438,0.0
58,20,0.015625,42450,0.0
59,20,0.0,31081,0.0
60,20,0.015625,52682,0.0
61,20,0.0,49258,0.0
62,20,0.0,57730,0.0
63,20,0.015625,26838,0.0
64,20,0.0,77818,0.0
65,20,0.015625,34406,0.0
66,20,0.0,52202,0.0
67,20,0.015625,53014,0.0
68,20,0.0,54362,0.0
69,20,0.0,55406,0.0
70,20,0.0,31314,0.0
71,20,0.0,30194,0.0
72,20,0.015625,76092,0.0
73,20,0.0,24296,0.0
74,20,0.015625,57831,0.0
75,20,0.0,88500,0.0
76,20,0.015625,48902,0.0
77,20,0.0,37574,0.0
78,20,0.015625,70903,0.0
79,20,0.0,28948,0.0
80,20,0.0,53613,0.0
81,20,0.015625,70257,0.0
82,20,0.0,69723,0.0
83,20,0.0,23579,0.0
84,20,0.0,47433,0.0
85,20,0.0,39495,0.0
86,20,0.015625,31539,0.0
87,20,0.0,18374,0.0
88,20,0.0,58934,0.0
89,20,0.0,47169,0.0
90,20,0.0,102170,0.0
91,20,0.015625,59061,0.0
92,20,0.0,47607,0.0
93,20,0.015625,79452,0.0
94,20,0.0,77399,0.0
95,20,0.015625,59317,0.0
96,20,0.0,36146,0.0
97,20,0.015625,88337,0.0
98,20,0.015625,19029,0.0
99,20,0.0,47739,0.0
100,20,0.015625,20498,0.0
101,20,0.0,40432,0.0
102,20,0.015625,91296,0.0
103,20,0.0,31242,0.0
104,20,0.015625,75592,0.0
105,20,0.015625,122731,0.0
106,20,0.015625,67495,0.0
107,20,0.015625,40682,0.0
108,20,0.015625,67173,0.0
109,20,0.0,36645,0.0
110,20,0.015625,71890,0.0
111,20,0.015625,81684,0.0
112,20,0.015625,83875,0.0
113,20,0.015625,87638,0.0
114,20,0.0,41706,0.0
115,20,0.015625,74512,0.0
116,20,0.0,27126,0.0
117,20,0.0,21631,0.0
118,20,0.0,50966,0.0
119,20,0.0,38460,0.0
120,20,0.015625,47362,0.0
121,20,0.0,88017,0.0
122,20,0.015625,84573,0.0
123,20,0.015625,73390,0.0
124,20,0.0,62002,0.0
125,20,0.0,19907,0.0
126,20,0.0,54197,0.0
127,20,0.0,87628,0.0
128,20,0.015625,64995,0.0
129,20,0.0,31495,0.0
130,20,0.0,52133,0.0
131,20,0.015625,23243,0.0
132,20,0.0,49646,0.0
133,20,0.0,64199,0.0
134,20,0.015625,59047,0.0
135,20,0.0,51614,0.0
136,20,0.015625,82791,0.0
137,20,0.0,35579,0.0
138,20,0.015625,80447,0.0
139,20,0.0,38801,0.0
140,20,0.015625,62970,0.0
141,20,0.015625,101283,0.0
142,20,0.0,54998,0.0
143,20,0.0,40969,0.0
144,20,0.015625,42764,0.0
145,20,0.0,49826,0.0
146,20,0.0,31664,0.0
147,20,0.015625,52826,0.0
148,20,0.015625,64567,0.0
149,20,0.0,53741,0.0
150,20,0.015625,49798,0.0
151,20,0.0,49557,0.0
152,20,0.0,49186,0.0
153,20,0.015625,44879,0.0
154,20,0.015625,113290,0.0
155,20,0.0,36736,0.0
156,20,0.0,24374,0.0
157,20,0.015625,58511,0.0
158,20,0.0,31842,0.0
159,20,0.0,26786,0.0
160,20,0.015625,52482,0.0
161,20,0.0,51136,0.0
162,20,0.015625,82320,0.0
163,20,0.0,55545,0.0
164,20,0.015625,56137,0.0
165,20,0.0,44852,0.0
166,20,0.015625,64199,0.0
167,20,0.0,39954,0.0
168,20,0.015625,39065,0.0
169,20,0.0,34879,0.0
170,20,0.0,75168,0.0
171,20,0.015625,38756,0.0
172,20,0.0,45592,0.0
173,20,0.015625,56488,0.0
174,20,0.0,44128,0.0
175,20,0.0,62603,0.0
176,20,0.0,66889,0.0
177,20,0.0,56989,0.0
178,20,0.015625,62397,0.0
179,20,0.0,46664,0.0
180,20,0.015625,49820,0.0
181,20,0.0,39221,0.0
182,20,0.0,25718,0.0
183,20,0.015625,59023,0.0
184,20,0.0,91223,0.0
185,20,0.015625,43667,0.0
186,20,0.0,61481,0.0
187,20,0.015625,52481,0.0
188,20,0.0,54224,0.0
189,20,0.015625,96206,0.0
190,20,0.0,46114,0.0
191,20,0.0,52935,0.0
192,20,0.015625,34273,0.0
193,20,0.015625,85147,0.0
194,20,0.0,60822,0.0
195,20,0.015625,31122,0.0
196,20,0.0,42561,0.0
197,20,0.0,66167,0.0
198,20,0.015625,43584,0.0
199,20,0.0,92731,0.0
200,20,0.015625,74805,0.0
201,20,0.015625,71108,0.0
202,20,0.0,76096,0.0
203,20,0.0,52280,0.0
204,20,0.0,60759,0.0
205,20,0.015625,60953,0.0
206,20,0.0,55593,0.0
207,20,0.015625,34985,0.0
208,20,0.0,71357,0.0
209,20,0.015625,83543,0.0
210,20,0.0,27325,0.0
211,20,0.0,51350,0.0
212,20,0.015625,49879,0.0
213,20,0.0,28448,0.0
214,20,0.0,53801,0.0
215,20,0.015625,37876,0.0
216,20,0.0,65544,0.0
217,20,0.015625,85256,0.0
218,20,0.0,67649,0.0
219,20,0.015625,58516,0.0
220,20,0.0,89349,0.0
221,20,0.0,51295,0.0
222,20,0.0,76449,0.0
223,20,0.0,57469,0.0
224,20,0.015625,41956,0.0
225,20,0.0,29038,0.0
226,20,0.015625,30663,0.0
227,20,0.0,64531,0.0
228,20,0.0,23981,0.0
