KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,16170,0.0
2,20,0.0,3383,0.0
3,20,0.0,17562,0.0
4,20,0.0,11629,0.0
5,20,0.0,3840,0.0
6,20,0.0,3487,0.0
7,20,0.0,3309,0.0
8,20,0.0,3262,0.0
9,20,0.0,6153,0.0
10,20,0.0,1366,0.0
11,20,0.0,7152,0.0
12,20,0.0,6594,0.0
13,20,0.0,7091,0.0
14,20,0.0,1659,0.0
15,20,0.0,2109,0.0
16,20,0.0,5047,0.0
17,20,0.015625,8078,0.0
18,20,0.0,5665,0.0
19,20,0.0,3572,0.0
20,20,0.0,9599,0.0
21,20,0.0,3859,0.0
22,20,0.0,12448,0.0
23,20,0.015625,16250,0.0
24,20,0.0,2203,0.0
25,20,0.0,842,0.0
26,20,0.0,35918,0.0
27,20,0.0,1702,0.0
28,20,0.0,3637,0.0
29,20,0.0,2919,0.0
30,20,0.0,3477,0.0
31,20,0.0,5959,0.0
32,20,0.0,5712,0.0
33,20,0.0,5985,0.0
34,20,0.0,6196,0.0
35,20,0.0,4995,0.0
36,20,0.0,5752,0.0
37,20,0.0,3696,0.0
38,20,0.0,5589,0.0
39,20,0.0,2443,0.0
40,20,0.015625,9887,0.0
41,20,0.0,5220,0.0
42,20,0.0,5222,0.0
43,20,0.0,2102,0.0
44,20,0.0,3950,0.0
45,20,0.0,16037,0.0
46,20,0.0,5965,0.0
47,20,0.0,1125,0.0
48,20,0.0,8493,0.0
49,20,0.0,2799,0.0
50,20,0.0,3907,0.0
