KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,2755,0.0
2,20,0.0,4587,0.0
3,20,0.0,2930,0.0
4,20,0.0,2570,0.0
5,20,0.0,5293,0.0
6,20,0.0,891,0.0
7,20,0.0,980,0.0
8,20,0.0,1475,0.0
9,20,0.0,7580,0.0
10,20,0.0,2759,0.0
11,20,0.0,4362,0.0
12,20,0.0,4214,0.0
13,20,0.0,2858,0.0
14,20,0.0,1684,0.0
15,20,0.0,4315,0.0
16,20,0.0,2977,0.0
17,20,0.0,2836,0.0
18,20,0.0,1715,0.0
19,20,0.0,2098,0.0
20,20,0.0,2229,0.0
21,20,0.0,3800,0.0
22,20,0.0,2008,0.0
23,20,0.0,1666,0.0
24,20,0.0,3727,0.0
25,20,0.0,4855,0.0
26,20,0.0,2404,0.0
27,20,0.0,1748,0.0
28,20,0.0,5890,0.0
29,20,0.015625,3450,0.0
30,20,0.0,1730,0.0
31,20,0.0,3807,0.0
32,20,0.0,2913,0.0
33,20,0.0,3132,0.0
34,20,0.0,1095,0.0
35,20,0.0,3969,0.0
36,20,0.0,2588,0.0
37,20,0.0,1339,0.0
38,20,0.0,2443,0.0
39,20,0.0,2865,0.0
40,20,0.0,2173,0.0
41,20,0.0,3630,0.0
42,20,0.0,2463,0.0
43,20,0.015625,3923,0.0
44,20,0.0,3740,0.0
45,20,0.0,2559,0.0
46,20,0.0,3352,0.0
47,20,0.0,4728,0.0
48,20,0.0,2388,0.0
49,20,0.0,1771,0.0
50,20,0.0,3028,0.0
