KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,1370,0.0
2,20,0.0,342,0.0
3,20,0.0,1402,0.0
4,20,0.0,1064,0.0
5,20,0.0,236,0.0
6,20,0.0,313,0.0
7,20,0.0,465,0.0
8,20,0.0,342,0.0
9,20,0.0,241,0.0
10,20,0.0,958,0.0
11,20,0.0,855,0.0
12,20,0.0,756,0.0
13,20,0.0,171,0.0
14,20,0.0,319,0.0
15,20,0.0,423,0.0
16,20,0.0,628,0.0
17,20,0.0,1027,0.0
18,20,0.0,185,0.0
19,20,0.0,175,0.0
20,20,0.0,399,0.0
21,20,0.0,439,0.0
22,20,0.0,735,0.0
23,20,0.0,840,0.0
24,20,0.0,385,0.0
25,20,0.0,610,0.0
26,20,0.0,600,0.0
27,20,0.0,431,0.0
28,20,0.0,605,0.0
29,20,0.0,226,0.0
30,20,0.0,221,0.0
31,20,0.0,361,0.0
32,20,0.0,555,0.0
33,20,0.0,623,0.0
34,20,0.0,296,0.0
35,20,0.0,986,0.0
36,20,0.0,580,0.0
37,20,0.0,382,0.0
38,20,0.0,378,0.0
39,20,0.0,820,0.0
40,20,0.0,761,0.0
41,20,0.0,552,0.0
42,20,0.0,410,0.0
43,20,0.0,427,0.0
44,20,0.0,1076,0.0
45,20,0.0,406,0.0
46,20,0.0,639,0.0
47,20,0.0,2041,0.0
48,20,0.0,327,0.0
49,20,0.0,704,0.0
50,20,0.0,289,0.0
