KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0625,522021,0.0
2,20,0.046875,521374,0.0
3,20,0.046875,523431,0.0
4,20,0.0625,523065,0.0
5,20,0.03125,520689,0.0
6,20,0.046875,522778,0.0
7,20,0.046875,523822,0.0
8,20,0.046875,522505,0.0
9,20,0.046875,523694,0.0
10,20,0.03125,521864,0.0
11,20,0.0625,523454,0.0
12,20,0.03125,520957,0.0
13,20,0.03125,522472,0.0
14,20,0.0625,523721,0.0
15,20,0.046875,523613,0.0
16,20,0.046875,523663,0.0
17,20,0.046875,523433,0.0
18,20,0.0625,523714,0.0
19,20,0.0625,523017,0.0
20,20,0.0625,522206,0.0
21,20,0.046875,523457,0.0
22,20,0.0625,517988,0.0
23,20,0.078125,522459,0.0
24,20,0.03125,523523,0.0
25,20,0.046875,522415,0.0
26,20,0.046875,522716,0.0
27,20,0.046875,522722,0.0
28,20,0.046875,521406,0.0
29,20,0.046875,521381,0.0
30,20,0.03125,522858,0.0
31,20,0.046875,523050,0.0
32,20,0.046875,520275,0.0
33,20,0.046875,521316,0.0
34,20,0.046875,521659,0.0
35,20,0.046875,522428,0.0
36,20,0.046875,521209,0.0
37,20,0.046875,518726,0.0
38,20,0.046875,523470,0.0
39,20,0.046875,521538,0.0
40,20,0.0625,523673,0.0
41,20,0.0625,521603,0.0
42,20,0.078125,522504,0.0
43,20,0.046875,523612,0.0
44,20,0.046875,523033,0.0
45,20,0.046875,522785,0.0
46,20,0.046875,519098,0.0
47,20,0.046875,520911,0.0
48,20,0.0625,520767,0.0
49,20,0.046875,521998,0.0
50,20,0.046875,522884,0.0
