KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.03125,308149,0.0
2,20,0.015625,305409,0.0
3,20,0.03125,313510,0.0
4,20,0.03125,286626,0.0
5,20,0.015625,311001,0.0
6,20,0.03125,272875,0.0
7,20,0.015625,288130,0.0
8,20,0.046875,331478,0.0
9,20,0.03125,318937,0.0
10,20,0.03125,323909,0.0
11,20,0.015625,337862,0.0
12,20,0.03125,315945,0.0
13,20,0.015625,289857,0.0
14,20,0.015625,323116,0.0
15,20,0.03125,333607,0.0
16,20,0.03125,334104,0.0
17,20,0.015625,308817,0.0
18,20,0.03125,280495,0.0
19,20,0.015625,304440,0.0
20,20,0.03125,294186,0.0
21,20,0.015625,288356,0.0
22,20,0.03125,344504,0.0
23,20,0.03125,340385,0.0
24,20,0.015625,330550,0.0
25,20,0.03125,324467,0.0
26,20,0.046875,304323,0.0
27,20,0.015625,301550,0.0
28,20,0.03125,329242,0.0
29,20,0.046875,329773,0.0
30,20,0.046875,287138,0.0
31,20,0.03125,330480,0.0
32,20,0.046875,274976,0.0
33,20,0.015625,285954,0.0
34,20,0.03125,301453,0.0
35,20,0.03125,351510,0.0
36,20,0.03125,308316,0.0
37,20,0.015625,284785,0.0
38,20,0.03125,332031,0.0
39,20,0.03125,330476,0.0
40,20,0.015625,299146,0.0
41,20,0.015625,314388,0.0
42,20,0.03125,268109,0.0
43,20,0.03125,326721,0.0
44,20,0.03125,309418,0.0
45,20,0.015625,264008,0.0
46,20,0.03125,334549,0.0
47,20,0.015625,270311,0.0
48,20,0.015625,290222,0.0
49,20,0.03125,340464,0.0
50,20,0.03125,318551,0.0
