KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.046875,518174,0.0
2,20,0.078125,519887,0.0
3,20,0.0625,521070,0.0
4,20,0.046875,521862,0.0
5,20,0.046875,520071,0.0
6,20,0.046875,523683,0.0
7,20,0.046875,522412,0.0
8,20,0.0625,521633,0.0
9,20,0.046875,523287,0.0
10,20,0.0625,520430,0.0
11,20,0.046875,520540,0.0
12,20,0.0625,521608,0.0
13,20,0.03125,522675,0.0
14,20,0.03125,522755,0.0
15,20,0.046875,522236,0.0
16,20,0.046875,519771,0.0
17,20,0.0625,520039,0.0
18,20,0.078125,522368,0.0
19,20,0.078125,522343,0.0
20,20,0.0625,522313,0.0
21,20,0.09375,521508,0.0
22,20,0.078125,520774,0.0
23,20,0.0625,522780,0.0
24,20,0.0625,521012,0.0
25,20,0.078125,520430,0.0
26,20,0.03125,519458,0.0
27,20,0.09375,520685,0.0
28,20,0.0625,523544,0.0
29,20,0.0625,523382,0.0
30,20,0.046875,522514,0.0
31,20,0.0625,523451,0.0
32,20,0.046875,520752,0.0
33,20,0.03125,523255,0.0
34,20,0.0625,522886,0.0
35,20,0.078125,520385,0.0
36,20,0.046875,522408,0.0
37,20,0.046875,522336,0.0
38,20,0.046875,523596,0.0
39,20,0.03125,522387,0.0
40,20,0.046875,522678,0.0
41,20,0.03125,520818,0.0
42,20,0.046875,523426,0.0
43,20,0.03125,522463,0.0
44,20,0.046875,523648,0.0
45,20,0.046875,520877,0.0
46,20,0.0625,523792,0.0
47,20,0.046875,522007,0.0
48,20,0.078125,521113,0.0
49,20,0.046875,523643,0.0
50,20,0.0625,518951,0.0
