KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.046875,518141,0.0
2,20,0.046875,519865,0.0
3,20,0.046875,521069,0.0
4,20,0.046875,521848,0.0
5,20,0.03125,520067,0.0
6,20,0.046875,523680,0.0
7,20,0.03125,522408,0.0
8,20,0.046875,521620,0.0
9,20,0.046875,523281,0.0
10,20,0.046875,520424,0.0
11,20,0.03125,520530,0.0
12,20,0.046875,521602,0.0
13,20,0.046875,522679,0.0
14,20,0.0625,522753,0.0
15,20,0.0625,522236,0.0
16,20,0.078125,519764,0.0
17,20,0.046875,520014,0.0
18,20,0.078125,522370,0.0
19,20,0.046875,522340,0.0
20,20,0.0625,522297,0.0
21,20,0.03125,521493,0.0
22,20,0.0625,520768,0.0
23,20,0.03125,522783,0.0
24,20,0.046875,521009,0.0
25,20,0.03125,520414,0.0
26,20,0.046875,519428,0.0
27,20,0.03125,520667,0.0
28,20,0.03125,523537,0.0
29,20,0.046875,523378,0.0
30,20,0.03125,522513,0.0
31,20,0.046875,523450,0.0
32,20,0.046875,520731,0.0
33,20,0.03125,523254,0.0
34,20,0.046875,522880,0.0
35,20,0.03125,520367,0.0
36,20,0.046875,522410,0.0
37,20,0.046875,522325,0.0
38,20,0.046875,523593,0.0
39,20,0.0625,522380,0.0
40,20,0.046875,522672,0.0
41,20,0.03125,520813,0.0
42,20,0.046875,523423,0.0
43,20,0.03125,522463,0.0
44,20,0.046875,523647,0.0
45,20,0.03125,520873,0.0
46,20,0.046875,523793,0.0
47,20,0.03125,522012,0.0
48,20,0.03125,521092,0.0
49,20,0.046875,523640,0.0
50,20,0.015625,518924,0.0
