KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.03125,302719,0.0
2,20,0.015625,309647,0.0
3,20,0.03125,305032,0.0
4,20,0.015625,304096,0.0
5,20,0.0625,317142,0.0
6,20,0.03125,308630,0.0
7,20,0.046875,312258,0.0
8,20,0.046875,317420,0.0
9,20,0.046875,286032,0.0
10,20,0.03125,309342,0.0
11,20,0.03125,300297,0.0
12,20,0.046875,307178,0.0
13,20,0.046875,300364,0.0
14,20,0.03125,312171,0.0
15,20,0.015625,309270,0.0
16,20,0.03125,315827,0.0
17,20,0.015625,304429,0.0
18,20,0.03125,296334,0.0
19,20,0.03125,304597,0.0
20,20,0.015625,294212,0.0
21,20,0.03125,288322,0.0
22,20,0.015625,302437,0.0
23,20,0.03125,308335,0.0
24,20,0.03125,315526,0.0
25,20,0.015625,307654,0.0
26,20,0.03125,316448,0.0
27,20,0.015625,290378,0.0
28,20,0.03125,318682,0.0
29,20,0.015625,311726,0.0
30,20,0.03125,303233,0.0
31,20,0.015625,290993,0.0
32,20,0.03125,311739,0.0
33,20,0.015625,290930,0.0
34,20,0.03125,308322,0.0
35,20,0.015625,320752,0.0
36,20,0.03125,316747,0.0
37,20,0.015625,319682,0.0
38,20,0.046875,318320,0.0
39,20,0.03125,304100,0.0
40,20,0.03125,318279,0.0
41,20,0.03125,302523,0.0
42,20,0.015625,310481,0.0
43,20,0.03125,310201,0.0
44,20,0.03125,300830,0.0
45,20,0.03125,306970,0.0
46,20,0.03125,292118,0.0
47,20,0.03125,315692,0.0
48,20,0.015625,319113,0.0
49,20,0.03125,294550,0.0
50,20,0.015625,309589,0.0
51,20,0.015625,315001,0.0
52,20,0.03125,305726,0.0
53,20,0.015625,313417,0.0
54,20,0.03125,306631,0.0
55,20,0.015625,303452,0.0
56,20,0.015625,288896,0.0
57,20,0.015625,310699,0.0
58,20,0.03125,319937,0.0
59,20,0.015625,290900,0.0
60,20,0.03125,295584,0.0
61,20,0.015625,309336,0.0
62,20,0.015625,314619,0.0
63,20,0.03125,308072,0.0
64,20,0.015625,320626,0.0
65,20,0.03125,300882,0.0
66,20,0.015625,304675,0.0
67,20,0.015625,318205,0.0
68,20,0.03125,309684,0.0
69,20,0.015625,309857,0.0
70,20,0.03125,309165,0.0
71,20,0.015625,302301,0.0
72,20,0.03125,302809,0.0
73,20,0.015625,321443,0.0
74,20,0.015625,316303,0.0
75,20,0.03125,312454,0.0
76,20,0.015625,310376,0.0
77,20,0.03125,316419,0.0
78,20,0.03125,313864,0.0
79,20,0.046875,320139,0.0
80,20,0.03125,318588,0.0
81,20,0.015625,315219,0.0
82,20,0.03125,311949,0.0
83,20,0.03125,305153,0.0
84,20,0.03125,304930,0.0
85,20,0.015625,318785,0.0
86,20,0.03125,312652,0.0
87,20,0.03125,310384,0.0
88,20,0.015625,318326,0.0
89,20,0.03125,300529,0.0
90,20,0.015625,317008,0.0
91,20,0.03125,316857,0.0
92,20,0.015625,320695,0.0
93,20,0.03125,305870,0.0
94,20,0.015625,312062,0.0
95,20,0.03125,303869,0.0
96,20,0.03125,319082,0.0
97,20,0.0,311304,0.0
98,20,0.03125,265261,0.0
99,20,0.015625,317249,0.0
100,20,0.03125,317833,0.0
101,20,0.015625,301540,0.0
102,20,0.03125,316256,0.0
103,20,0.015625,293684,0.0
104,20,0.015625,316669,0.0
105,20,0.015625,305068,0.0
106,20,0.015625,316727,0.0
107,20,0.03125,300238,0.0
108,20,0.015625,272524,0.0
109,20,0.03125,320861,0.0
110,20,0.015625,312260,0.0
111,20,0.03125,308321,0.0
112,20,0.015625,309667,0.0
113,20,0.03125,318545,0.0
114,20,0.015625,304684,0.0
115,20,0.046875,312308,0.0
116,20,0.015625,314821,0.0
117,20,0.015625,298267,0.0
118,20,0.03125,312324,0.0
119,20,0.046875,286818,0.0
120,20,0.03125,316378,0.0
121,20,0.03125,300543,0.0
122,20,0.03125,314557,0.0
123,20,0.03125,312436,0.0
124,20,0.015625,299261,0.0
125,20,0.015625,295145,0.0
126,20,0.015625,289564,0.0
127,20,0.03125,314133,0.0
