KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.078125,523710,0.0
2,20,0.0625,523806,0.0
3,20,0.078125,522833,0.0
4,20,0.078125,523527,0.0
5,20,0.109375,522969,0.0
6,20,0.09375,523640,0.0
7,20,0.09375,523566,0.0
8,20,0.078125,522916,0.0
9,20,0.046875,523100,0.0
10,20,0.078125,523813,0.0
11,20,0.046875,523451,0.0
12,20,0.046875,523743,0.0
13,20,0.046875,523712,0.0
14,20,0.078125,523296,0.0
15,20,0.0625,523755,0.0
16,20,0.046875,523717,0.0
17,20,0.0625,523677,0.0
18,20,0.046875,522531,0.0
19,20,0.0625,523259,0.0
20,20,0.046875,523169,0.0
21,20,0.046875,523632,0.0
22,20,0.046875,523776,0.0
23,20,0.03125,523527,0.0
24,20,0.046875,523228,0.0
25,20,0.03125,522765,0.0
26,20,0.046875,522896,0.0
27,20,0.046875,523792,0.0
28,20,0.03125,521679,0.0
29,20,0.046875,523689,0.0
30,20,0.046875,522396,0.0
31,20,0.03125,523762,0.0
32,20,0.046875,523200,0.0
33,20,0.0625,523102,0.0
34,20,0.0625,523757,0.0
35,20,0.09375,523128,0.0
36,20,0.046875,523428,0.0
37,20,0.0625,523740,0.0
38,20,0.0625,523481,0.0
39,20,0.046875,522511,0.0
40,20,0.046875,522634,0.0
41,20,0.046875,523672,0.0
42,20,0.0625,523403,0.0
43,20,0.03125,523429,0.0
44,20,0.046875,523325,0.0
45,20,0.0625,523804,0.0
46,20,0.0625,523595,0.0
47,20,0.078125,521891,0.0
48,20,0.03125,523640,0.0
49,20,0.046875,523873,0.0
50,20,0.046875,521966,0.0
