KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.15625,523567,0.0
2,20,0.140625,523475,0.0
3,20,0.0625,523613,0.0
4,20,0.078125,523757,0.0
5,20,0.046875,523463,0.0
6,20,0.09375,523705,0.0
7,20,0.0625,522647,0.0
8,20,0.046875,523621,0.0
9,20,0.078125,522791,0.0
10,20,0.265625,523571,0.0
11,20,0.125,523788,0.0
12,20,0.046875,522894,0.0
13,20,0.046875,523733,0.0
14,20,0.0625,523829,0.0
15,20,0.046875,523005,0.0
16,20,0.03125,523127,0.0
17,20,0.046875,523321,0.0
18,20,0.0625,521757,0.0
19,20,0.0625,523755,0.0
20,20,0.046875,523811,0.0
21,20,0.046875,522833,0.0
22,20,0.046875,523387,0.0
23,20,0.03125,522037,0.0
24,20,0.046875,522419,0.0
25,20,0.0625,523046,0.0
26,20,0.046875,523211,0.0
27,20,0.09375,523819,0.0
28,20,0.078125,523707,0.0
29,20,0.0625,523509,0.0
30,20,0.078125,520569,0.0
31,20,0.046875,522924,0.0
32,20,0.046875,523558,0.0
33,20,0.046875,523699,0.0
34,20,0.0625,522921,0.0
35,20,0.0625,523173,0.0
36,20,0.046875,522626,0.0
37,20,0.046875,522523,0.0
38,20,0.0625,523757,0.0
39,20,0.046875,523306,0.0
40,20,0.046875,523197,0.0
41,20,0.0625,523491,0.0
42,20,0.09375,523819,0.0
43,20,0.078125,523730,0.0
44,20,0.046875,523662,0.0
45,20,0.0625,522005,0.0
46,20,0.0625,523298,0.0
47,20,0.078125,523656,0.0
48,20,0.046875,523684,0.0
49,20,0.03125,523542,0.0
50,20,0.046875,523270,0.0
