KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.015625,277414,0.0
2,20,0.03125,304227,0.0
3,20,0.015625,317547,0.0
4,20,0.03125,315354,0.0
5,20,0.015625,298676,0.0
6,20,0.015625,290588,0.0
7,20,0.03125,278399,0.0
8,20,0.03125,285072,0.0
9,20,0.03125,293757,0.0
10,20,0.046875,323168,0.0
11,20,0.03125,263921,0.0
12,20,0.03125,263600,0.0
13,20,0.015625,265374,0.0
14,20,0.03125,323553,0.0
15,20,0.046875,267950,0.0
16,20,0.046875,321217,0.0
17,20,0.03125,296596,0.0
18,20,0.03125,280673,0.0
19,20,0.046875,321982,0.0
20,20,0.015625,274052,0.0
21,20,0.015625,279939,0.0
22,20,0.03125,319669,0.0
23,20,0.046875,283880,0.0
24,20,0.03125,299492,0.0
25,20,0.03125,293021,0.0
26,20,0.03125,340941,0.0
27,20,0.03125,307054,0.0
28,20,0.015625,280060,0.0
29,20,0.03125,356167,0.0
30,20,0.046875,270839,0.0
31,20,0.015625,285591,0.0
32,20,0.046875,265747,0.0
33,20,0.03125,284535,0.0
34,20,0.015625,273169,0.0
35,20,0.015625,294346,0.0
36,20,0.03125,318819,0.0
37,20,0.015625,276389,0.0
38,20,0.03125,280638,0.0
39,20,0.03125,322742,0.0
40,20,0.03125,326547,0.0
41,20,0.03125,275734,0.0
42,20,0.03125,282562,0.0
43,20,0.03125,269285,0.0
44,20,0.03125,284240,0.0
45,20,0.03125,335932,0.0
46,20,0.046875,278454,0.0
47,20,0.03125,265332,0.0
48,20,0.015625,270136,0.0
49,20,0.046875,291354,0.0
50,20,0.03125,324320,0.0
