KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.015625,277228,0.0
2,20,0.015625,270731,0.0
3,20,0.03125,264677,0.0
4,20,0.015625,287026,0.0
5,20,0.03125,282919,0.0
6,20,0.015625,287828,0.0
7,20,0.03125,287271,0.0
8,20,0.015625,267521,0.0
9,20,0.015625,275690,0.0
10,20,0.03125,294403,0.0
11,20,0.015625,263165,0.0
12,20,0.03125,322340,0.0
13,20,0.03125,283616,0.0
14,20,0.03125,290822,0.0
15,20,0.015625,312674,0.0
16,20,0.03125,291766,0.0
17,20,0.03125,320440,0.0
18,20,0.03125,322939,0.0
19,20,0.03125,367020,0.0
20,20,0.03125,272298,0.0
21,20,0.03125,309251,0.0
22,20,0.015625,290482,0.0
23,20,0.03125,279315,0.0
24,20,0.015625,328284,0.0
25,20,0.03125,278566,0.0
26,20,0.015625,314747,0.0
27,20,0.015625,268105,0.0
28,20,0.015625,273655,0.0
29,20,0.015625,280503,0.0
30,20,0.03125,275694,0.0
31,20,0.03125,311374,0.0
32,20,0.046875,281453,0.0
33,20,0.03125,289517,0.0
34,20,0.03125,293950,0.0
35,20,0.03125,333916,0.0
36,20,0.03125,302955,0.0
37,20,0.015625,309894,0.0
38,20,0.0,349751,0.0
39,20,0.015625,299857,0.0
40,20,0.015625,295001,0.0
41,20,0.03125,295716,0.0
42,20,0.015625,284132,0.0
43,20,0.015625,325078,0.0
44,20,0.015625,280005,0.0
45,20,0.015625,324597,0.0
46,20,0.03125,317036,0.0
47,20,0.015625,266216,0.0
48,20,0.03125,326062,0.0
49,20,0.03125,322585,0.0
50,20,0.015625,280777,0.0
51,20,0.015625,294716,0.0
52,20,0.015625,299863,0.0
53,20,0.03125,304160,0.0
54,20,0.015625,270316,0.0
55,20,0.03125,284646,0.0
56,20,0.015625,340336,0.0
57,20,0.03125,303704,0.0
58,20,0.015625,314406,0.0
59,20,0.03125,330937,0.0
60,20,0.03125,324785,0.0
61,20,0.015625,267846,0.0
62,20,0.015625,298370,0.0
63,20,0.03125,302627,0.0
64,20,0.015625,313500,0.0
65,20,0.03125,314563,0.0
66,20,0.015625,317659,0.0
67,20,0.015625,301282,0.0
68,20,0.03125,319417,0.0
69,20,0.03125,316614,0.0
70,20,0.03125,274754,0.0
71,20,0.03125,352488,0.0
72,20,0.03125,265352,0.0
73,20,0.015625,284572,0.0
74,20,0.03125,291364,0.0
75,20,0.046875,337862,0.0
76,20,0.015625,294447,0.0
77,20,0.046875,301754,0.0
78,20,0.015625,271431,0.0
79,20,0.03125,343871,0.0
80,20,0.015625,298866,0.0
81,20,0.03125,279042,0.0
82,20,0.015625,358041,0.0
83,20,0.03125,267027,0.0
84,20,0.015625,323130,0.0
85,20,0.015625,296657,0.0
86,20,0.0,281858,0.0
87,20,0.03125,280609,0.0
88,20,0.015625,309249,0.0
89,20,0.03125,285478,0.0
90,20,0.015625,295733,0.0
91,20,0.03125,318086,0.0
92,20,0.03125,351454,0.0
93,20,0.015625,291774,0.0
94,20,0.03125,308433,0.0
95,20,0.015625,302309,0.0
